artikel,judul,keyword,link,tanggal
"termasuk salah satu vaksin COVID-19 yang paling banyak dicari, antara lain karena efek sampingnya dinilai ringan. Jenis vaksin berbasis mRNA dari Amerika Serikat ini mendapatkan izin penggunaan darurat atau emergency use of authorization (EUA) dari Badan Pengawas Obat dan Makanan (BPOM RI), Rabu (14/7/2021). Vaksin Pfizer diketahui memiliki persentase efikasi yang tinggi, untuk usia 16 tahun ke atas sebesar 95,5 persen dan remaja 12-15 tahun bisa mencapai 100 persen. Walaupun secara umum keamaan Vaksin Pfizer dapat ditoleransi pada semua kelompok usia, tetap didapati beberapa laporan Kejadian Ikutan Pasca Imunisasi (KIPI). Sebenarnya, apa saja efek samping vaksin Pfizer yang diketahui sejauh ini? Berikut rangkumannya: Berbicara dalam webinar Tim Mitigasi IDI, Minggu (17/10/2021), Sekretaris Komnas KIPI Julitasari mengungkap   bervariasi berdasarkan usia. Berikut temuannya: Bagaimana   menurut ITAGI dan BPOM? Selengkapnya di halaman berikut. Indonesian Technical Advisory Group on Immunization (ITAGI) sebagai lembaga independent yang terdiri dari para ahli, menyampaikan beberapa efek samping Vaksin Pfizer yang dapat terjadi: Dalam konferensi pers penerbitan emergency use of authorization (EUA) untuk vaksin Pfizer pada 15 Juli 2021, Kepala Badan POM RI, Penny K. Lukito menyebut keamanan vaksin Prizer umumnya dapat ditoleransi pada semua kelompok usia. Beberapa kemungkinan efek samping yang terungkap dalam uji klinis: CT Corp juga menghadirkan vaksin Pfizer di sejumlah lokasi, termasuk Makassar, Medan, dan Malang. Pendaftaran dan info selengkapnya bisa disimak di  .",,idi,https://health.detik.com/berita-detikhealth/d-5780044/apa-saja-efek-samping-vaksin-pfizer-lengkap-banget-ini-daftarnya?single=1,"Minggu, 24 Okt 2021 11:30 WIB"
"banyak dicari jelang peringatan yang jatuh pada 24 Oktober 2021 mendatang. Mengunggah Twibbon bisa jadi bentuk apresiasi atas jasa para dokter dan tenaga kesehatan yang berada di garis depan menghadapi pandemi COVID-19. Peringatan Hari Dokter Nasional tak bisa dilepaskan dari hari jadi Ikatan Dokter Indonesia (IDI). Peringatan ini sudah dilakukan sejak 1950. Untuk merayakan Hari Dokter Nasional yang ke-71, berikut link dan cara membuat Twibbon yang bisa dilakukan. Pada 24 Oktober mendatang, ada berbagai cara untuk merayakan Hari Dokter Nasional. Salah satunya dengan mengunggah Twibbon Hari Dokter Nasional. Selain sebagai bentuk merayakan sebuah acara besar atau peringatan, Twibbon juga kerap digunakan untuk promosi hingga menyuarakan protes. Untuk itu, berikut link Twibbon Hari Dokter Nasional 2021 yang bisa dijadikan referensi untuk diunggah di media sosialmu: Sebenarnya ada berbagai link Twibbon Hari Dokter Nasional 2021 yang dimuat dalam website resmi Twibbonize. Kamu juga dapat memilih   lainnya di laman www.twibbonize.com dan memasukkan keyword yang diinginkan. Berbagai link Twibbon Hari Dokter Nasional 2021 sudah disebutkan. Langkah selanjutnya adalah mengetahui panduan membuatnya. Caranya cukup mudah dan cepat, ikuti langkah-langkahnya berikut ini: Demikian informasi soal link hingga cara membuat  . Yuk dicoba sebagai bentuk dukungan kepada tenaga kesehatan yang berperan penting di masa pandemi COVID-19.","Twibbon Hari Dokter Nasional 2021, Bisa Dipakai di Tanggal 24 Oktober",idi,https://news.detik.com/berita/d-5778329/twibbon-hari-dokter-nasional-2021-bisa-dipakai-di-tanggal-24-oktober?single=1,"Minggu, 24 Okt 2021 07:54 WIB"
"Kasus dugaan malpraktik oleh oknum dokter di RS Multazam   yang mengakibatkan ibu rumah tangga (IRT) berinisial MGI (39) meninggal dunia berakhir damai. Wali Kota Gorontalo Marten Taha mengatakan kedua belah pihak sepakat damai setelah dilakukan mediasi. ""Keinginan untuk bermufakat ini tentu harus disahuti, mereka sudah dipertemukan, dan alhamdulillah sudah selesai,"" kata Marten Taha, Selasa (2/11/2021). Marten berharap tak ada lagi kegaduhan yang bisa menimbulkan kekhawatiran di masyarakat. Dia mengatakan kesepakatan damai juga dilakukan secara tertulis. ""Untuk itu, maka kedua belah pihak itu kemudian bermufakat, tidak hanya secara lisan akan tetapi secara tertulis, sehingga miskomunikasi ini dianggap selesai. Keluarga sudah ikhlas dan ini adalah kehendak Allah SWT, hanya saja penyebabnya dengan cara yang sudah ditentukan oleh Yang Maha Kuasa,"" tegas Marten. Marten berharap tidak ada lagi kesalahpahaman. Dia mengatakan ruang komunikasi sudah terbuka di antara kedua belah pihak. Sementara itu, Ketua Ikatan Dokter Indonesia (IDI) Wilayah   dr Irianto Dunda menyatakan pertemuan terjadi Senin (1/11) malam kemarin. Kedua belah pihak telah bermufakat untuk damai. ""Wali Kota   Pak Marten Taha, Haji Ramli Anwar, pihak keluarga, serta pihak rumah sakit juga turut hadir dalam pertemuan tersebut,"" kata dr Irianto Dunda. Irianto menyatakan, lewat pertemuan tersebut, semua sudah dijelaskan dan saling pengertian. Irianto mengatakan IDI turut berbelasungkawa dan berterima kasih atas pengertian serta kebesaran hati dari keluarga. ""Percayalah bahwa pihak IDI telah bekerja secara profesional, dan tidak ada sedikitpun niatan dari seorang dokter untuk mencelakai pasiennya. Di sinilah yang harus dimengerti,"" tegas Irianto. Dia menambahkan, dokter akan terus melayani masyarakat dengan sebaik-baiknya sesuai dengan bidang keilmuan dokter itu sendiri. Hal itu telah tertuang di dalam sumpah dokter. ""Diakui jika masing-masing pihak mengakui ada miskomunikasi dan informasi. Atas dasar itu, keduanya sepakat untuk mengambil langkah bermufakat,"" tutup Irianto. Sebelumnya, oknum dokter di Rumah Sakit (RS) Multazam Gorontalo diduga telah melakukan malpraktik setelah melakukan tindakan operasi ke ibu rumah tangga (IRT) berinisial MGI (39). Korban meninggal setelah dioperasi di bagian perut. Suami MGI, YH, mengungkapkan, dugaan tindakan malpraktik dokter tersebut terjadi setelah dia dan istrinya dan berobat ke RS Multazam pada 16 September 2021. ""Melakukan konsultasi kepada oknum dokter kandungan, di ruang praktiknya. Korban mengeluhkan nyeri di bagian perut dan dengan gejala haid kurang lancar. Setelah melakukan sejumlah pemeriksaan media, dokter itu mengungkapkan bahwa korban didiagnosa memiliki kista berukuran 5,0 dan dan miom berukuran 9,8,"" ujar YH dalam keterangannya kepada wartawan, Senin (18/10).",Kasus IRT di Gorontalo Tewas Diduga Malpraktik Dokter Berakhir Damai,idi,https://news.detik.com/berita/d-5792935/kasus-irt-di-gorontalo-tewas-diduga-malpraktik-dokter-berakhir-damai?single=1,"Selasa, 02 Nov 2021 10:09 WIB"
"Lonjakan kasus COVID-19 baru-baru ini terjadi di beberapa negara di Eropa, salah satunya Rusia. Wakil Ketua Umum PB Ikatan Dokter Indonesia (IDI), Dr. Slamet Budiarto, SH, MH.Kes memberikan beberapa saran untuk pemerintah agar hal tersebut tidak terjadi di Indonesia. Seperti diketahui, kematian karena COVID di Rusia melonjak tajam. Otoritas Rusia pada Kamis (21/10) yang lalu melaporkan ada 1.036 kematian dalam satu hari. Hal ini makin diperparah dengan cakupan vaksinasi di Rusia yang baru menyentuh 35% dari populasi. Berkaca dari hal tersebut, Dr. Slamet memberikan masukan dan saran untuk pemerintah agar menyiapkan segala hal dalam mengantisipasi lonjakan COVID-19. Apalagi, menurut Dr. Slamet cakupan vaksin lengkap di Indonesia masih berada di kisaran sekitar 30%. ""Seperti di Rusia juga sama itu 30-an persen tapi dia melonjak lagi. Nah, kami khawatir kalau ini tidak segera dikejar ini vaksin, kita yang belum divaksin bisa terkena. Atau yang vaksinnya sudah lama dan antibodinya turun bisa terkena. Tapi intinya adalah protokol kesehatan,"" kata Dr. Slamet dikutip dari acara The Doctor's Corner yang tayang di detikcom, Minggu (24/10/2021). Dr. Slamet juga menjelaskan dalam menangani sebuah penyakit memang dibutuhkan 4 langkah yaitu promotif, preventif, kuratif, dan rehabilitatif. Untuk promotif yaitu sosialisasi sebesar-besarnya memberikan edukasi kepada masyarakat agar mengetahui betul apa COVID-19 agar masyarakat tidak mudah termakan hoaks. ""Itu harus besar-besaran, karena kalau promotifnya lemah maka hoaks akan merajalela, dan masyarakat akan terpengaruh dengan hoaks,"" ungkapnya. Kedua adalah preventif yaitu kegiatan mencegah suatu penyakit, salah satunya yaitu dengan protokol kesehatan. Dr. Slamet pun menyarankan pemerintah untuk mengetatkan lalu lintas keluar masuk Indonesia. Hal ini berangkat dari pengalaman masuknya varian delta COVID-19 yang masuk ke Indonesia yang dibawa orang-orang WNA atau WNI yang datang dari India. Inilah yang menurut Dr. Slamet harus dijaga dengan ketat dan diawasi. Selanjutnya adalah harus secepat-cepatnya untuk melakukan vaksinasi. Hal ini menghindari orang-orang yang sudah divaksin di awal antibodinya sudah drop dan turun sehingga mudah terjangkit oleh COVID-19. Jadi, Dr. Slamet menyarankan untuk vaksin tetap tersedia dan cepat pelaksanaannya. ""Saya kira akhir Desember ini sudah bisa 100% atau 80% dari jumlah penduduk Indonesia, itu dari sisi preventif,"" katanya. Lebih lanjut dari sisi kuratif, pemerintah harus betul-betul menjaga tenaga kesehatan. Ia pun bersyukur hingga saat ini pemerintah telah memberikan dukungan kepada tenaga kesehatan dengan memberikan vaksin booster. Pemerintah juga harus menjamin ketersediaan obat-obatan, alat-alat kesehatan, ventilator, hingga oksigen. Setelah itu semua tercukupi, pemerintah juga harus memastikan jumlah ketersediaan tempat tidur. ""Untuk menghindari segala sesuatunya itu, pemerintah harus siap. Jangan sampai seperti gelombang 1 dan 2. Ya, mungkin karena banyak vaksin kita jadi gelagapan. Ya, itu jadi pembelajaran bagi kita untuk menyiapkan segala sesuatunya apabila terjadi gelombang 3 atau 4 nanti,"" tutur Dr. Slamet. Dr. Slamet juga mengingatkan pemerintah agar biaya untuk menanggulangi COVID-19 cukup dan tidak kurang. Terakhir, pemerintah harus menyediakan fasilitas isolasi mandiri, sebab pengalaman dari bulan Juni kemarin, ada ribuan orang yang meninggal saat isolasi mandiri dan tak terpantau oleh dokter. ""Nah, salah satunya yaitu dengan telemedicine. Sekarang kan banyak yang mendukung hal itu, paling tidak pasien yang di rumah itu terpantau dokter, termasuk obat-obatannya. Jadi saya kira, upaya promotif, preventif, dan kuratif itu bila dilakukan dengan baik, insya Allah kita bisa mengendalikan kalau terjadi gelombang COVID-19 ¾,"" imbuhnya. Berbicara soal telemedicine, kini masyarakat juga sudah memiliki banyak pilihan salah satunya yaitu Halodoc. Chief of Medical Halodoc, dr. Irwan Heriyanto, MARS mengungkapkan pihaknya juga membantu dalam mengantisipasi lonjakan COVID-19. dr. Irwan mengatakan Halodoc kerap memberikan artikel-artikel terkait COVID-19 dan juga konsultasi, pembelian obat hingga isolasi mandiri. Bahkan, pengguna Halodoc juga meningkat selama masa pandemi kali ini hingga 27 juta pengguna setiap bulannya. ""Ada 5 besar konsultasi yaitu spesialis untuk anak, penyakit dalam, obgyn, THT, serta yang menarik sebetulnya ada kesehatan jiwa,"" tuturnya. Sebagai informasi, dalam rangka memperingati Hari Dokter Nasional 2021, detikcom menyelenggarakan webinar The Doctor's Corner bertajuk 'Dokter Hebat Indonesia Kuat' yang turut didukung oleh Halodoc. Webinar ini digelar untuk mengajak masyarakat mengapresiasi perjuangan dokter dan tenaga kesehatan yang menjadi garda depan penanganan COVID-19 dengan segala macam risikonya, salah satunya dengan menyampaikan pesan semangat bagi para dokter dan menyalurkan donasi untuk penanganan COVID dan kesejahteraan nakes di Tanah Air. Hari ini, Halodoc juga melakukan penyerahan donasi untuk penanganan COVID dan kesejahteraan nakes di Indonesia melalui Ikatan Dokter Indonesia (IDI) sebagai pengelola donasi. Halodoc juga membuat sebuah filter monumen dokter yang bisa dipakai pengguna Instagram.",,idi,https://health.detik.com/berita-detikhealth/d-5780402/berkaca-dari-rusia-ini-saran-pb-idi-untuk-antisipasi-lonjakan-covid?single=1,"Minggu, 24 Okt 2021 17:12 WIB"
"Sekjen Palang Merah Indonesia (PMI) Sudirman Said mengajak masyarakat mengapresiasi langkah Presiden Jokowi yang menurunkan biaya tes PCR. Yang penting, kualitas tes PCR tak boleh turun. ""Langkah bijak Presiden Jokowi akan memberi angin segar bagi perekonomian dengan meringankan beban biaya arus manusia ke berbagai sentra ekonomi sekaligus tetap mencegah penyebaran COVID-19,"" kata Sudirman Said kepada wartawan, Rabu (27/10/2021). Sudirman menambahkan, kendati biayanya sudah turun, kualitas PCR harus tetap terjaga. ""Walaupun biayanya dipaksa turun, kualitas PCR tidak boleh turun,"" tambah Sudirman. Lebih jauh, Sudirman Said, yang juga dipercaya sebagai Koordinator Nasional Forum Solidaritas Kemanusiaan, mengatakan perlu dilaksanakan audit biaya PCR. ""Menurut saya, tidak berlebihan bila masyarakat ingin mengetahui biaya pokok tes PCR itu, hal ini juga dapat mengklarifikasi opini yang berkembang di masyarakat bahwa penyedia jasa PCR sudah mendapatkan keuntungan yang tidak sedikit,"" jelas Sudirman. Sudirman Said juga memuji aplikasi PeduliLindungi yang menurutnya cukup membantu mengendalikan interaksi, terutama di tempat umum. ""Dari seluruh dunia kita belajar bahwa penyebaran COVID-19 disebabkan interaksi. Oleh karena itu, kita semua harus mengelola interaksi. Ini penting agar tidak timbul gelombang baru penularan COVID-19,"" tegas Sudirman. Menurut Sudirman, kombinasi vaksin dan protokol kesehatan adalah jawaban ampuh pencegahan COVID-19. ""Meskipun sudah divaksin, semua interaksi warga harus dilakukan dengan protokol baru. Gunakan masker, sering cuci tangan, jaga jarak, jangan berkerumun. Pemerintah harus terus menerus menyuarakan hal ini, dibantu oleh kelompok-kelompok masyarakat seperti PMI, atau forum-forum masyarakat sipil lainnya,"" jelas Sudirman. Tokoh kemanusiaan ini juga mengajak masyarakat mengikuti anjuran Ketua Satgas COVID-19 IDI, Prof. Zubairi Djoerban, untuk menggunakan ruang terbuka sebagai tempat pertemuan daripada ruangan tertutup ber-AC. ""Ini anjuran baik yang mudah pelaksanaannya. Selain sehat, anjuran ini juga ramah lingkungan serta hemat, sebab tidak perlu tenaga listrik yang besar,"" tutup Sudirman.",Sudirman Said: Langkah Presiden Tekan Harga PCR Harus Diapresiasi,idi,https://news.detik.com/berita/d-5784507/sudirman-said-langkah-presiden-tekan-harga-pcr-harus-diapresiasi?single=1,"Rabu, 27 Okt 2021 11:15 WIB"
"setiap tahunnya diperingati pada tanggal 24 Oktober oleh para dokter di seluruh Indonesia. Hari Dokter Nasional juga identik dengan hari jadi Ikatan Dokter Indonesia (IDI). Biasanya, untuk merayakan Hari Dokter Nasional, para dokter membuat berbagai kegiatan yang berhubungan dengan kesehatan maupun kedokteran. Misalnya seperti pengobatan gratis, senam sehat, konsultasi kesehatan gratis, dan lain sebagainya. Sejarah panjang Hari Dokter Nasional telah dimulai sejak 1950. Bagaimana sebenarnya sejarahnya? Simak informasi selengkapnya berikut ini seperti dikutip dari situs Kementerian Kesehatan. Peringatan Hari Dokter Indonesia berlangsung sejak tahun 1950. Tahun ini berarti sudah 67 kali momentum Hari Dokter Indonesia dirayakan. Kata ""dokter"" ini diambil dari bahasa latin "" "" yang artinya "" "" atau mengajar. Selama lebih dari 1.000 tahun lalu di Eropa, sebutan dokter telah digunakan sebagai gelar terhormat. Kemudian, istilah dokter sendiri artinya yakni semua profesi medis yang sudah memiliki lisensi untuk praktik dalam menyembuhkan suatu penyakit. Sebelum dibentuk dan diresmikannya Hari Dokter Nasional, sebenarnya organisasi Ikatan Dokter Indonesia sudah lahir terlebih dahulu, yakni pada tahun 1911. Awalnya, perkumpulan dokter di Indonesia dinamakan  . Setelah kurang lebih lima belas tahun bekecimpung sebagai tenaga medis, akhirnya pada tahun 1926, organisasi tersebut berubah nama menjadi  . Kemudian, tahun 1940, VIG menggelar sebuah kongres di Solo. Saat itu Prof. Bahder Djohan ditugaskan untuk membina dan memikirkan istilah baru dalam dunia kedokteran. Tiga tahun berikutnya, tepatnya saat masa pendudukan Jepang, VIG dibubarkan dan diganti menjadi Jawa izi Hooko-Kai. Pada 30 Juli 1950, atas usul dari Dr. Seni Sastromidjojo, PB Perthabin (Persatuan Thabib Indonesia), dan DP-PDI (Perkumpulan Dokter Indonesia) digelar satu pertemuan yang menghasilkan ""Muktamar Dokter Warganegara Indonesia (PMDWNI)"". Dr. Bahder Djohan menjadi ketuanya. Pada tangga 22-25 September 1950, Muktamar I Ikatan Dokter Indonesia (MIDI) digelar di Deca Park, dan diresmikan pada bulan Oktober. Melalui muktamar IDI itu, Dr. Sarwono Prawirohardjo terpilih menjadi Ketua Umum IDI yang pertama. Hari Dokter Nasional ini diperingati sebagai momentum untuk melihat kembali bagaimana pentingnya profesi dokter di Indonesia. Sebelum organisasi IDI terbentuk, para dokter di Indonesia sudah mencatatkan dirinya sebagai salah satu pahlawan dan pejuang kemanusiaan. Nama besar dokter seperti dr. Sutomo, Wahidin Sudirohusodo, Tjipto Mangoenkoesomo, dan nama-nama dokter lainnya telah tercatat dalam sejarah. Tidak hanya menyembuhkan penyakit, namun juga memerangi penjajahan di Indonesia oleh bangsa asing. Jika melihat kembali pada masa perjuangan untuk merdeka, profesi dokter di Indonesia pertama kali lahir melalui keputusan Gubernemen No. 22 tentang penyelenggaraan pendidikan kedokteran di Indonesia (Nederlandsch Indie) pada tanggal 2 Januari 1849. Kemudian, didirikanlah sekolah pendidikan dokter di Indonesia karena Pemerintah Hindia Belanda saat itu kesulitan melawan wabah malaria. Saat itu, 12 orang siswa diluluskan dan diberi gelar 'Dokter Djawa' setelah menempuh pendidikan selama dua tahun. Meski gelarnya dokter, lulusan-lulusan dokter tersebut hanya dipekerjakan sebagai 'mantri cacar'. Melalui perjalanan yang panjang, pada tahun 1898, sekolah pendidikan dokter yang sebenarnya dibentuk dengan nama STOVIA. Melalui sekolah ini, lahirlah dokter-dokter pejuang kemerdekaan. Salah satunya adalah Dr. Sutomo, ia bersama Gunawan Mangunkusumo, Cipto Mangunkusumo dan R.T Ario Tirtokusumo mendirikan Boedi Oetomo. Para pendiri Boedi Oetomo menyadari bahwa untuk lebih maju, maka bidang yang harus diprioritaskan adalah pendidikan dan pengajaran. Organisasi ini mempunyai motif sebagai sebuah organisasi modern yang memiliki pemimpin, ideologi dan anggota yang jelas. Demikian informasi mengenai  . Semoga bermanfaat.","Hari Dokter Nasional 24 Oktober, Simak Lagi Sejarahnya",idi,https://news.detik.com/berita/d-5778319/hari-dokter-nasional-24-oktober-simak-lagi-sejarahnya?single=1,"Sabtu, 23 Okt 2021 17:58 WIB"
"Ketua Satgas COVID-19 Ikatan Dokter Indonesia Prof Zubairi Djoerban menilai penerapan wajib   di semua moda transportasi memberatkan sejumlah kalangan. Terlebih jika harga hanya diturunkan menjadi Rp 300 ribu, ia mendesak adanya subsidi dari pemerintah terkait harga PCR. ""Harga tes PCR jadi Rp300 ribu sepertinya masih berat bagi sebagian besar kalangan,"" cuit Prof Zubairi dalam akun Twitternya @ProfesorZubairi, Selasa (26/10/2021). ""Apalagi jika diterapkan di seluruhmoda transportasi. Bayangkan kalau sekeluarga 4-5 orang. Kekuatan pasar harus mendorong hargaPCR terus turun--didukung pemerintah yang juga menerapkan subsidi,"" sambung dia. Kilas balik di tahun 1987 saat menghadapi kasus HIV, Zubairi menjelaskan harga tes viral load kala itu juga sangat mahal. Mencapai 1,7 juta untuk sekali tes. ""Kemudian turun beberapa kali, sampai akhirnya pemerintah punya program subsidi tes tersebut,"" kata dia. Zubairi menilai, penerapan subsidi dalam tes tersebut bisa juga diterapkan pada tes PCR. ""Kalau tes viral load bisa, kemungkinan tes PCR juga bisa,"" tutupnya. Wacana penerapan syarat PCR untuk seluruh moda transportasi muncul usai pemerintah melaporkan peningkatan kasus COVID-19 di tengah mobilitas yang kembali tinggi. Meski kasusnya tidak begitu signifikan, hal ini menjadi kekhawatiran pemerintah di tengah ancaman gelombang ketiga COVID-19.",,idi,https://health.detik.com/berita-detikhealth/d-5783243/tes-pcr-rp-300-ribu-dinilai-masih-mahal-pakar-idi-usulkan-subsidi?single=1,"Selasa, 26 Okt 2021 14:35 WIB"
"Efek   Pfizer ditemukan beberapa Laporan Kejadian Ikutan Pasca Imunisasi (KIPI). Vaksin ini menjadi yang pertama mendapatkan izin dari WHO dan FDA untuk penanganan COVID-19. Vaksin yang merupakan hasil besutan kerjasama antara perusahaan Pfizer dan German BioNTech dengan menggunakan teknologi jenis mRNA, terbukti efektif dan dapat ditoleransi untuk 3 kelompok usia. Efektivitas untuk usia 16 tahun ke atas adalah sebesar 95,5 persen, usia 12-15 tahun bisa mencapai 100%, dan penelitian terbaru mengungkapkan vaksin Pfizer juga efektif untuk anak usia 5-11 tahun dengan efektivitas mencapai 90,7 persen. Secara umum, efek samping   Pfizer dapat dirasakan lokal dan sistemik. Dalam Webinar Tim Mitigasi IDI (17/10/2021), Sekretaris KIPI Julitasari melaporkan temuan terkait efek vaksin Pfizer, berikut penjelasannya Sedangkan efek samping Vaksin Pfizer untuk kelompok usia 5-11 tahun berdasarkan dokumen laporan penelitian pihak Pfizer yang diajukan ke FDA (26/10/2021), yaitu: Efek seperti yang disebutkan biasanya terjadi dalam satu atau dua hari setelah mendapatkan vaksin. Hal itu sebenarnya merupakan tanda normal, yang artinya tubuh sedang membangun perlindungan (antibodi) dalam melawan serangan Virus Corona dan akan menghilang dalam beberapa hari. Namun, jika efek samping   Pfizer berlangsung dalam waktu yang lebih lama, segera laporkan ke pihak vaksinasi atau konsultasi ke dokter.",,idi,https://health.detik.com/berita-detikhealth/d-5784076/efek-vaksin-pfizer-bengkak-demam-hingga-merasa-lelah?single=1,"Selasa, 26 Okt 2021 21:40 WIB"
"Pemerintah kembali mewajibkan hasil negatif   bagi pelaku perjalanan yang menggunakan mode transportasi pesawat. Ini dilakukan seiring uji coba pelonggaran mobilitas dengan tidak menerapkan kewajiban penjarakan antar penumpang. Ketua Satgas COVID-19 Ikatan Dokter Indonesia (IDI) Prof   dalam cuitannya menyiratkan dukungan, dan menganggap tes PCR penting sekalipun sudah divaksin. Tak pelak, komentar miring bermunculan dari segelintir netizen. ""Dapat komisi berapa persen dari penjualan PCR Prof?,"" cuit salah satu netizen di Twitter, yang dilihat detikcom pada Jumat (22/10/2021). Menanggapi tudingan tersebut, Prof Zubairi menekankan bahwa dokter sama sekali tidak mendapat komisi dari penjualan PCR. ""Posisi saya jelas. Sama seperti vaksin, tes PCR sangat penting untuk melawan pandemi. Tapi jangan dipahami dokter itu mendapat komisi dari penjualan PCR,"" tulis Prof Zubairi dalam akun Twitter miliknya. Menurutnya, tes PCR itu memiliki kepentingan yang sama dengan vaksin COVID-19. Bahkan ia mengatakan kalau bisa tes PCR ini diberikan secara gratis kepada masyarakat seperti halnya vaksin. ""Tidak nyambung. Bahkan, karena penting, harusnya   bisa seperti vaksin, yakni gratis. Itu kalau bisa,"" tegasnya.",,idi,https://health.detik.com/berita-detikhealth/d-5778369/anggap-penting-tes-pcr-untuk-naik-pesawat-pakar-idi-dituding-terima-komisi?single=1,"Jumat, 22 Okt 2021 18:18 WIB"
"Selama Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM), sejumlah aturan kembali disesuaikan termasuk syarat perjalanan. Pemerintah mewajibkan masyarakat yang bepergian dengan transportasi pesawat untuk menyertakan hasil negatif . Kebijakan baru ini pun didukung oleh Ketua Satgas COVID-19 Ikatan Dokter Indonesia (IDI) Prof Zubairi Djoerban. Menurutnya, meski sudah divaksinasi lengkap, penularan   masih bisa terjadi. ""Saya pikir kebijakan tes PCR negatif sebelum naik pesawat itu penting,"" tulisnya di akun media sosial Twitter miliknya seperti dilihat  , Jumat (22/10/2021). ""Meski tubuh memproduksi antibodi dengan vaksin, tapi tidak serta merta mencegah penularan. Sehingga, masker pun tetap wajib di tempat tertutup seperti pesawat,"" jelasnya. Ada berbagai alasan yang menjadi landasan dari munculnya aturan baru ini. Menurut Direktur Pencegahan dan Pengendalian Penyakit Menular Langsung (P2PML) dr Siti Nadia Tarmizi, hasil   dipilih karena lebih akurat jika dibandingkan dengan tes antigen di situasi saat ini. ""Angka positivity rate yang rendah saat ini kurang dari satu persen, maka kasus positif akan sangat jarang. Sehingga sensitivitas dari rapid antigen dapat menyebabkan negatif palsu,"" terangnya saat dihubungi  , Rabu (20/10/2021). ""Karena sekarang jumlah kasus positif rendah, jadi antigen dapat menyebabkan pemeriksaan negatif. Padahal mungkin tidak negatif,"" lanjutnya. Tak hanya itu, juru bicara Satgas Penanganan COVID-19 Prof Wiku Adisasmito mengatakan kebijakan baru ini dibuat untuk mendukung uji coba pelonggaran mobilitas yang tengah dijalankan saat ini. Salah satunya tidak adanya penerapan kewajiban penjarakan antar penumpang. ""Pengetatan metode testing menjadi pcr saja di jawa bali dan non jawa bali di level 3 dan 4 ini dilakukan mengingat sudah tidak diterapkannya penjarakan antar tempat duduk atau seat distancing dengan kapasitas penuh,"" ungkap Wiku dalam konferensi pers BNPB, Kamis (21/10/2021). ""Sebagai uji coba pelongggaran mobilitas demi pemulihan ekonomi di tengah kondisi kasus yang cukup terkendali,"" sambung dia. Wiku menegaskan tes PCR sampai saat ini masih menjadi golden standard untuk menjaring kasus positif  , daripada rapid test antigen. Tetapi, jika ternyata ada penumpang yang bergejala saat berada di pesawat, diwajibkan untuk memberi jarak kepada penumpang lainnya. ""Untuk mengoptimalisasi pencegahan penularan, pihak maskapai wajib memisahkan 3 row yang dikosongkan, untuk pemisahan bagi pelaku perjalanan yang bergejala saat perjalanan,"" pungkasnya. Hingga saat ini, syarat tersebut baru berlaku untuk perjalanan transportasi pesawat. Sementara untuk perjalanan bus, kereta api, dan kapal laut masih diperbolehkan menunjukkan hasil negatif COVID-19 tes antigen.",,idi,https://health.detik.com/berita-detikhealth/d-5777580/terbang-wajib-pcr-meski-sudah-vaksin-memang-harus-begitu-kata-pakar-idi?single=1,"Jumat, 22 Okt 2021 11:00 WIB"
