artikel,judul,keyword,link,tanggal
"PWNU Jatim mengeluarkan usulan fatwa haram untuk cryptocurrency ( ). Keputusan itu didasarkan pada hasil kajian lembaga Bahtsul Masail, Minggu (24/10/2021). Keputusan ini akan dibawa ke Muktamar NU ke-34 di Lampung pada Desember mendatang. Khatib Syuriah PWNU KH Syafrudin Syarif mengatakan hasil keputusan Bahtsul Masail itu diusulkan karena invetasi kripto telah menjadi kajian internasional. Untuk itu, pihaknya akan memperjuangkan keputusan tersebut di Muktamar NU yang rencananya digelar 23-25 Desember mendatang. ""Hasil keputusan Bahtsul Masail ini adalah masih kita akan usulkan di muktamar. Karena kripto ini adalah sudah menjadi masalah internasional yang sudah menjadi bahan kajian ke depan. Maka akan dibahas secara nasional di PBNU. Sebenarnya pada munas kemarin akan dibahas tapi tidak jadi karena akan dibahas di muktamar,"" jelas Syafrudin kepada wartawan di kantor PWNU Jatim Jalan Gayungan, Selasa (2/11/2021). ""Makanya hasil keputusan ini akan kita perjuangkan dari sisi hukum dari kita adalah merupakan   ini sesuatu yang haram karena membahayakan,"" imbuhnya. Untuk itu, lanjut Syafrudin, PWNU Jatim akan berjuang di muktamar agar usulan ini bisa diterima dan menjadi keputusan nasional. Meski demikian, jika nantinya usulan yang disampaikan itu ditolak, maka PWNU Jatim akan tetap mengikuti keputusan bersama. ""Tentu secara organisasi setelah terjadi perdebatan di sana kita akan mengambil keputusan yaitu keputusan yang diambil PBNU karena itu seluruh Indonesia, itu yang akan kita jadikan pedoman,"" ujarnya. ""Jadi dalil-dalil dasarnya kita ini sangat kuat sekali. Tetap jadi kembali secara organisasi apapun yang diputuskan PBNU itu yang akan kita ikuti bersama. Makanya ini istilahnya adalah usulan dari   bersama cabang-cabangnya,"" tandas Syafrudin.",Ini Alasan PWNU Jatim Akan Bawa Fatwa Haram Uang Kripto ke Muktamar,munas,https://news.detik.com/berita-jawa-timur/d-5794169/ini-alasan-pwnu-jatim-akan-bawa-fatwa-haram-uang-kripto-ke-muktamar?single=1,"Selasa, 02 Nov 2021 20:03 WIB"
"Partai Kebangkitan Nusantara (PKN), partai besutan loyalis   telah didaftarkan ke Kemenkumham hari ini. Sekjen PKN Sri Mulyono menceritakan bahwa proses pembentukan partai ini selalu dikonsultasikan oleh Anas setiap sebulan sekali. ""Oh iya setiap langkah politik kami tentu berkonsultasi dengan Mas Anas, kami berkomunikasi dengan Mas Anas mungkin sebulan sekali saya mengunjungi beliau ya, konsultasi intens soal langkah-langkah kami, dan beliau membimbing kami,"" kata Sri di Kemenkumham, Senin (1/11/2021).  pun saat ini masih mendekam di penjara usai dinyatakan bersalah dalam kasus korupsi. Dia dihukum 8 tahun penjara, pasca hukumannya disunat oleh Mahkamah Agung (MA) dari 14 tahun penjara. Sri mengatakan pihaknya minggu lalu juga sempat berkomunikasi dengan Anas soal hasil munas. Anas saat itu memberikan saran supaya administrasi PKN diupayakan segera selesai. ""Hari Sabtu lalu kita ke Mas Anas untuk melaporkan hasil Munas kita, dan beliau menyarankan supaya administrasi harus dibereskan dulu. Langkah pertama adalah membereskan administrasi, setelah administrasi beres baru kita berpikir langkah selanjutnya,"" katanya. Terkait posisi Anas di PKN, Sri mengatakan hal itu nantinya mengikuti kewenangan Anas sendiri. Dia belum bisa menyatakan hal tersebut. ""Itu nanti ya terserah Mas Anas ya, kita sih ikut beliau saja soal langkah-langkah politik ya, kalau beliau seperti apa ya kita ikut saja. Iya tergantung Pak Anas,"" katanya. Sebelumnya, Partai Kebangkitan Nusantara (PKN) mendaftarkan diri sebagai partai politik (parpol) ke Kemenkumham. Partai PKN sendiri diketuai oleh Gede Pasek Suardika, yang baru saja keluar dari Partai Hanura. ""Kita membawa seluruh persyaratan yang diberlakukan oleh Kementerian Hukum dan HAM, kita bawa semua. Dan sudah diteliti tadi sama petugas di dalam, memang ada beberapa kekurangan kecil yang harus kami lengkapi,"" ujar Sekjen PKN Sri Mulyono di Kemenkumham, Senin (1/11). Sri mengatakan kekurangan persyaratan tersebut akan dilengkapi secepat mungkin. Dia mengharapkan doa demi kelancaran pembentukan partai yang dibentuk oleh loyalis   ini. ""Ya mungkin satu dua hari ini kita akan melengkapinya dan kami berharap semua berjalan baik dan lancar. Mohon doa dari teman-teman media semua supaya ini kepengurusan secara legal di Kumham berjalan baik dan lancar semua,"" katanya.",Loyalis Ungkap Arahan Anas Urbaningrum Usai Konsultasi soal PKN,munas,https://news.detik.com/berita/d-5791664/loyalis-ungkap-arahan-anas-urbaningrum-usai-konsultasi-soal-pkn?single=1,"Senin, 01 Nov 2021 13:44 WIB"
"Gubernur Jawa Timur Khofifah Indar Parawansa menghadiri Munas Alim Ulama PPP di Semarang. Dalam kegiatan ini, ia menceritakan awal mula kariernya di bidang politik yang dimulai dari PPP. ""Bahwa dulu pernah ada, anak perempuan ndeso dan sekarang masih ndeso, yang diantarkan oleh PPP menjadi anggota DPR RI. Saya harap ke depan lebih banyak lagi kader-kader yang diantarkan,"" ungkap Khofifah dalam keterangan tertulis, Senin (18/10/2021). Menurut Khofifah, kini PPP tidak hanya menjadi Rumah Besar Umat Islam, namun juga menjadi rumah ulama dan istana umat. Ia mengatakan saat ini menurutnya tinggal bagaimana membuat action plan agar PPP mampu menjadi corong terdepan dalam menyampaikan aspirasi umat Islam. ""PPP harus bersapa langsung dengan umat, dengan jemaah. Kiai-kiai kampung dan ulama kampung harus dilibatkan, karena mereka ini yang menyapa umat secara rutin. Apakah itu jemaahnya puluhan orang atau ratusan orang, PPP harus merangkul mereka semua,"" katanya. Ia pun menilai PPP perlu memanfaatkan jaringan organik yang dimiliki, baik dari pusat sampai ranting. Selain jaringan, partai juga perlu jaringan untuk menyapa kalangan milenial. ""Kalau jaringan organiknya sudah kuat maka PPP tidak perlu buzzer, karena gerakan kader di setiap daerah sudah kuat,"" ujarnya. Khofifah mencontohkan jika dalam satu provinsi diambil lima kabupaten, satu kabupaten diambil lima kecamatan, kemudian masing-masing kecamatan ada lima desa, terus dihitung sampai tingkat RT/RW. ""Kemudian dari penghitungan tersebut dijadikan pilot project, baru di-breakdown secara detail. Menghitung suara itu sama dengan menghitung perorangan, harus scientific approach dan detail. Harus dilakukan koordinasi, dan ada intervensi secara organisasi,"" jelasnya. Khofifah menambahkan jika basisnya per desa, perlu dipastikan struktur yang kuat hingga tingkat ranting kuat serta tingkat kecamatan kuat. ""Saya usul juga jejaring Mbah Maemun Zubair harus disowani. Basis pemilih tradisional dan basis pemilih pemula harus digarap. Ini saya malah seperti konsultan politik,"" imbuhnya. Dalam kesempatan ini, Khofifah pun mengingatkan PPP untuk melakukan transformasi digital secara masif di lingkungan PPP.","Agar PPP Jadi Corong Aspirasi Umat, Khofifah Dorong Rangkul Ulama",munas,https://news.detik.com/berita/d-5773005/agar-ppp-jadi-corong-aspirasi-umat-khofifah-dorong-rangkul-ulama?single=1,"Senin, 18 Okt 2021 23:39 WIB"
"rampung digelar di Kota Semarang, Jawa Tengah. Selain membahas persoalan agama, sosial ekonomi, hingga politik, dalam Munas itu juga diakui untuk menimbang calon terbaik di  . Dalam acara yang digelar di Ponpes Fadhlul Fadhlan Kota Semarang sejak hari Minggu (17/10) kemarin, ada empat gubernur diundang yaitu Gubernur Jateng Ganjar Pranowo, Gubernur Jabar Ridwan Kamil, Gubernur Jatim Khofifah Indar Parawansa dan Gubernur DKI Jakarta Anies Baswedan. Namun dalam acara itu Ganjar tidak hadir karena sedang berada di luar Jawa. Dari keempat tokoh tersebut, siapa yang berpeluang bakal diusung PPP di ? ""Kalau sebagai parpol, calon, kami pasti akan mengangkat tidak mungkin tidak. Tapi soal keputusan (capres) nanti akan kami bicarakan bersama, tentu mempertimbangkan plus minusnya karena memang tidak ada yang sempurna. Plus minusnya yang tentu akan banyak bermanfaat bagi umat,"" kata Wakil Ketua Majelis Syariah DPP PPP sekaligus Steering Committee Munas Alim Ulama PPP, KH Haris Shodaqoh di lokasi acara, Senin (18/10/2021). ""Ini juga dalam rangka kami menyaring siapa kira-kira calon terbaik. Dan bisa juga di kesempatan yang lain juga begitu,"" lanjutnya. Namun ia menjelaskan pendekatan politik tidak hanya dilakukan pada acara kali ini saja. Menurutnya pendekatan politik tak hanya lewat acara yang digelar partai tapi bisa dilakukan dengan pertemuan langsung dengan tokoh tersebut. ""Kan kesempatan kita mengadakan pendekatan tidak hanya di tempat ini saja, kan kita bisa ketemu langsung nanti. Maka kita katakan kapan waktu kita akan menemui tokoh-tokoh itu siapa di antaranya yang sesuai dengan ideologi PPP, napas perjuangan PPP, asas PPP yang akan datang,"" ujarnya. Soal napas partai,   tersebut memutuskan ketetapan yang terdiri dari 4 Bab dan 19 poin. Pada bab terakhir disebutkan soal kepemimpinan nasional yang berbunyi: 1. PPP dalam merekrut, memilih dan mendukung calon kepemimpinan Nasional harus selalu berpijak pada nilai-nilai ajaran Islam Ahlussunnah Waljamaah yang menjadi kriteria utamanya. 2. Dalam memilih dan berkawan dengan partai lain untuk mendukung kepemimpinan Nasional, partai yang dipilih atau yang diajak berkoalisi tersebut harus selaras dan senapas dengan nilai-nilai kepemimpinan yang dipedomani oleh PPP.","PPP Cari 'Kawan Senapas' untuk Koalisi Pilpres 2024, Apa Kriterianya?",munas,https://news.detik.com/berita-jawa-tengah/d-5772711/ppp-cari-kawan-senapas-untuk-koalisi-pilpres-2024-apa-kriterianya?single=1,"Senin, 18 Okt 2021 18:25 WIB"
"Partai Golkar berulang tahun ke-57. Ketua DPD   M Sarmuji memantapkan dukungan kepada Airlangga Hartarto sebagai calon Presiden di 2024. ""Seluruh warga Golkar Jatim di semua kabupaten/kota telah memantapkan niat dan membulatkan tekad, untuk mengusung Ketua Umum DPP Partai Golkar Airlangga Hartarto sebagai presiden tahun 2024,"" ujar Sarmuji dalam peringatan HUT Golkar ke-57 di Kantor DPD Golkar Jatim, Rabu (20/10/2021). Sarmuji menegaskan, keputusan Golkar Jatim mengusung Airlangga sudah diputuskan dalam Munas, Rapimnas, Musda, dan Rakerda yang dilaksanakan partai beberapa waktu lalu. ""Dasarnya (mengusung Airlangga) adalah amanat Munas, Rapimnas, Rapimda, serta Rakerda yang sudah dilaksanakan oleh semua DPD kabupaten/kota,"" terangnya. Selain keputusan internal Partai Golkar, Anggota DPR RI ini menyebut, bahwa secara sosiologi, popularitas dan elektabilitas Airlangga Hartarto semakin meningkat. ""Dasar sosiologisnya bisa kita lihat bahwa di Jatim perkembangan popularitas dan elektabilitasnya Pak Airlangga makin lama makin naik. Kalau survei sebelumnya hanya 35 Persen untuk popularitas, kemarin survei The Republik sudah mencapai 62 persen. Sedangkan elektabilitasnya pada survei sebelumnya hanya nol koma kemarin sudah 4.5 persen. Jadi jalan Pak Airlangga untuk menang Pilpres di Jatim sangat terbuka,"" bebernya. Anggota Fraksi Golkar DPR RI ini menambahkan, pihaknya akan terus bekerja keras meningkatkan elektabilitas Airlangga Hartarto di daerah-daerah. Selain itu, pihaknya juga memaksimalkan saluran informasi. ""Kita akan memaksimalkan jaringan kita, baik darat maupun udara untuk memenangkan Pak Airlangga. Insyaallah masyarakat Jatim akan menerima Pak Airlangga dengan baik, dan jalan Pak Airlangga sebagai presiden terbuka lebar,"" pungkasnya. Dalam HUT Golkar ke-57, DPD   menggelar sejumlah rangkaian acara. Pada Rabu (20/10) pagi, Golkar Jatim menggelar upacara dan ziarah makam para sesepuh partai di Taman Makam Pahlawan (TMP), Jalan Ngagel Surabaya. Bertindak sebagai inspektur upacara ialah M Sarmuji dan komandan upacara Djauhari Tjatur Soewarno. Upacara dilanjutkan dengan peletakan karangan bunga dan tabur bunga di Makam sesepuh Moch Said, mantan Ketua Golkar Jawa Timur era orde baru, oleh M Sarmuji. Lalu Ketua Pelaksana HUT ke-57 Kodrat Sunyoto (Ketua Fraksi Golkar DPRD Jatim) dan para wakil ketua DPD Golkar Jawa Timur. Pada Kamis (21/10), rangkaian HUT Golkar Jatim dilanjutkan dengan khotmil qur'an, dan Golkar berselawat. Selama HUT, Golkar Jatim menggelar sejumlah lomba. Di antaranya lomba ikan cupang, lomba Yahlal Wathon dan stand up comedy.","HUT Partai, Ketua Golkar Jatim: Jalan Airlangga Jadi Presiden Terbuka Lebar",munas,https://news.detik.com/berita-jawa-timur/d-5774965/hut-partai-ketua-golkar-jatim-jalan-airlangga-jadi-presiden-terbuka-lebar?single=1,"Rabu, 20 Okt 2021 13:08 WIB"
"Setelah terpilih akhir September lalu, Ketua Umum Asosiasi Penyelenggara Jasa Internet Indonesia ( )   mengumumkan susunan pengurus baru untuk periode 2021-2024. Struktur kepengurusan ini dipilih berdasarkan mufakat antara Ketua Umum dan Dewan Pengawas APJII, pasca Musyawarah Nasional XI APJII Tahun 2021. ""Struktur pengurus yang kita umumkan mencakup Dewan Pengurus dengan semua bidang kerja, dan Unit APJII-IDNIC,"" ujar Arif. Dalam kepengurusan sebelumnya terdapat 11 bidang kerja APJII, dan satu unit IDNIC-APJII. Jumlah bidang dan unit kerja juga tetap dipertahankan di periode 2021-2024 ini, hanya saja terdapat perbedaan signifikan dari bidang kerja yang akan digarap. Paling signifikan terjadi perombakan ada pada Bidang Pengembangan Wilayah yang dibagi menjadi dua yakni Indonesia Barat dan Indonesia Timur. Selain itu, perombakan bidang kerja lainnya juga terjadi pada Bidang Hubungan Masyarakat, yang pada periode lalu bernama Bidang Media dan Event. Perubahan tersebut dilakukan karena APJII memerlukan penguatan organisasi dengan menyelaraskan pengurus fungsional dengan visi misi yang dibawa. Selain itu, juga perlu memperkuat kemitraan atau kolaborasi dengan pemerintah dań seluruh anggota di tiap wilayah. ""Meningkatkan efektivitas organisasi melalui finalisasi struktur organisasi APJII, serta penyusunan alur proses hubungan dan komunikasi yang baik antar Ketua Bidang,"" Ujar Arif. Perubahan lainnya, jika pada periode lalu survey perkembangan penetrasi dan pengguna internet ditangani oleh Bidang Pengembangan Ekosistem dan Survey, tahun ini bidang tersebut melebur ke Bidang Riset, Pelatihan, dan Sertifikasi. Sementara itu, Bidang Pengembangan Wilayah APJII yang dibagi menjadi dua wilayah, mengamanatkan segera membentuk kepengurusan APJII DKI Jakarta. Berikut ini susunan lengkap Dewan Pengurus APJII Periode 2021-2024: Ketua Umum: Muhammad Arif Sekretaris Jenderal: Zulfadly Syam Bendahara: Muri Kuswanto Ketua Bidang Koordinator Organisasi dan Keanggotaan: I Gede Yudhatama Ketua Bidang Pengembangan Wilayah 1: Tigor Jonson Ketua Bidang Pengembangan Wilayah 2: Isan Supriyadi  Ketua Bidang Pelatihan dan Sertifikasi: Firdhyan Adhi Lesmana Ketua Bidang Layanan dan Komunikasi Anggota: Heru Setiawan Ketua Bidang Koordinator IIX dan Data Center: Syarif Lumintarjo Ketua Bidang Keamanan Siber: Arry Abdi Syalman Ketua Bidang Hubungan Antar Lembaga: Muhammad Reagy Sukmana  Ketua Bidang Hubungan Masyarakat: Antonius Ambar Widowo  Ketua Bidang Regulasi dan Advokasi: Arfizar Zulkarnaen Ketua Bidang Kemitraan: Supriyanto Ketua Unit IDNIC-APJII: Adi Kusuma Pengurus Unit IDNIC-APJII Public Relation & Sekretaris: Sarwani Dwinanto Pengurus Unit IDNIC-APJII Advisor Senior: Teddy A. Purwadi Pengurus Unit IDNIC-APJII Finansial & Keuangan: Bayubadra Megananda Pengurus Unit IDNIC-APJII Komunikasi Digital dan Event: Mangara P. Peranginangin Pengurus Unit IDNIC-APJII Infrastruktur Internet dan Pengembangan: Agus Ariyanto Pengurus Unit IDNIC-APJII Pelatihan dan Produktivitas SDM: M. Andri Setiawan Pengurus Unit IDNIC-APJII Layanan NIR (Internet Resources Service): Sabirin Muhtar Pengurus Unit IDNIC-APJII Pengembangan Produk NIR (Internet Resources Service): Juny Maimun Pengurus Unit IDNIC-APJII Hubungan Strategis Publik: Parlin Pasaribu",Ini Susunan Lengkap Kepengurusan APJII Periode 2021-2024,munas,https://inet.detik.com/telecommunication/d-5794096/ini-susunan-lengkap-kepengurusan-apjii-periode-2021-2024?single=1,"Selasa, 02 Nov 2021 19:30 WIB"
"Partai Golkar membuka peluang untuk berkoalisi dengan partai mana pun. Ketua Umum Parta NasDem   mengatakan dirinya akan membahas koalisi dengan Partai Golkar secara pertemanan. ""Golkar mau (konsolidasi) nggak? Kan belum tentu, nanti kita lihat, kita coba bisik-bisik dulu ya. Kita duduk mungkin, secara pertemanan ya,"" kata   kepada wartawan di Hotel Redtop, Pecenongan, Jakarta Pusat, Kamis (28/10/2021). Menurutnya, pembahasan tersebut tak bisa dilakukan langsung secara formal. Ini disebabkan harus terdapat kesepakatan di awal di antara kedua belah pihak. ""Kesepakatan awal itu digagas oleh  yang bersifat informal, nah itu harus ada menyatukan dulu pikiran, apa yang terbaik,"" ungkap  . Diketahui, partai mana pun yang hendak berkoalisi dengan Partai Golkar harus mengacu pada hasil munas (musyawarah nasional). Syarat munas itu menghasilkan Partai Golkar mengusung ketua umumnya, Airlangga Hartarto, maju menjadi calon presiden (capres) 2024. ""Kita belum bicara masalah pilpres, jadi kita belum bicara masalah konvensi dan sebagainya. Kalaupun koalisi, koalisi itu kan semua kemungkinan bisa terjadi,"" kata Waketum Golkar Adies Kadir kepada wartawan, Kamis (21/10/2021). Adies menerangkan politik bersifat dinamis. ""Namanya juga politik, semua bisa berubah. Tapi kita belum bisa bicara pilpres saat ini. Cuma kalau hasil munas kemarin, hasil rakernas dan rapimnas, kita sudah memutuskan mengusung Pak Airlangga Hartarto untuk menjadi capres. Jadi itu hasil munas dan rakerda."" ""Kita prinsipnya terbuka terhadap semua partai. Kita tunggu saja dulu. Yang penting hasil munas kita kan sudah jelas . Kalau berkoalisi kan juga harus mengacu pada hasil munas, kan  ,"" lanjut Adies. Adies menegaskan Golkar belum membicarakan dengan siapa partainya berkoalisi sejauh ini. Golkar tengah fokus bekerja membantu pemerintah dalam menangani pandemi. ""Belum, belum ada pembahasan koalisi, masih lama itu, sekarang kita bicara bagaimana masyarakat Indonesia bisa bebas, bisa melewati pandemi COVID. Itu yang paling penting,"" ujarnya. ""Makanya kita  kerja... kerja... kerja..., membangkitkan ekonomi masyarakat, masyarakat sehat semua. Kita masih mikir itu. Karena 2024 masih lamalah, kita   kerja  dulu,"" pungkas Adies.",Surya Paloh Mau Bisik-bisik Bahas Koalisi dengan Golkar,munas,https://news.detik.com/berita/d-5786513/surya-paloh-mau-bisik-bisik-bahas-koalisi-dengan-golkar?single=1,"Kamis, 28 Okt 2021 14:30 WIB"
"Pekan lalu PPP menggelar Munas Alim Ulama di Semarang dengan menghadirkan tiga gubernur dari Pulau Jawa.   menepis anggapan bahwa kehadiran para gubernur itu sebagai ajang mencari capres untuk 2024. ""Munas Alim Ulama PPP di Semarang mengundang 4 gubernur di P. Jawa. Yang datang 3 gubernur, yakni Gubernur DKI Anies Baswedan, Gubernur Jabar Ridwan Kamil, dan Gubernur Jatim Khofifah Indar Parawansa. Sedang Gubernur Jateng Ganjar Pranowo berhalangan hadir,"" kata Waketum PPP Arsul Sani kepada wartawan, Senin (18/10/2021). ""Ini murni keinginan para alim ulama PPP untuk mengetahui konsep 'Membangun Indonesia dari Daerah' yang mereka jalankan sebagai gubernur. Maka ketiganya mempresentasikan kepada 100-an ulama PPP yang hadir fisik dan 200-an yang hadir secara daring,"" imbuhnya. Kehadiran Anies hingga Ridwan Kamil di Munas Alim Ulama PPP, menurut Arsul, hanya untuk menyampaikan capaian di daerah masing-masing. Tak ada pembahasan soal capres 2024 dari para gubernur yang hadir saat itu, kata Arsul. ""Acara ini tidak didesain sebagai 'beauty contest' untuk mencari capres dan cawapres, karena PPP sendiri memang sedang mempersiapkan diri untuk pileg agar perolehan suara dan kursinya meningkat, minimal kembali ke hasil Pemilu 2014. Ketiga gubernur pun tidak bicara pilpres, tapi menyampaikan capaian program mereka sebagai kepala daerah,"" ujarnya. Arsul menjelaskan alasan mengundang Anies Baswedan. Kata Arsul, bukan hanya Anies yang diundang, tapi juga Ridwan Kamil, Khofifah Indar Parawansa, dan Ganjar Pranowo. Terkait capres 2024, PPP kata Arsul hanya menerima dari internal hingga para ulama. ""Soal capres-cawapres untuk Pilpres 2024 di PPP sendiri sekali lagi masih cair, terbuka. PPP hanya mendengarkan aspirasi dari kalangan-kalangan internalnya serta ormas-ormas Islam, dan termasuk para alim ulama PPP,"" ucapnya. Keempat gubernur yang diundang di Munas Alim Ulama PPP diusulkan internal PPP menjadi capres 2024. Selain, itu Ketum PPP Suharso Monoarfa, Menko Polhukam Mahfud Md, hingga Menhan Prabowo Subianto juga diusulkan internal PPP. ""Tentu kalo bicara kalangan internal maka ada yang minta agar Ketum PPP yang ditampilkan, ada juga yang bersuara agar selain Ketum PPP juga mempertimbangkan nama-nama gubernur di atas. Ada juga yang usul beberapa nama dari kabinet, seperti Mahfud Md, Erick Thohir, Sandi Uno, bahkan Pak Prabowo,"" imbuhnya.","Capres Idaman Internal PPP: Anies, Erick Thohir hingga Prabowo",munas,https://news.detik.com/berita/d-5772361/capres-idaman-internal-ppp-anies-erick-thohir-hingga-prabowo?single=1,"Senin, 18 Okt 2021 16:01 WIB"
"Partai   membuka koalisi dengan partai siapa pun namun dengan syarat mengacu pada hasil musyawarah nasional (munas). Diketahui, syarat munas itu menghasilkan Partai Golkar mengusung ketua umumnya Airlangga Hartarto maju menjadi calon presiden (capres) 2024. ""Kita belum bicara masalah pilpres, jadi kita belum bicara masalah konvensi dan sebagainya. Kalaupun koalisi, koalisi itu kan semua kemungkinan bisa terjadi, namanya juga politik, semua bisa berubah. Tapi kita belum bisa bicara pilpres saat ini. Cuma kalau hasil munas kemarin, hasil rakernas dan rapimnas, kita sudah memutuskan mengusung Pak Airlangga Hartarto untuk menjadi capres. Jadi itu hasil munas dan rakerda,"" kata Waketum Golkar Adies Kadir kepada wartawan, Kamis (21/10/2021). ""Kita prinsipnya terbuka terhadap semua partai. Kita tunggu saja dulu. Yang penting hasil munas kita kan sudah jelas   Kalau berkoalisi kan juga harus mengacu pada hasil munas, kan  ,"" lanjut Adies. Adies menegaskan   belum membicarakan dengan siapa partainya berkoalisi sejauh ini. Golkar tengah fokus untuk bekerja membantu pemerintah dalam penanganan pandemi. ""Belum, belum ada pembahasan koalisi, masih lama itu, sekarang kita bicara bagaimana masyarakat Indonesia bisa bebas, bisa melewati pandemi COVID. Itu yang paling penting, makanya kita   kerja... kerja... kerja..., membangkitkan ekonomi masyarakat, masyarakat sehat semua. Kita masih   itu. Karena 2024 masih lamalah, kita   kerja   dulu,"" ujarnya. Sejauh ini, partai sudah terang-terangan ingin berkoalisi dengan   adalah NasDem. Lantas apakah NasDem mau berkoalisi dengan Golkar dan mengikuti persyaratan itu? NasDem enggan berkomentar lebih jauh terkait itu. Namun NasDem tetap mengacu pada mekanisme partainya yang memilih capres berdasarkan konvensi. ""Adapun tawaran Golkar untuk membangun komunikasi dengan NasDem dengan syarat Pak Airlangga jadi presiden, ya kami terima kasih banyak dengan tawaran itu. Tapi kami kemarin lewat Pak Surya sudah diperintahkan oleh kongres untuk melakukan penjaringan capres lewat konvensi sehingga kita tidak bicara orang per orang,"" kata Waketum NasDem Ahmad Ali saat dimintai konfirmasi terpisah. ""Biarlah rakyat yang menguji calon itu, dia punya gagasan apa untuk membangun bangsa ini, jadi belum bicara siapa yang akan kita usung. Baru hari ini kita bicara tahapan untuk melakukan rekrutmen lewat kontestasi,"" lanjutnya. Ali mengatakan konvensi itu berfungsi memberikan kesempatan kepada anak bangsa di luar partai politik yang memiliki integritas dan gagasan terhadap bangsa ini. ""Kita juga memberikan kesempatan kepada anak bangsa di luar partai, tidak bisa partai politik, kader-kader partai politik merasa dirinya lebih hebat dari orang lain. Kemudian partai politik tidak bisa eksklusif partai untuk dirinya, NasDem lihat seperti itu. NasDem melihat partai ini hanya sebagai sarana untuk mencari calon pemimpin, kita tidak bisa menutup mata bahwa di luar sana ada banyak tokoh yang punya integritas, gagasan. Nah, itu yang mau kita beri kesempatan untuk partai ini,"" ujarnya. Ali mengatakan sejauh ini NasDem tidak memiliki tokoh yang secara khusus diprioritaskan untuk capres. Dia mempersilakan siapapun yang ingin berkontestasi untuk mendaftar konvensi. ""Kita akan  , jadi tidak ada orang yang digadang-gadang, tidak ada orang yang diprioritaskan karena sifatnya terbuka, masyarakat nanti akan menjadi juri dalam penilaian itu, silakan tokoh tokoh memantaskan dirinya di hadapan rakyat, silakan berkontestasi dengan karya-karya yang dilakukan, jadi NasDem dan koalisi hanya menyiapkan rumah dan perahu untuk kontestasi itu,"" tuturnya.","Golkar Mau Koalisi dengan Syarat Airlangga Capres, NasDem: Kita Open Bidding",munas,https://news.detik.com/berita/d-5776479/golkar-mau-koalisi-dengan-syarat-airlangga-capres-nasdem-kita-open-bidding?single=1,"Kamis, 21 Okt 2021 15:45 WIB"
"Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Barat Ridwan Kamil (RK) kerap hadir dalam acara yang digelar oleh partai politik.  menilai jika Anies dan RK ingin menjadi calon presiden sudah tepat mendatangi partai politik. ""Mereka datang pasti diundang, siapa pun, Ganjar kek, Anies kek, RK kek, mereka datang pasti diundang. Menurut saya sih itu dalam proses berkomunikasi proses mementaskan dirinya dan diri mereka,"" kata Waketum Partai NasDem Ahmad Ali kepada wartawan, Senin (18/10/2021). Hadirnya Anies dan RK di acara yang digelar partai politik menurut Ahmad Ali bisa ditafsirkan berbagai macam dan dia menyerahkan opini tersebut kepada publik. Bagi Ahmad Ali, ada perhitungan tersendiri partai politik mengundang kepala daerah atau tokoh dalam sebuah acara. ""Ketika mereka dilirik menjadi calon presiden, kalau kemudian bahwa sampai hari ini belum ada deklarasi dari Anies ya, kecuali dari RK yang sudah secara eksplisit ingin maju sebagai calon presiden. Nah apakah itu sesuatu hal tebar pesona, kampanye, bebas kita memberi tafsirkan,"" ujarnya. ""Partai politik mengundang tokoh pasti ada perhitungan-perhitungannya ya kan? Memang   semuanya dihubungkan dengan politik, karena memang pertama yang melaksanakan itu partai politik,"" imbuhnya. Hadirnya Anies dan RK di acara partai politik, kata Ahmad Ali, sudah benar. Dia berseloroh jika Anies dan RK memang ingin menjadi calon presiden di 2024, jangan pergi ke dukun. ""Pak Anies dan Pak RK kalau ingin calon presiden maka langkah mereka mendatangi parpol itu benar, yang salah kalau datangi dukun, karena kalau datangi dukun itu mau   orang,"" imbuhnya. Dalam beberapa waktu belakangan ini, Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Barat Ridwan Kamil memang kerap hadir di berbagai acara partai politik. Dua acara partai politik yang dihadiri Anies dan RK adalah Munas Alim Ulama PPP dan   PAN. Ridwan Kamil yang kerap masuk dalam survei kandidat calon presiden 2024 bahkan menyatakan terbuka maju Pilpres 20024 di   PAN. Dalam acara   PAN di Bali, Ridwan Kamil tampil ke panggung, Selasa (5/10/2021). ""Jadi 2024 di mana takdir saya tersebut, bila jadi tidak masalah. Tapi kalau ada sebuah pintu terbuka misalkan dari partai PAN, saya bismillah,"" kata Ridwan Kamil. ""Tapi kalau tidak, tidak masalah, kira-kira begitu, karena Allah yang menentukan,"" katanya dari atas panggung.",NasDem: Anies-RK Sudah Benar Datangi Parpol Jika Ingin Nyapres,munas,https://news.detik.com/berita/d-5771994/nasdem-anies-rk-sudah-benar-datangi-parpol-jika-ingin-nyapres?single=1,"Senin, 18 Okt 2021 12:48 WIB"
