artikel,judul,keyword,link,tanggal
"Presiden Joko Widodo (Jokowi) resmi mengusulkan   Perkasa jadi calon Panglima TNI lewat surat presiden (surpres). Andika perkasa memiliki sejumlah tantangan besar sebagai panglima TNI. Ahli pertahanan dan analis utama politik keamanan LAB45 Andi Widjajanto awalnya menjelaskan pemilihan   oleh Jokowi ini. Menurutnya, Andika jauh lebih senior ketimbang dua kepala staf lainnya. Selain itu, Andika dekat dengan Jokowi. ""Pertimbangan senioritas, Andika Perkasa Kepala Staf paling senior dibanding Yudho atau Fajar. Kebutuhan kendali operasi militer, terutama penanganan pandemi, Poso, dan Papua yang lebih membutuhkan kedalaman gelar teritorial AD. Kedekatan personal Andika Perkasa dan Presiden karena Andika Perkasa pernah DAN Paspampres,"" kata Andi saat dihubungi, Rabu (3/11/2021). Selain itu, Andi menilai masa jabatan Andika ideal untuk kerangka waktu Pemilu 2024. Presiden nantinya akan memilih panglima baru lagi usai Desember 2022. ""Masa jabatan Andika Perkasa ideal untuk kerangka waktu Pemilu 2024. Andika Perkasa akan pensiun Desember 2022, sehingga Presiden akan harus memilih panglima TNI baru lagi sebelum tahapan pemilu dimulai. Yudho dan Fadjar akan pensiun saat kampanye pemilu berlangsung,"" ungkapnya. Dia pun mengungkap sejumlah tantangan utama Andika sebagai panglima TNI. Salah satunya ialah pandemi dan operasi militer. ""Empat tantangan utama, penanganan pandemi, dua operasi militer di Poso dan Papua, dinamika Laut Cina Selatan karena ada aliansi baru AUKUS dan modernisasi alutsista yang tertunda karena realokasi anggaran untuk penanganan pandemi,"" ujarnya. Sebelumnya, Ketua DPR Puan Maharani mengumumkan lembaganya telah menerima surat presiden (surpres) berisi pengajuan calon Panglima TNI dari Presiden Jokowi. Isinya, Presiden mengusulkan KSAD Jenderal Andika Perkasa jadi calon Panglima TNI. ""Presiden mengusulkan satu nama calon Panglima TNI,"" kata Puan di gedung DPR, Senayan, Jakarta, Rabu (3/11/2021). ""Atas nama Jenderal TNI Andika Perkasa,"" imbuh Puan.",Andi Widjajanto Ungkap Tantangan Andika Perkasa Saat Pimpin TNI,pemilu,https://news.detik.com/berita/d-5794980/andi-widjajanto-ungkap-tantangan-andika-perkasa-saat-pimpin-tni?single=1,"Rabu, 03 Nov 2021 13:29 WIB"
"Dewan Pimpinan Daerah (DPD) Partai Gerindra Sumatera Barat meluncurkan Kartu Tanda Anggota (KTA) berbasis digital melalui android dan desktop. Peluncuran KTA bertujuan untuk memudahkan simpatisan kader dan masyarakat Sumbar yang ingin bergabung dengan Partai Gerindra.   Ketua DPD Gerindra Sumbar Andre Rosiade menyampaikan di tengah kemajuan teknologi saat ini, perekrutan kader-kader Gerindra juga harus dilakukan secara digital atau online. Oleh karena itu, Gerindra Sumbar menggandeng DPP Gerindra untuk menggelar pelatihan dan launching KTA. Sebelum peluncuran KTA, peserta yang berasal dari perwakilan DPC Partai Gerindra kabupaten/kota se-Sumbar pun telah diberikan pelatihan aplikasi KTA Gerindra di Kantor DPD Gerindra di Rimbo Kaluang, Padang, Sabtu (31/10). ""Dengan sistem digital, tentu kita bisa merekrut sebanyak mungkin kader-kader Gerindra yang baru. Untuk tetap menjadi partai nomor satu di Sumbar. Selain itu, tentu para kader juga diminta tetap bergerak membantu dan mendengarkan masyarakat, agar gaung partai semakin tinggi,"" katanya dalam keterangan tertulis, Senin (2/11/2021). Sementara itu, Tim Media DPP Partai Gerindra Narendra menyebut tujuan lain dari KTA berbasis Android adalah untuk mensinkronisasikan database anggota. Dengan demikian data akan disatukan mulai dari tingkat DPC kabupaten/kota, DPD Provinsi hingga DPP di Jakarta.   ""Dalam hal ini dari data tersebut akan disatukan. Sehingga DPP bisa mengetahui data anggotanya baik latar belakang sehingga nantinya komunikasi anggota dan partai Gerindra bisa terjalin, apa yang diinginkan partai maupun masukan dari anggota,"" katanya.   Narendra menambahkan Sumbar menjadi basis Partai Gerindra yang mempunyai suara yang besar pada Pemilu 2019. Dengan demikian, hadirnya aplikasi KTA akan mempermudah aktivitas politik di masyarakat. ""Nantinya aplikasi KTA juga bisa menawarkan kemudahan berpolitik pada masyarakat di era digital termasuk menggaet kaum milenial,"" katanya. Di sisi lain, DPD Gerindra Sumbar Evi Yandri Rajo Budiman mengatakan hadirnya teknologi ini tak mempengaruhi animo masyarakat. Ia menyebut respons masyarakat yang ingin bergabung di Partai Gerindra masih tinggi meski adanya aplikasi ini. ""Maka DPD Gerindra Sumbar mengakomodir penerapan teknologi dalam KTA tersebut. Sehingga DPD Gerindra merasa perlu memberikan pelatihan aplikasi KTA berbasis digital Android kepada petugas di DPC se-Sumbar,"" katanya.   Terkait hal ini, Wakil Ketua Komisi I DPRD Sumbar Evi Yandri menyampaikan usai menjalani pelatihan, nantinya para DPC hingga PAC akan melakukan sosialisasi aplikasi KTA kepada masyarakat. Dengan demikian, masyarakat yang ingin mendaftar menjadi bagian dari Partai Gerindra dapat melakukannya melalui smartphone.   ""Diharapkan ini akan memudahkan masyarakat yang ingin bergabung dengan partai Gerindra. Jadi masyarakat bisa bergabung dan mendaftar lewat smartphone melalui aplikasi KTA berbasis Android. Nantinya data tersebut akan dihimpun pada server DPD dan DPP,"" tandasnya.",Gerindra Sumbar Luncurkan Aplikasi KTA Berbasis Android,pemilu,https://news.detik.com/berita/d-5792671/gerindra-sumbar-luncurkan-aplikasi-kta-berbasis-android?single=1,"Selasa, 02 Nov 2021 13:02 WIB"
"Divisi Profesi dan Pengamanan (Propam)   mengklaim jumlah polisi nakal yang melakukan pelanggaran sepanjang 2021 menurun dibandingkan tahun lalu. Kadiv Propam Irjen Ferdy Sambo menyebut klaim itu didasari data yang dihimpun hingga Oktober 2021. ""Divisi Propam Polri menyatakan pelanggaran yang dilakukan sejumlah anggota polisi cenderung menurun dibandingkan tahun 2020 lalu. Hal itu berdasarkan data terakhir sampai dengan periode Oktober 2021,"" ujar Sambo melalui keterangan tertulis, Selasa (2/11/2021). Sambo membeberkan sejumlah strategi yang dilakukan Propam untuk menekan jumlah pelanggaran oleh anggota Polri. Sambo menyatakan akan terus menekan angka pelanggaran yang dilakukan anggota Polri pada waktu mendatang. ""Hasil dari kajian akademisi ada hal-hal yang dapat dilakukan oleh jajaran Propam Polri di wilayah, Propam Polri menerapkan strategi preemtif dan preventif untuk mencegah pelanggaran anggota Polri,"" katanya. ""Upaya pencegahan dan mitigasi pelanggaran anggota seperti upaya preemtif berupa penguatan soliditas internal, membangun kapasitas, uji kompetensi, dan  . Sedangkan upaya preventif berupa perhatian dari pimpinan, SOP, dan prosedur, validasi status, mutasi karena diskresi pimpinan, dan sistem pengambilan keputusan,"" sambung Sambo. Selain itu, lanjut Sambo, menurunnya tingkat pelanggaran anggota Polri juga disebabkan upaya pengawasan maksimal. Sambo mengungkapkan Propam bekerja sama dengan POM TNI, Kompolnas, Ombudsman, Komnas HAM, dan akademisi untuk memperkuat komunikasi, koordinasi kegiatan, kolaborasi kegiatan terpadu, dan pelayanan terintegrasi. ""Pengawasan eksternal sudah berjalan dengan optimal,"" terangnya. Adapun data menyebutkan, pengaduan masyarakat (dumas) terhadap Reskrim menurun 0,9% pada 2020, dan menurun 85,7% pada 2021. Kemudian, aduan terhadap Lantas menurun 18,75% pada 2020, dan menurun 52,6% pada 2021. Sedangkan aduan pelanggaran lainnya meningkat 29,5% pada 2020, dan menurun 71,8% pada 2021. Penguatan fungsi pengawasan oleh Propam juga dilakukan melalui penataan regulasi di lingkungan Propam Polri, peningkatan pelayanan pengaduan terintegrasi dan berbasis TIK, penguatan keberadaan fungsi Propam pada tempat rawan pelanggaran, peningkatan kegiatan operasi bersih, optimalisasi program whistle blowing system (WBS), patroli Siber Propam, percepatan penanganan kasus menonjol, penguatan sistem pengendalian berbasis TIK, penataan sarana-prasarana pendukung, dan peningkatan kompetensi SDM fungsi Propam. ""Aplikasi Propam Presisi sebagai media pengaduan yang dapat diakses seluruh lapisan masyarakat, sistem pengawasan dalam genggaman,"" ucap Sambo. Sementara itu, berdasarkan data yang dihimpun, pelanggaran disiplin oleh anggota polisi sepanjang 2021 tercatat sebanyak 1.694 orang. Jumlah tersebut menurun jika dibandingkan pada 2020, yakni sebanyak 3.304 orang alias 48,7 persen dan 2019 sebanyak 2.503 orang. Jenis pelanggaran yang dilakukan pun beragam. Ada yang menurunkan kehormatan dan martabat negara sebanyak 807 kasus, meninggalkan wilayah tugas tanpa izin pimpinan 283 kasus, menghindari tanggung jawab dinas 258 kasus, menghambat kelancaran tugas dinas 128 kasus, pungutan liar (pungli) 38 kasus, dan pelanggaran lain 179 kasus. Pungli menjadi salah satu pelanggaran disiplin yang paling menurun, yakni 55,3 persen atau berkurang dari 85 pelanggar pada 2020, dan menjadi 38 di 2021. Selanjutnya, ada pelanggaran menurunkan kehormatan dan martabat negara, yakni sebanyak 50,8 persen dari 1.642 pelanggar pada 2020 menjadi 807 pelanggar pada tahun 2021. Untuk pelanggaran Kode Etik Profesi Polri (KKEP) berupa etika kepribadian (beking dan calo), ada 322 kasus, etika kelembagaan (penyalahgunaan wewenang) ada 408 kasus, etika kemasyarakatan (arogansi dan persulit penyelidikan) ada 71 kasus, etika kenegaraan (netralitas pemilu) 2 kasus. Jumlah penurunan yang paling mencolok adalah pelanggaran terkait etika kelembagaan, yakni turun 67,8 persen. Dari 1.269 kasus pada 2020, turun menjadi 408 tahun ini. Terakhir, jenis pelanggaran pidana berupa penyalahgunaan narkoba sebanyak 327 kasus, asusila/zina/cabul ada 86 kasus, penganiayaan ada 82 kasus, pencurian ada 7 kasus, penggelapan ada 17 kasus, serta pungli, gratifikasi, penyimpangan anggaran dan korupsi sebanyak 48 kasus. Kasus narkotika di kalangan polisi mengalami penurunan paling signifikan, yakni 49,8 persen dari 652 kasus pada 2020 menjadi 327 kasus tahun ini. Hanya, perkara berkaitan tindak pidana pencabulan justru meningkat 11,6 persen dari 77 kasus pada 2020 menjadi 86 kasus.","Propam Klaim Jumlah Pelanggaran Polisi Turun Ribuan di 2021, Ini Daftarnya",pemilu,https://news.detik.com/berita/d-5794149/propam-klaim-jumlah-pelanggaran-polisi-turun-ribuan-di-2021-ini-daftarnya?single=1,"Selasa, 02 Nov 2021 19:51 WIB"
"DPP PPP mengawal langsung Musyawarah Cabang (Muscab) di 5 Kabupaten dan Kota se-DIY pada Sabtu dan Minggu (30-31/10). Dalam agenda tersebut, dilakukan konsolidasi untuk mengukuhkan kekuatan PPP di area DIY. Ketua DPP PPP Bidang Isu Strategis Atiek Heru Maryanti dan Wasekjen Penataan Organisasi Idy Muzayyad bertolak ke Yogyakarta untuk memantau jalannya Musyawarah Cabang. Sementara itu, Ketua DPW PPP DIY HM.Yazid dan Sekretaris Wilayah Syafiuddin Ghozali beserta jajaran pengurus DPW DIY yang lain turut hadir dalam kegiatan tersebut. ""Kita memang sedang melakukan pembenahan basis dan struktur, agar PPP DIY dapat meraih kemenangan pada Pemilu 2024 nanti,"" ujar Idy dalam keterangan tertulis, Selasa (2/11/2021). Idy menilai PPP DIY memiliki potensi besar untuk menang. Hanya saja ada beberapa hambatan yang mengakibatkan perolehan suara dan kursi di DPR dan DPRD lambat laun semakin menurun. Ia menyebut penyebab utamanya adalah banyaknya fraksi dan ketidakkompakan antar pengurus dan kader PPP, baik dari kalangan elit maupun akar rumput. ""Melalui momentum Muscab, ke depan harus diciptakan soliditas yang kuat sehingga struktur kepengurusan mampu menghadapi tantangan kepartaian dan keumatan yang semakin kompleks,"" cetus Idy. Ia menambahkan DPP PPP saat ini sudah dan sedang menerapkan konsep dan spirit baru menuju smart and modern party, meskipun PPP secara usia merupakan partai yang punya sejarah panjang. ""Seluruh kebijakan partai tidak boleh lagi didasarkan pada manajemen kebetulan dan kira-kira, namun harus berbasis data disertai cara kerja elektoral yang terukur serta kebijakan partai yang sistemik,"" urai Idy. Atiek Heru menambahkan melihat animo dan pergerakan dalam lima Muscab, DPP PPP optimis PPP DIY akan bangkit dari keterpurukan. ""Alhamdulillah semua Muscab berjalan sukses dan dinamis. Dan menghasilkan formatur yang akan menyusun kepengurusan lengkap DPC. Kami yakin akan muncul figur-figur kepengurusan yang kompeten, berintegritas dan siap tempur,"" ujar Atiek.","Konsolidasi Kekuatan, PPP DIY Gelar Musyawarah Cabang di 5 Wilayah",pemilu,https://news.detik.com/berita/d-5793185/konsolidasi-kekuatan-ppp-diy-gelar-musyawarah-cabang-di-5-wilayah?single=1,"Selasa, 02 Nov 2021 12:44 WIB"
"Sekjen PDIP   dan Partai Demokrat berdebat panas setelah Susilo Bambang Yudhoyono (SBY) terus-terusan diserang pihak pertama. Elite Partai Demokrat Andi Arief balik menyerang Hasto. Dalam cuitannya di Twitter seperti dikutip Selasa (2/11/2021), Andi Arief menyinggung pertarungan politik Hasto. Menurut Andi Arief, Hasto bahkan terjungkal melawan Wakil Ketua Umum Partai Demokrat Edhie Baskoro Yudhoyono atau Ibas. ""Hasto sekjen PDIP melawan Mas Ibas  @Edhie_Baskoro di dapil 7 Jatim saja terjungkal dan gagal ke senayan, kini ingin menyamakan dirinya atau mensejajarkan dirinya dengan elite politik nasional berpengalaman,"" kata Andi Arief. Andi Arief menyinggung soal ciri-ciri orang kalah. Menurutnya, ada saja tudingan dari pihak yang kalah. ""Orang kalah sering beralasan curang atau kurang logistik,"" kata Andi Arief. Pernyataan terbaru   soal Presiden ke-6 yang juga mantan Ketum Partai Demokrat SBY yakni soal bantuan sosial atau bansos. Hasto menyebut SBY memainkan politik bansos yang membebani APBN saat di Pemilu 2009. ""Demokrasi yang kini disebut deliberatif demokrasi, musyawarah mufakat yang berkeadilan sosial, coba CSIS menghitung, berapa biaya pemilu kita dari pusat hingga daerah, dan adalah beban bagi APBN, beban bagi keuangan negara. Belum dampak dari politik populism akibat bansos yang kemudian jadi model setelah itu diterapkan pada tahun 2009, dalam politik bansos yang menurut Marcus Mietzner dari bulan Juni 2008 sampai dengan Januari 2009, Pak SBY membelanjakan 2 miliar US dollar untuk politik yang populis itu,"" kata Hasto. ""Ini kan beban bagi APBN ke depan, akibat dari konsekuensi politik yang sangat liberal,"" imbuhnya.  bicara dalam diskusi 'Menimbang Sistem Pemilu 2024: Catatan dan Usulan' yang digelar CSIS, Senin (1/11/2021). Jika dirupiahkan dengan kurs Rp 11.380 ribu/dolar AS (kurs 1 Januari 2009), nilai tersebut setara Rp 22,76 triliun. Menurut Hasto, politik populis ini membahayakan keuangan negara. Dia menyebut negara-negara Eropa hingga AS mengalami krisis akibat gaya politik populis ini.",Andi Arief: Hasto Lawan Ibas Saja Terjungkal!,pemilu,https://news.detik.com/berita/d-5793006/andi-arief-hasto-lawan-ibas-saja-terjungkal?single=1,"Selasa, 02 Nov 2021 11:05 WIB"
"Pemimpin partai oposisi utama di  mengumumkan pengunduran dirinya setelah kekalahan dalam  yang membuatnya gagal memanfaatkan ketidakpuasan publik terhadap respons pandemi   (COVID-19) dari partai yang berkuasa. Seperti dilansir  , Selasa (2/11/2021), Yukio Edano diketahui memimpin faksi oposisi utama, Partai Demokratik Konstitusional Jepang (CDP), yang berdiri sejak tahun 2017. Dia meminta maaf atas hasil pemilu yang buruk, di mana partainya kehilangan 14 kursi, menjadi hanya 96 kursi dalam parlemen. Pada Selasa (2/11) waktu setempat, Edano mengumumkan dirinya mengundurkan diri untuk merespons kekalahan partainya. ""Kami mampu menciptakan struktur yang menawarkan opsi politik, tapi hasilnya berarti bahwa banyak anggota kami yang layak tidak kembali dan jumlah kursi yang kami pegang akan berkurang,"" ucap Edano. ""Itu hasil yang sangat mengecewakan,"" sebutnya. ""Itu terutama karena kurangnya kemampuan saya,"" imbuh Edano. Menjadi anggota parlemen sejak tahun 1993, Edano menjabat dalam pemerintahan ketika Partai Demokratik Jepang -- yang kini bubar -- berkuasa singkat dari tahun 2009 hingga tahun 2012, dan menjadi wajah publik kabinet setelah tsunami 2011 dan melelehnya nuklir Fukushima. Dia meluncurkan CDP tahun 2017 dan partai itu bergabung dengan kelompok oposisi utama tahun 2020 dalam upaya memperkuat posisi mereka. Dalam pemilu pada Minggu (31/10) waktu setempat, Partai Demokrat Liberal (LDP) meraup mayoritas kuat di bawah pemimpin baru  . Hasil akhir diharapkan akan diketahui pekan ini, namun LDP dan partai koalisinya, Komeito, diproyeksikan meraup total 293 kursi -- dari total 435 kursi -- majelis rendah. Jumlah itu sedikit menurun dari sebelumnya 305 kursi.","Kecewa Kalah Pemilu, Pemimpin Oposisi Jepang Mundur",pemilu,https://news.detik.com/internasional/d-5793858/kecewa-kalah-pemilu-pemimpin-oposisi-jepang-mundur?single=1,"Selasa, 02 Nov 2021 17:37 WIB"
"Ketua Partai NasDem Sumatera Utara (Sumut) Iskandar menargetkan pihaknya menjadi pemenang di  . Iskandar ingin mengalahkan dominasi PDIP. ""Kabupaten/Kota kita di posisi ke-4, yang pertama PDIP. Ke depan kita harus menang dan mengalahkan yang lain,"" kata Iskandar di Medan, Senin (1/11/2021). Hal itu disampaikan Iskandar saat memberikan surat keputusan (SK) 7 DPD   tingkat Kabupaten/Kota di Sumut. Iskandar mengatakan NasDem juga harus mengungguli PDIP dalam perolehan kursi DPR RI dari Sumut. ""Pada pemilu yang lalu NasDem Sumatera Utara menghasilkan 4 anggota DPR RI, dan kita masih di bawah PDIP menghasilkan 6 anggota DPR RI,"" ujarnya. Target ini, lanjutnya, sesuai arahan dari Ketua Umum NasDem  . Iskandar optimistis mencapai target. ""Saat saya masih jadi sekretaris, saya bilang NasDem akan mencapai 4 besar di Sumut. Banyak yang mentertawakan, sekarang faktanya kita masuk 4 besar,"" tutur Iskandar. ""Sekarang juga banyak yang mentertawakan, tapi saya yakin NasDem dapat menjadi pemenang di Sumut,"" tambahnya. Iskandar mengatakan pergantian pengurus ini salah satu langkah untuk meraih kemenangan. Dia mengatakan hal ini merupakan penyegaran sehingga DPD NasDem tingkat Kabupaten/Kota bisa bekerja lebih maksimal. ""Diharapkan dengan adanya penyegaran ini, maka NasDem di tahun 2024 menargetkan sebagai pemenang. Nanti setiap bulan kita akan melakukan evaluasi terhadap DPD ini, karena kita punya target sebagai pemenang,"" jelasnya. Sejumlah nama yang masuk kepengurusan NasDem Kabupaten/Kota adalah calon Wakil Bupati Labuhanbatu Utara di Pemilu 2020, Haris Muda Siregar. Kemudian mantan Kepala Dinas Pendidikan Serdang Bedagai, Jhoni Walker Manik. Selain itu, ada mantan Kepala BNN Kota Tebing Tinggi, AKBP (P) Fuduhusi Zendrato.","Beri SK ke 7 DPD Baru, NasDem Sumut Target Tumbangkan PDIP di 2024",pemilu,https://news.detik.com/berita/d-5792301/beri-sk-ke-7-dpd-baru-nasdem-sumut-target-tumbangkan-pdip-di-2024?single=1,"Senin, 01 Nov 2021 18:33 WIB"
"Ekonom senior Indef   menepis anggapan dirinya tak bernyali untuk mengkritik berbagai manuver politik seniornya,  . Untuk diketahui, Faisal adalah orang pertama yang dipercaya menjadi Sekjen PAN di bawah kendali tokoh reformasi itu. Sebagai pengamat dan intelektual, dia menyatakan tugas utamanya adalah memastikan yang berkuasa menjalankan pemerintahan dengan benar. Selama ini dia cuma mengkritik para pejabat publik dan mereka yang berkuasa dalam membuat kebijakan agar mengelola pemerintahan dengan benar. ""Kalau Pak Amien Rais tak masuk hitungan, buat apa mengkritik dia. Apa urgensinya buat bangsa ini, buang-buang tenaga saja,"" kata Faisal dalam program   yang tayang di  , Senin (1/11/2021). Ia mengungkapkan sejumlah pendiri PAN beberapa tahun lalu sempat berkumpul untuk membuat surat terbuka, mengkritik Amien Rais dalam cara mengelola partai. Tapi dia tegas menolak ikut serta karena menilai langkah semacam itu tak akan memberikan efek kebaikan bagi bangsa dan negara ini. Sekalipun demikian, master ekonomi lulusan Vanderbilt University, AS, itu memperkirakan Partai Ummat, yang baru dibentuk Amien Rais untuk mengikuti Pemilu 2024, tak akan besar. Sebab, segmen masyarakat pemilih yang dibidiknya adalah mereka yang sebelumnya menjadi basis massa PAN, yakni Muhammadiyah. Demikian juga langkah Anis Matta dan Fahri Hamzah yang mendirikan Partai Gelora, basis massanya adalah mereka yang sebelumnya pemilih PKS. ""Sejarah menunjukkan partai sempalan itu tak akan pernah besar. Sebab, membangun partai itu idealnya tidak dilandasi oleh kekecewaan atau kebencian,"" sindir Faisal Basri. Dalam sejumlah kasus, ia melanjutkan, sejumlah tokoh mendirikan partai sekadar meraih suara agar anak, cucu, dan menantu menjadi anggota DPR. Syukur bila kemudian dilirik masuk pemerintahan dengan menjadi menteri. ""Kalau cuma tujuannya, ya sama sekali tidak menambah kebaikan bagi bangsa ini. Tapi semua itu hak (mereka yang mendirikan partai),"" ujarnya. Faisal menegaskan sejauh ini hubungan pribadinya dengan Amein Rais dan keluarganya baik-baik saja. Indikasinya, kata dia, pada 2014 Amien Rais dan Sekjen PAN Tjatur Sapto Edi pernah berkunjung ke rumahnya. Dia pun, bila bertemu putra-putri Amien Rais, selalu menitipkan salam.",Faisal Basri: Buat Apa Buang Tenaga Kritik Amien Rais,pemilu,https://news.detik.com/berita/d-5792238/faisal-basri-buat-apa-buang-tenaga-kritik-amien-rais?single=1,"Senin, 01 Nov 2021 17:59 WIB"
"Sekjen PDIP Hasto Kristiyanto kembali bicara tudingan ke mantan Presiden ke-6 Susilo Bambang Yudhoyono ( ) yang disebut menggelontorkan Rp 22 triliun untuk bansos di Pemilu 2009. Partai Demokrat geram membalas tudingan Hasto ke SBY. ""Lebih baik menggelontorkan bansos sebesar Rp 22 T untuk membantu rakyat kecil, daripada menggelontorkan Rp 27 T untuk kereta cepat yang hanya akan dipakai segelintir elite,"" kata Kepala Bakomstra PD Herzaky Mahendra Putra kepada wartawan, Senin (1/11/2021). Herzaky membalas serang Hasto ke   dengan analogi. Jika tak sepakat dengan bansos saat kepemimpinan SBY, Hasto dinilai antirakyat miskin. ""Jika Hasto tidak setuju dengan bansos digelontorkan di era Bapak SBY, berarti Hasto anti membantu rakyat miskin,"" ujarnya. Selain itu, Herzaky membalas Hasto dengan mengungkit kader PDIP yang terjerat kasus korupsi soal bansos. Herzaky juga menyinggung kader PDIP yang terlibat kasus korupsi terkait Pemilu 2019. ""Kalau Hasto terus menuduh SBY gunakan bansos untuk pemilu 2009, artinya dia harus siap mempertanggungjawabkan fitnahnya. Sudah terang-benderang temannya Hasto yang dulu Mensos tertangkap basah koruptor bansos ketika pandemi, dan kadernya Hasto pula yang curang di Pemilu 2019 dengan menyogok komisioner KPU, malah menuduh Demokrat dan Bapak SBY terus,"" ucapnya. ""Jadi, jangan mengalihkan perhatian. Dulu zaman Bapak  , rakyat senang, kondisi ekonomi negara sangat baik,"" sambungnya. Menurut Herzaky, saat ini masyarakat sedang susah dan kondisi keuangan negara sulit, lalu kerap berutang. ""Yang kaya serta senang di era pandemi di tengah rakyat banyak yang susah, mungkin teman-teman Hasto, entah yang di pemerintahan, entah yang jadi pengusaha, yang banyak dapat cuan akibat bisnis PCR   seperti hasil investigasi salah satu media nasional,"" imbuhnya.","PDIP Ungkit SBY Belanja Bansos Rp 22 T, PD Sindir Kereta Cepat",pemilu,https://news.detik.com/berita/d-5792073/pdip-ungkit-sby-belanja-bansos-rp-22-t-pd-sindir-kereta-cepat?single=1,"Senin, 01 Nov 2021 16:52 WIB"
"Komisi II DPR RI menyebut penetapan tanggal Pemilu 2024 berpotensi molor. Pasalnya, hingga kini belum ada kesepakatan tanggal Pemilu 2024 antara pemerintah dan penyelenggara pemilu. ""Kalau kita nggak bisa tetapkan sekarang, di masa sidang ini, pasti akan molor. Karena kan gini, DPR sudah reses lagi (Desember), ketika masuk Januari, itu masa KPU lama kan habis di Februari, kita sudah mau akan seleksi   baru di Januari-Februari. Makanya kita juga ingin KPU yang mendatang tidak terbebani urusan-urusan teknis menyangkut soal ini,"" kata Wakil Ketua Komisi II Saan Mustopa di kompleks parlemen, Senayan, Jakarta (2/11/2021). Pemerintah diketahui ingin Pemilu 2024 digelar pada 15 Mei, sementara   mengajukan tanggal 21 Februari. Hingga kini, kata Saan, belum ada kesepakatan antara pemerintah dan penyelenggara pemilu itu. ""Kita lagi meminta agar pemerintah dan penyelenggara untuk sepakat dululah, karena  kalau selama pemerintah dan penyelenggara itu belum sepakat terkait soal jadwal, maka di DPR pasti tidak akan pernah ada kata sepakat juga, pasti akan ada beda pilihan. Kita tidak mau untuk sebuah agenda besar, agenda politik, agenda demokrasi, itu dimulai dengan awalan yang tadi, tidak bulat,"" ujar Saan. ""Nanti nuansanya sudah politis, masa sih untuk urusan jadwal saja harus kita voting, suara terbanyak di Komisi II. Kita nggak mau seperti itu, karena ini agenda besar kita, agenda demokrasi kita, yang akan menentukan 5 tahun ke depan, baik buat demokrasi, pemerintahan, dan terutama buat rakyat,"" sambungnya. Menurut Saan, lebih cepat lebih baik untuk kesepakatan tanggal Pemilu 2024 antara pemerintah dan  . Namun publik bagi Saan perlu tahu kepastian soal tanggal Pemilu 2024. Diakui Saan, memang tidak ada dampak jika penetapan tanggal Pemilu 2024 molor. Namun, ada pergeseran waktu memulai tahapan pemilu jika ada dua opsi tanggal Pemilu 2024. ""Secara dampak nggak ada, jadi kalau bisa . Kalau penyelenggara ditentukan, pelaksanaan Februari, itu kan masih di Juni 2022 tahapan itu dimulai. Kalaupun pemilu Mei, tahapan di bulan September, jadi secara   itu tidak terganggu. Kalau batas waktu untuk penentuan tanggal pemilu ditetapkan oleh KPU baru juga sebenarnya tidak terlalu berpengaruh pada tahapan. Kalau Februari pun sekali lagi tahapan dimulai bulan Juni. Kalau Mei tahapan September, jadi sekali lagi tidak ada,"" imbuhnya.",Komisi II Sebut Penetapan Tanggal Pemilu 2024 Berpotensi Molor,pemilu,https://news.detik.com/berita/d-5794010/komisi-ii-sebut-penetapan-tanggal-pemilu-2024-berpotensi-molor?single=1,"Selasa, 02 Nov 2021 18:32 WIB"
