artikel,judul,keyword,link,tanggal
"Eks Sekdis PUTR Sulawesi Selatan (Sulsel), Edy Rahmat, mengungkap pernah diperintah Gubernur Sulsel nonaktif   agar meminta duit kepada kontraktor Agung Sucipto. Dia menyebut duit kontraktor itu diminta untuk kebutuhan relawan pilkada jika Nurdin maju lagi pada Pilgub Sulsel mendatang. Hal tersebut diungkap Edy kala jadi saksi kasus suap terdakwa Nurdin Abdullah di Pengadilan Tipikor Makassar pada Rabu (3/11/2021). Jaksa KPK Ronald Worotikan awalnya menanyakan apakah Edy pernah menghadap ke Nurdin Abdullah ke Rumah Jabatan (Rujab). ""Mungkin ada dua minggu sebelum OTT, sore, kurang-lebih jam 5 (sore) dipanggil. Saya singgah di Rujab, kebetulan Pak Nurdin masih ada tamunya dari PDI Perjuangan, jadi hampir magrib baru saya temui,"" kata Edy di persidangan. Edy menceritakan, pertemuan dengan Nurdin itu diinisiasi Nurdin sendiri yang meminta Edy menghadap ke Rujab melalui ajudan atas nama Syamsul Bahri. Saat bertemu dengan Nurdin, kata Edy, terdakwa memberi perintah agar Edy menemui kontraktor Agung Sucipto. ""Pertemuan singkat karena hampir magrib. Saya cuma disampaikan tolong temui Agung Sucipto dan sampaikan tolong dibantu untuk relawan, karena pilkada semakin dekat,"" tutur Edy. Edy sendiri mengaku menafsirkan bahwa permintaan bantuan untuk relawan pilkada tersebut adalah terkait kebutuhan Nurdin apabila kembali maju di pilgub selanjutnya, alias untuk periode kedua. Ini diungkap Edy saat Jaksa menanyakan pilkada untuk siapa. ""Pilkada siapa, Pak Nurdin kan sudah jadi Gubernur?"" tanya Jaksa Ronald Worotikan. Edy pun mengatakan itu untuk periode kedua  . Namun, untuk pengakuan ini, Edy mengaku menafsirkan sendiri dan Nurdin tak pernah menyebut untuk keperluan periode kedua dengan rinci. ""Periode kedua maksudnya nanti Pak. (Nurdin tak menyampaikan untuk periode kedua) tapi saya sudah tahu karena pasti untuk periode kedua,"" kata Edy. . Edy mengaku menyanggupi perintah Nurdin Abdullah. Dia menemui Agung Sucipto di rumahnya di Kabupaten Bulukumba. Saat itu, Edy sedang pulang kampung ke Kabupaten Bantaeng dan dia menyempatkan diri ke rumah Agung. ""3-4 hari kemudian menemui Agung Sucipto di rumahnya di Jalan Gajah Mada,"" katanya. Menurut Edy, pertemuan itu berlangsung singkat. Dia hanya langsung menyampaikan pesan Nurdin Abdullah untuk Agung Sucipto. ""Jadi begini Pak Agung, ada penyampaian Pak Gubernur kepada saya tolong dibantu untuk relawan pilkada katanya,"" kata Edy. Selanjutnya, Agung menyanggupi permintaan tersebut dan menyampaikan bahwa dia juga akan menyampaikan proposal proyek irigasi di Kabupaten Sinjai. ""Dan Pak Agung juga menyampaikan kepada saya terkait dia minta tolong terkait proposal bantuan keuangan di Sinjai tolong sampaikan ke Pak Gubernur,"" beber Edy. Selepas pertemuan dengan Agung Sucipto, Edy mengaku kembali melaporkan hasil pertemuan itu ke Nurdin Abdullah. ""Saya laporkan setelah dari Agung Sucipto. Kira-kira satu minggu sebelum OTT,"" kata Edy di persidangan. Edy mengatakan saat itu dia sedang mengawasi pekerjaan di Kebun Raya Pucak Maros dan di saat itu Nurdin Abdullah juga datang ke Maros. ""Saya ketemu di Maros,"" kata Edy.",Eks Bawahan Ungkap Perintah Nurdin Minta Duit Kontraktor untuk Pilgub,pilkada,https://news.detik.com/berita/d-5794976/eks-bawahan-ungkap-perintah-nurdin-minta-duit-kontraktor-untuk-pilgub?single=1,"Rabu, 03 Nov 2021 13:26 WIB"
"Partai   menargetkan memenangkan pertarungan Pilpres, Pileg maupun Pilkada pada 2024 mendatang. Ketua Umum Partai Golkar, Airlangga Hartarto berharap kemenangan 2024 mendatang dapat menjadi kado terindah saat Partai Golkar menginjak usia ke-60 tahun. ""(Tahun) 2024 merupakan tahun teramat penting bagi Partai Golkar, bukan saja kita harus menang, namun juga 2024 merupakan pertaruhan di mana Partai Golkar menginjak usia 60 tahun, menuju 6 dekade Partai Golkar, kita harus torehkan sejarah Partai Golkar akan kembali merebut kemenangan dalam Pilpres, Pileg dan Pilkada,"" kata Airlangga dalam video yang disiarkan saat perayaan HUT ke-57 di DPD Partai Golkar, Cikini, Jakarta Pusat, Minggu (31/10/2021). Airlangga mengajak seluruh kader   menyukseskan gelaran Pemilu 2024 mendatang. Menko Perekonomian RI itu optimistis waktu 3 tahun cukup bagi partai untuk melakukan konsolidasi. ""Masih ada waktu 3 tahun ke depan untuk konsolidasi kekuatan kita, menyatukan gerak langkah, meraih simpati masyarakat, merebut hati masyarakat, untuk berikan kepercayaan pada Partai Golkar,"" ujarnya. Airlangga menargetkan Pileg 2024 Partai Golkar mendapatkan 20 persen kursi di DPR RI. Sedangkan untuk Pilkada 2024 targetnya 60 persen. ""Sementara untuk Pilpres kita juga wajib memenangkan pertarungan,"" imbuhnya. ""Pemenangan Pemilu bagi Partai   bukan saja sarana untuk memperoleh kekuasaan, tapi lebih kemenangan adalah sarana untuk sejahterakan rakyat, agar masyarakat menjadi maju, sehat dan sejahtera,"" sambungnya.",Target Airlangga 2024 Golkar Menang: Toreh Sejarah di 6 Dekade Partai,pilkada,https://news.detik.com/berita/d-5790820/target-airlangga-2024-golkar-menang-toreh-sejarah-di-6-dekade-partai?single=1,"Minggu, 31 Okt 2021 19:02 WIB"
"disebut menjadi partai penyumbang   terbanyak pada Pilkada 2020. Dari 60 kader yang didorong Golkar, 25 di antaranya berhasil lolos, baik menjadi kepala daerah maupun wakil kepala daerah. ""Golkar ini salah satu partai yang memberikan ruang kepada kader mudanya sangat luar biasa. Di Pilkada (2020) kemarin, misalnya, catatan kami, Golkar mendorong kadernya usia 25-40 sekitar 60 cakada dan yang jadi itu ada sekitar 25 berhasil memenangkan kompetisi elektoral, baik sebagai kepala daerah atau wakil kepala daerah,"" kata Direktur Eksekutif Arus Survei Indonesia Ali Rif'an dalam diskusi 'Meritokrasi Politik dan Kepemimpinan Kader Muda Golkar' secara virtual, Kamis (28/10/2021). Ali mengatakan Golkar memiliki sistem meritokrasi yang baik karena mampu mendistribusikan di daerah. Bukan hanya di daerah, Ali menyebut banyak kader muda Golkar yang juga lolos DPR. ""Golkar, menurut saya, mampu menjalankan meritokrasi politik dengan baik, dengan mendistribusikan kader-kadernya di pos-pos strategis yang ada di republik ini. Catatan saya, Golkar salah satu yang mampu memberi ruang kepada tokoh muda dengan porsi yang cukup banyak baik di pilkada maupun di pileg. Di DPR RI juga begitu, banyak tokoh muda Golkar diberi ruang untuk DPR RI. Artinya, di Golkar itu semangatnya adalah semangat meritokrasi,"" ujarnya. Namun, menurut Ali, ada tantangan yang dihadapi Golkar untuk menyongsong Pemilu 2024. Salah satunya menguatkan sosok figur Golkar, yakni Airlangga Hartarto. ""Ada beberapa tantangan yang perlu disampaikan soal Golkar, pertama tantangan figur karena harus diakui bahwa di Indonesia itu figur ID jauh lebih dominan daripada partai ID, jadi mengangkat Pak Airlangga sama saja mengangkat partai, jadi pemilih Indonesia itu lebih dekat dengan figur daripada partai,"" ujarnya. Tantangan lain adalah bagaimana Golkar menggaet suara pemilih muda. Pada 2024, Ali mengatakan peserta pemilu akan didominasi oleh pemilih muda. ""Gen Z dan gen milenial, kalau ditotal, ada 52 persen pemilih muda yang akan memberikan suaranya nanti pada 2024. Artinya, bagaimana kita mampu merebut hati pemilih muda karena pemilih muda rupanya rata-rata masuk kategori   dan   Ini tantangan bagi Partai Golkar bagaimana mereka mau berpartisipasi di partai politik,"" ujarnya. Ketua Golkar Institute Ace Hasan Syadzily mengatakan pihaknya saat ini tengah membuka rekrutmen bagi siapa pun anak muda uang ingin bergabung ke politik. Terutama bagi mereka yang akan maju ke legislasi melalui Partai Golkar, ""Kita sedang melalui satu tahapan, yaitu proses rekrutmen fungsionaris yang akan dijadikan sebagai calon anggota legislatif di tahun 2024. Bagi anak-anak muda yang berpotensi untuk bisa tertarik dengan dunia politik dan ingin   dari Partai Golkar, kami membuka selebar-lebarnya pada anak-anak muda untuk mendaftarkan diri jadi fungsionaris,"" ujarnya. Ace mengatakan pihaknya juga menyiapkan pendidikan politik dasar dalam Golkar Institute. Tentunya akan ada seleksi di dalamnya. ""Kedua, melalui Golkar Institute ini, bagi anak-anak muda di usia 40 ke bawah, mereka ingin tertarik dengan politik mereka bisa dasar untuk mendapatkan pendidikan tentang 3 pilar dasar. Nah, kami melakukan proses seleksi, tentu seleksinya objektif, karena kita lihat dari kemampuan pengetahuannya, motivasi kuatnya di politik, termasuk kemampuan bahasa Inggris, karena ini penting supaya kader muda ini bisa bersaing di tengah tantangan global,"" ujarnya. Ace juga mengatakan adanya proses politik yang harus dilalui dalam pendidikan itu, sehingga Golkar memastikan kadernya akan mampu melewati tantangan jika terpilih kontestasi pemilu. ""Setelah dilakukan proses pelatihan, kami memberikan kesempatan untuk mereka akan memilih jalur apa. Jadi poin kami bahwa kita sangat terbuka terhadap proses keterlibatan politik anak-anak muda, dan selama ini kami memberikan ruang kepada anak muda, dalam proses politik kan tidak langsung menjadi, tapi ada proses cukup panjang, karena di situlah kita akan terbentuk menjadi kader matang dan dewasa dan mampu menghadapi tantangan-tantangan,"" tuturnya.","Golkar Disebut Partainya Anak Muda, Paling Banyak Beri Ruang untuk Milenial",pilkada,https://news.detik.com/berita/d-5786105/golkar-disebut-partainya-anak-muda-paling-banyak-beri-ruang-untuk-milenial?single=1,"Kamis, 28 Okt 2021 11:25 WIB"
"Kelompok pengusung pasangan calon rival   di Pilkada Solo 2020, Tikus Pithi Hanata Baris, ancang-ancang menjadi partai politik bernama Partai Kedaulatan Rakyat (PKR). Gibran yang kini menjabat Wali Kota Solo pun memberikan ucapan selamat. ""Selamat, saya baru tahu. Ya nggak apa-apa,"" kata Gibran usai peresmian kantor PAC Banjarsari, Solo, Kamis (28/10/2021). Gibran pun tidak mempermasalahkan jika nantinya harus kembali bersaing dengan PKR. Menurutnya, hal tersebut wajar di dalam negara demokrasi. ""  (nggak apa-apa melawan PKR). Namanya demokrasi biasa,"" terang Gibran. Untuk diketahui, kelompok Tikus Pithi Hanata Baris pada   mengusung Bagyo Wahyono-FX Supardjo (Bajo) sebagai lawan Gibran Rakabuming Raka. Kini Tikus Pithi Hananta Baris berubah menjadi Partai Kedaulatan Rakyat dan menargetkan bisa lolos menjadi peserta Pemilihan Legislatif 2024. Ketua Umum sekaligus Ketua Dewan Pembina PKR Tuntas Subagyo menyebut saat ini struktur kepengurusan PKR sudah terbentuk di 19 provinsi di Indonesia. ""Deklarasi ini untuk lebih mengenalkan PKR di seluruh Indonesia karena sampai evaluasi rapat DPP sudah terbentuk di 19 provinsi dan target tahun ini bisa terbentuk di 34 provinsi sampai desa,"" ujar Tuntas usai deklarasi di Hotel Adiwangsa, Solo, Kamis (28/10). ""Target kami berupaya penuh bisa lolos di 2024 untuk Pileg,"" terang Tuntas.","Mantan Rival di Pilkada Solo Bikin Parpol, Gibran Beri Selamat",pilkada,https://news.detik.com/berita-jawa-tengah/d-5787153/mantan-rival-di-pilkada-solo-bikin-parpol-gibran-beri-selamat?single=1,"Kamis, 28 Okt 2021 19:55 WIB"
"Kader muda  , Puteri Anetta Komarudin, menyebut partainya memiliki modal besar untuk menang di  . Salah satunya, kata Puteri, keberhasilan Golkar yang meraup 61 persen kemenangan dalam pilkada 2020. ""Peluang dan tantangan untuk kita meraih kemenangan di 2024, Partai Golkar memiliki modal yang besar untuk memenangkan pemilu 2024 nanti, pertama tentu Partai Golkar di bawah kepemimpinan ketum Airlangga berhasil memenangkan pilkada 2020 dengan meraup kemenangan sebesar 61,1 persen atau setara dengan 165 daerah dari 271 daerah yang menyelenggarakan pilkada,"" kata Puteri dalam diskusi 'Meritokrasi Politik dan Kepemimpinan Kader Muda Golkar' secara virtual, Kamis (28/10/2021). Berbekal modal yang ada, Puteri menyebut Partai Golkar menargetkan kemenangan 20 persen di pileg 2024. Selain itu, Puteri menyebut partainya optimistis mengusung   sebagai capres. ""Berbekal berbagai capaian ini kami sangat optimis kami bisa memenangkan pemilu legislatif 2024 bahkan ketum juga menargetkan angka kemenangan sebesar 20 persen. Sekaligus kami juga sangat optimis untuk mengusung Pak Ketum Pak Airlangga Hartarto untuk maju dalam pilpres 2024 nanti,"" ujarnya.    Anggota Komisi XI DPR ini mengatakan Partai Golkar sudah menyiapkan   dan strategi untuk memenangi Pemilu 2024. Termasuk antisipasi menghadapi tantangan yang ada. ""Kami sudah siapkan berbagai strategi dan   secara bertahap sebagai acuan langkah-langkah politik menuju kemenangan 2024. Tentu di samping peluang ada berbagai tantangan untuk Golkar, dan beberapa di antaranya patut kita waspadai dan mitigasi dari sekarang, salah satunya tantangan utama adalah untuk mengantisipasi kerumitan logistik dan juga strategis dari pelaksanaan pilpres dan legislasi 2024 yang nantinya juga akan beririsan dengan pilkada di tahun yang sama,"" ujar Puteri. Selain itu, strategi kampanye, kata Puteri, telah disiapkan Golkar. Yakni strategi kampanye media sosial yang sesuai dengan perkembangan tren terkini. ""Persiapan teknis dan konsolidasi politik juga perlu menjadi perhatian partai kita khususnya terkait dengan metode dan strategi kampanye kepada masyarakat yang tentu kita persiapkan dari sekarang, belajar dari pilkada tahun lalu kita harus menyiapkan strategi yang efektif dengan memperhatikan tren yang terkini di masyarakat seperti kemajuan media sosial,"" ujarnya. Dengan begitu, dia berharap kepercayaan publik terhadap Golkar dapat meningkat. Jadi target kemenangan 20 persen di legislatif dapat tercapai. ""Strategi kampanye ini saya kira sangat penting untuk meningkatkan kepercayaan publik terhadap kinerja Partai Golkar dan tentunya diharapkan dapat meningkatkan jumlah suara partai, sehingga target untuk meraih kemenangan 20 persen ini dapat terwujud,"" tuturnya.",Golkar Targetkan Menang 20 Persen di Pileg 2024,pilkada,https://news.detik.com/berita/d-5786195/golkar-targetkan-menang-20-persen-di-pileg-2024?single=1,"Kamis, 28 Okt 2021 12:16 WIB"
"Gubernur Jawa Barat Ridwan Kamil melantik Akhmad Marjuki sebagai Wakil Bupati Bekasi di Gedung Sate, Kota Bandung pada Rabu (27/10/2021). Ia akan mengisi posisi wakil bupati untuk periode 2017 - 2022. ""Pelantikan ini menindaklanjuti surat dari Kemendagri tertanggal 21 Oktober 2021 yang memerintahkan kami selaku wakil pemerintah pusat untuk melakukan pelantikan wakil Bupati Bekasi,"" ujar Ridwan Kamil dalam sambutannya. Sebelumnya, posisi kepala daerah di Bekasi diisi oleh Pj Bupati Dani Ramdan per tanggal 22 Juli 2021. Penunjukkan Dani menyusul meninggalnya Bupati Eka Supria Atmaja yang meninggal karena COVID-19 pada 11 Juli 2021. Sepeninggalnya Eka, kekosongan kepala daerah di Bekasi sempat terjadi. Pasalnya, Eka yang semula menjadi wakil bupati, naik menjadi bupati usai pasangannya di Pilkada Neneng Hasanah Yasin tersandung kasus korupsi. Sedianya, DPRD Bekasi sempat menggelar pemilihan Wakil Bupati Bekasi dengan dua calon di Cikarang Pusat pada 18 Maret 2020 lalu. Hasilnya Akhmad Marjuki terpilih sebagai Wakil Bupati Bekasi dengan perolehan 40 suara, sedangkan calon lainnya Tuty Norcholifah Yasin tidak mendapat suara sama sekali. Melihat runtutan kejadian, ujar Ridwan Kamil, Kemendagri pun mengarahkan agar DPRD Bekasi melakukan rapat paripurna agar Akhmad Marjuki yang dilantik sebagai wakil bupati definitif, bisa menjadi bupati definitif. ""Saya mendengar 9 kepala dinas kosong, mobil ini tanpa mesin. Mesin ada tapi banyak bocor-bocor oleh karena itu pak Marjuki harus segera lakukan konsolidasi. Walau berakhir di 2021 pak Marzuki harus punya karya yang akan diingat masyarakat kabupaten Bekasi,"" ucap Kang Emil --sapaan Ridwan Kamil--. Selain itu, Kang Emil juga berpesan agar Marjuki bisa menjaga integritas, turun ke masyarakat lahir dan batin, kemudian menjadi panglima pengendalian COVID-19 di Bekasi. ""Saya titip pak Marjuki untuk menjaga integritas, karena banyak kepala daerah yang berguguran karena benteng pertama yang bocor,"" pungkas Kang Emil.",Sah! Akhmad Marjuki Jadi Wakil Bupati Bekasi Definitif,pilkada,https://news.detik.com/berita-jawa-barat/d-5784524/sah-akhmad-marjuki-jadi-wakil-bupati-bekasi-definitif?single=1,"Rabu, 27 Okt 2021 11:28 WIB"
"Sosok Wakil Ketua KPK Lili Pintauli Siregar menjadi buah bibir. Petinggi KPK yang satu ini sering dilaporkan ke Dewan Pengawas KPK, Lili dianggap sering melakukan pelanggaran kode etik. Lili sendiri merupakan Wakil Ketua KPK terpilih periode 2019-2023, sebagai pejabat tinggi dia memiliki harta kekayaan total sebesar Rp 1,7 miliar. Dilansir dari laman LHKPN, harta sebesar itu dilaporkan Lili pada 18 Februari 2021 untuk laporan harta kekayaan di tahun 2020. Lili memiliki 3 aset tanah dan bangunan, dua di Tangerang Selatan dan sisanya di Deli Serdang. Totalnya, aset properti Lili bernilai Rp 2 miliar. Kemudian, Lili tercatat memiliki 5 unit kendaraan bermotor. Dua mobil dan tiga motor senilai Rp 674,5 juta. Paling mahal adalah unit mobil Mitshubishi Pajero Sport Dakar tahun 2020. Lili juga punya tabungan atau kas senilai Rp 200 juta dan harta bergerak senilai Rp 16 juta. Harta lainnya milik Lili nilainya mencapai Rp 55,4 juta. Totalnya, Lili punya aset kekayaan sebesar Rp 2.945.940.000, namun dia juga tercatat memiliki utang sebanyak Rp 1.208.000.000. Jadi kalau dihitung harta bersihnya Lili memiliki total harta sebesar Rp. 1.737.940.000. Lili sendiri baru saja dilaporkan ke Dewan Pengawas KPK oleh mantan penyidik KPK Novel Baswedan dan Rizka Anungnata. Lili dilaporkan berkomunikasi dan bekerja sama dengan salah satu kontestan pilkada serentak Labuhanbatu Utara (Labura) bernama Darno. Rizka dan Novel mengaku menjadi penyidik dalam kasus dugaan korupsi pilkada serentak di Labura. Rizka menduga Lili bekerja sama dengan Darno untuk mempercepat penahanan tersangka Bupati Labuhanbatu Utara, Kharuddin Syah. Rizka mengatakan Kharuddin pernah bercerita apa yang dilakukan Darno itu untuk menjatuhkan suara anaknya yang juga ikut dalam kontestasi pilkada serentak. Di sisi lain, Dewan Pengawas menyebut laporan yang dilakukan Novel dan Rizka tidak dapat diproses lebih lanjut karena dinilai belum jelas. Syamsuddin mengatakan laporan tersebut memang sudah diterima Dewas, hanya saja dia mengatakan laporan itu seharusnya disampaikan dengan jelas soal dugaan pelanggaran etik yang dilakukan Lili. ""Semua laporan pengaduan dugaan pelanggaran etik yang masih sumir, tentu tidak akan ditindaklanjuti oleh Dewas. Laporan pengaduan baru diterima Dewas, tapi materi laporan sumir. Perbuatan LPS yang diduga melanggar etik tidak dijelaskan apa saja,"" kata anggota Dewas, Syamsuddin Haris, kepada wartawan, Jumat (22/10/2021). Setiap laporan pengaduan dugaan pelanggaran etik oleh insan KPK harus jelas apa fakta perbuatannya, kapan dilakukan, siapa saksinya, apa bukti-bukti awalnya,"" lanjutnya. Sebelumnya, Novel Baswedan dkk juga pernah melaporkan Lili ke Dewas KPK. Singkat cerita, Lili dinyatakan melanggar kode etik dalam kasus Wali Kota Tanjungbalai M Syahrial. Dewas menilai Lili melakukan kepentingan pribadi dan berhubungan langsung dengan pihak berperkara. ""Mengadili satu menyatakan terperiksa Lili Pintauli Siregar bersalah melakukan pelanggaran kode etik dan pedoman perilaku berupa menyalahgunakan pengaruh selaku pimpinan KPK untuk kepentingan pribadi dan berhubungan langsung dengan pihak yang perkaranya sedang ditangani KPK yang diatur dalam Pasal 4 ayat 2 huruf b dan a, Peraturan Dewan Pengawas Nomor 2 Tahun 2020 tentang Penegakan Kode Etik dan Pedoman Perilaku KPK,"" Ketua Dewas KPK Tumpak Hatorangan Panggabean saat konferensi pers, Senin (30/8/2021). Tumpak menerangkan Lili juga dikenai sanksi berat berupa pemotongan gaji pokok 40 persen selama 12 bulan. ""Menghukum terperiksa dengan sanksi berat berupa pemotongan gaji pokok sebesar 40 persen selama 12 bulan,"" katanya.","Harta Lili Pintauli, Wakil Ketua KPK yang Kerap Dilaporkan Langgar Kode Etik",pilkada,https://finance.detik.com/berita-ekonomi-bisnis/d-5780756/harta-lili-pintauli-wakil-ketua-kpk-yang-kerap-dilaporkan-langgar-kode-etik?single=1,"Senin, 25 Okt 2021 07:05 WIB"
"AKBP Deni Kurniawan mengatakan ikhlas dicopot dari jabatan  . Meski merasa sedih, dia bertekad menjadikan pengalaman ini sebagai pelajaran. ""Sebagai insan Bhayangkara saya harus patuh dan taat kepada peraturan dan kode etik profesi Polri. Mudah-mudahan pelajaran ini akan menjadikan saya lebih mawas diri ke depannya,"" kata Deni dalam perbincangan dengan  , Rabu (3/11/2021). Deni mengatakan peristiwa ini telah menyadarkannya atas kekhilafan yang dilakukannya. Dia mengaku mengambil hikmah atas sanksi yang diberikan. ""Saya percaya Tuhan itu Maha Adil. Kali ini saya ditegur-Nya, mungkin ini bentuk sayang-Nya. Karena itu, (kejadian) ini ke depannya harus saya ingat,"" sambungnya. Deni juga memohon maaf kepada masyarakat   jika ada kesalahan, baik dari ucapan maupun tindakannya selama menjabat sebagai Kapolres Labuhanbatu. Deni dicopot dari jabatan   dalam rangka evaluasi jabatan. Polda Sumut mengungkap alasan Deni dicopot. ""Tidak menerapkan Perkap Nomor 10 Tahun 2017,"" kata Kabid Humas Polda Sumut Kombes Hadi Wahyudi, Selasa (2/11). Perkap itu berisi aturan soal kepemilikan barang yang tergolong mewah oleh anggota Polri. Kepemilikan barang mewah ini yang disebut menjadi alasan AKBP Deni dicopot. Menurut informasi yang diterima  , AKBP Deni pernah mengendarai sepeda motor BMW R 1200. Kendaraan itu dipakai Deni saat ikut kegiatan touring bersama salah satu komunitas sepeda motor di Labuhanbatu. Video aksi Deni touring dengan menggunakan sepeda motor jenis BMW ini beredar di medsos. Kendaraan jenis BMW yang dipakai Deni ini ditaksir seharga Rp 814 juta. Meski demikian, Kombes Hadi belum menjelaskan detail apakah hal itu menjadi alasan Deni dicopot atau bukan. Deni bertugas sebagai Kapolres Labuhanbatu sejak 18 Agustus 2020, setelah sebelumnya menjabat Kapolres Nias selama 29 bulan. Selama 14 bulan bertugas, dia mencatatkan beberapa pencapaian seperti mengamankan pilkada, pengungkapan berbagai kasus besar, dan membantu penanganan pandemi COVID-19. Pada   yang digelar pada 9 Desember 2020 yang digelar di 3 kabupaten, situasi di Labuhanbatu Raya kondusif. Kondisi berlanjut hingga 3 kali pelaksanaan pemungutan suara ulang (PSU) di 2 kabupaten. Kemudian, Polres Labuhanbatu juga sempat memecahkan rekor pengungkapan kasus narkoba terbesar saat Deni menjabat. Rekor pertama tercatat pada penangkapan sabu seberat 15 kg, yang tak lama kemudian dipecahkan lagi dengan jumlah 45 kg serta terakhir 60 kg. Sementara dalam penanganan perkara kriminal, Deni juga bekerja baik. Terbaru, Polres Labuhanbatu mengungkap kasus pembunuhan dan pemerkosaan yang terjadi di Bilah Hilir kurang dari 24 jam. Dalam penanganan  , Polres Labuhanbatu menjadi salah satu motor percepatan vaksinasi di Labuhanbatu Raya. Selain itu, Polres Labuhanbatu mendapat kepercayaan dari 'Gerakan Indonesia Pasti Bisa' untuk menyalurkan bantuan bernilai miliaran rupiah ke wilayah Labuhanbatu Raya. Selain itu, Polres Labuhanbatu mencatat prestasi sebagai polres terbaik ke-3 di jajaran Polda Sumut. Deni juga baru memperoleh piagam penghargaan dari Kementerian Hukum dan HAM karena berperan aktif dalam kegiatan vaksinasi di rumah tahanan negara yang ada di Labuhanbatu. Dilihat  , piagam ini ditandatangani oleh Menkum HAM Yasonna Laoly.",Eks Kapolres Labuhanbatu Ikhlas Jabatan Dicopot: Jadi Pelajaran,pilkada,https://news.detik.com/berita/d-5794584/eks-kapolres-labuhanbatu-ikhlas-jabatan-dicopot-jadi-pelajaran?single=1,"Rabu, 03 Nov 2021 09:33 WIB"
"Ormas   yang dulu mengusung lawan Wali Kota Solo  , Wahyono-FX Supardjo di  mendeklarasikan diri menjadi partai politik. Ormas yang mengusung nama   (PKR) ini menargetkan bisa lolos Pemilihan Legislatif 2024. Ketua Umum sekaligus Ketua Dewan Pembina PKR Tuntas Subagyo menyebut saat ini struktur kepengurusan PKR sudah terbentuk di 19 provinsi di Indonesia. ""Deklarasi ini untuk lebih mengenalkan PKR di seluruh Indonesia karena sampai evaluasi rapat DPP sudah terbentuk di 19 provinsi dan target tahun ini bisa terbentuk di 34 provinsi sampai desa,"" ujar Tuntas usai deklarasi di Hotel Adiwangsa, Solo, Kamis (28/10/2021). Tuntas mengaku tidak muluk-muluk pasang target di   Meski begitu, pihaknya berharap bisa meloloskan kadernya di Pileg 2024. ""Target kami berupaya penuh bisa lolos di 2024 untuk Pileg,"" terang Tuntas. Tuntas tidak memerinci detail soal dana yang sudah dihabiskan untuk mendeklarasikan diri sebagai parpol. Dia menyebut pendanaan partai dilakukan secara gotong royong. ""Pendanaan, alhamdulilah kita gelorakan gotong royong di semua keanggotaan. DPW, DPP, DPC, semuanya atas asas gotong royong, ini menunjukkan antusiasme masyarakat Indonesia yang menginginkan hadirnya demokrasi,"" urai Tuntas. Dia menambahkan dalam struktur pengurus PKR tidak ada tokoh nasional. Dia beralasan hal ini sengaja dilakukan dengan tujuan jika PKR menyatu rakyat. ""PKR menghadirkan nuansa baru, perpolitikan yang mungkin berbeda dengan parpol lain, menjadi penengah dan pengarah, menyatu masyarakat dan tumbuh besar dengan masyarakat. Tidak ada tokoh nasional di PKR,"" terang dia. Untuk diketahui, PKR merupakan afiliasi dari ormas yang bernama Tikus Pithi Hanata Baris. Ormas ini mengusung paslon independen Bagyo   untuk bertarung melawan pasangan Gibran Rakabuming Raka-Teguh Prakosa di Pilkada Solo 2020.","'Tikus Pithi' Pengusung Lawan Gibran Bentuk Parpol, Target Lolos Pileg 2024",pilkada,https://news.detik.com/berita-jawa-tengah/d-5786696/tikus-pithi-pengusung-lawan-gibran-bentuk-parpol-target-lolos-pileg-2024?single=1,"Kamis, 28 Okt 2021 16:15 WIB"
"Kejaksaan Negeri (Kejari)   (Sergai), Sumatera Utara (Sumut), menetapkan tiga orang tersangka dalam kasus dugaan korupsi dana hibah Rp 1,2 miliar. Salah satu tersangka dalam kasus ini ialah mantan Sekretaris KPU Sergai Darma Eka Surbakti. ""Ada tiga tersangka yang kita tetapkan. Pertama itu kuasa pengguna anggaran (KPA) Darma Eka Surbakti, dia mantan Sekretaris KPU. Kemudian pejabat PPK Khairul Mitha Nasution dan bendahara pengeluaran pembantu bernama Rahman,"" kata Kasi Intel Kejari Sergai Agus Atmajaya kepada wartawan, Rabu (27/10/2021). Agus mengatakan dana yang diduga korupsi itu adalah dana hibah Pilkada 2020 dengan total Rp 36,5 miliar. Dari hasil audit, kata Agus, ditemukan dugaan korupsi Rp 1,2 miliar. ""Setelah diaudit, berdasarkan hasil audit itu, terjadi kerugian negara sekitar Rp 1,2 miliar,"" ujar Agus. Agus menyebut ketiga tersangka sudah ditahan di Lapas Tebing Tinggi. Penahanan dilakukan selama 20 hari untuk proses pemeriksaan. Agus menjelaskan pihaknya masih terus mengusut kasus ini. Dia menyebut masih ada kemungkinan penambahan tersangka dalam kasus ini. ""Kalau kemungkinan tersangka bertambah, masih terbuka. Kita lihat nanti,"" jelasnya. Penetapan tersangka ini dilakukan berdasarkan hasil penyelidikan yang dilakukan Kejaksaan di KPU Sergai. Ketiga tersangka dijerat UU Pemberantasan Tipikor. ""Dikenakan Pasal 2 dan Pasal 3 Undang-Undang Tindak Pidana Korupsi,"" jelasnya.","Eks Sekretaris KPU Sergai Jadi Tersangka Kasus Korupsi Hibah Rp 1,2 M",pilkada,https://news.detik.com/berita/d-5785403/eks-sekretaris-kpu-sergai-jadi-tersangka-kasus-korupsi-hibah-rp-12-m?single=1,"Rabu, 27 Okt 2021 18:41 WIB"
