artikel,judul,keyword,link,tanggal
"Tenaga Ahli Utama Kantor Staf Presiden (KSP) Ali Mochtar Ngabalin mengomentari dukungan Asosiasi Pemerintahan Desa Seluruh Indonesia (Apdesi) terhadap wacana ' '. Ngabalin mempersilakan Apdesi berbicara sesuka mereka, tapi wacana 'Jokowi 3 periode' tak mungkin terealisasi. ""Saya yang bisa melarang, siapa yang bisa menghalangi, siapa yang bisa menghambat mereka? Mau 3 periode, mau 4 periode, mau 5 periode, nggak ada urusan. Itu urusannya adalah hak demokrasi setiap orang,"" kata Ngabalin dalam sebuah video yang diterima, Kamis (31/3/2022). ""Apalagi mereka yang dari pemerintahan desa kan datang ke Jakarta, kemudian menyampaikan pendapat di ruang publik tentang pikiran mereka bahwa pentingnya Presiden Joko Widodo itu 3 periode,"" imbuhnya. Ngabalin menekankan 'Jokowi 3 periode' tak akan terealisasi karena pemerintah taat terhadap konstitusi. Menurutnya, Presiden Jokowi juga mengamanahkan demikian. ""Ya bagi kami tidak mungkin, apalagi polisi, apalagi pemerintah. Ya sudah pasti tidak mungkin karena kita pasti tegak lurus pada konstitusi, begitu amanah yang disampaikan Bapak Presiden dan kita semua,"" sebutnya. Karena itu Ngabalin mempersilakan masyarakat yang ingin berbicara tentang Jokowi 3 periode, penundaan pemilu atau perpanjangan masa jabatan presiden. Namun Ngabalin menegaskan jangan membawa-bawa Presiden Jokowi. ""Sehingga saya mau bilang bahwa kalau orang berwacana tentang 3 periode atau berwacana tentang penundaan pemilu atau perpanjangan masa jabatan presiden, bicaralah kalian sesuka hatimu. Tapi nggak usah kalian bawa kepada Presiden Joko Widodo, karena Presiden Joko Widodo tegak lurus, taat kepada konstitusi,"" tegasnya. Ngabalin menyebut Apdesi memiliki hak untuk berwacana Jokowi 3 periode hingga perpanjangan masa jabatan presiden. Dia justru mempertanyakan mengapa ada pihak yang melarang. ""Apapun yang disampaikan oleh Apdesi itu juga hak mereka. Masak, sih, orang berwacana tentang 3 periode, orang berwacana tentang penundaan pemilu atau perpanjangan masa jabatan presiden tidak boleh, hak orang di alam demokrasi, kenapa Anda larang, kenapa Anda haramkan,"" pungkasnya.","Ngabalin soal Apdesi Dukung Jokowi 3 Periode: Itu Hak, Masak Tak Boleh?",pemilu,https://news.detik.com/berita/d-6010196/ngabalin-soal-apdesi-dukung-jokowi-3-periode-itu-hak-masak-tak-boleh?single=1,"Kamis, 31 Mar 2022 17:33 WIB"
"Pengurus Daerah Partai Demokrat Nusa Tenggara Barat (NTB) mendeklarasikan dukungan kepada Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono ( ) sebagai calon Presiden pada pemilu 2024. Para kader disebut siap memenangkan AHY di daerah seribu masjid itu. Deklarasi dukungan ini dilakukan usai AYH melantik pengurus daerah NTB periode 2022-2027 melalui virtual pada Kamis (31/3/2022). Ketua DPD partai Demokrat NTB Indra Jaya Usman mengatakan siap bekerja menjalankan mesin partai. ""Tentunya sesuai arahan Ketum  , pengurus yang diberikan amanah kepercayaan langsung bekerja. Melihat tahapan pemilu tidak lama lagi dan agenda terdekat yaitu memperkuat dan konsolidasi internal, diantaranya menggelar musyawarah cabang (muscab) 10 DPC kabupaten kota. Kita targetkan muscab tuntas akhir April,"" jelas Indra dalam keterangan tertulisnya. Dijelaskannya, Muscab sebagai bagian memperkuat konsolidasi menghadapi Pemilu 2024. Partai Demokrat NTB bertekad menjadi parpol pemenang Pemilu 2024 di NTB dan menargetkan untuk bisa memenangkan AHY pada Pilpres 2024 di NTB. ""Ini langkah awal memanaskan mesin politik partai, tentunya kita tetap konsolidasi ke bawah mematangkan strategi untuk kemenangan pemilu 2024,"" tandasnya. ""Mesin partai berjalan dengan baik, saya percaya dapat menghantar AHY menjadi presiden 2024. AHY aset demokrat khas dibutuhkan bangsa ini, ide pikiran yang cerdas dipercaya dapat memimpin bangsa. Target kita menang pileg dan pilpres di NTB,"" sambungnya. Indra yang menjabat sebagai anggota DPRD Lombok Barat menjelaskan dalam stuktur kepengurusan periode saat ini banyak wajah baru dari kalangan muda. Di sisi lain, ada pula para tokoh potensial NTB baik dari partai politik, birokrat, pengacara, budaya, dan lain-lain. ""Pastinya semua mempunyai komitmen membesarkan Partai Demokrat, dengan tujuan utamanya mensejahterakan masyarakat NTB. Para kader yang dilantik mempunyai semangat yang kerap disampaikan Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono yaitu muda adalah kekuatan,"" ujarnya. Sementara itu, dalam arahannya AHY meminta kepada seluruh Kader di NTB untuk tidak terbuai dengan hasil survei. Namun tetap bekerja demi mencapai kejayaan. ""Partai Demorkat di NTB berjaya, bangkit. Jadikan pelantikan ini menjadi momentum untuk semangat dalam menjemput impian kejayaan Partai Demokrat. Tugas pemimpin yang baru harus segera menjalankan roda partai,"" tegas AHY. AHY berharap Partai Demokrat semakin kuat, tetap bersatu dan hilangkan perbedaan, namun tunjukkan kebersamaan. ""Pemilu bisa sukses..makin banyak anggota dewan, tentunya makin banyak kader demokrat kita bisa bersuara lantang untuk memperjuangkan aspirasi rakyat,"" kata AHY.",DPD Demokrat NTB Dukung AHY Maju Presiden di Pemilu 2024,pemilu,https://news.detik.com/berita/d-6010853/dpd-demokrat-ntb-dukung-ahy-maju-presiden-di-pemilu-2024?single=1,"Jumat, 01 Apr 2022 02:21 WIB"
"DPD Partai Gerindra Jawa Timur menggelar Rakerda dengan seluruh DPC 38 Kabupaten/Kota se-Jatim. Dalam Rakerda ini, para kader solid mengusulkan Prabowo Subianto sebagai  ""Rakerda Gerindra Jatim kali ini sebuah langkah membulatkan tekad bahwa tahun 2024, bapak Prabowo Subianto maju sebagai Capres,"" kata Sekretaris DPD Gerindra Jatim Kharisma Febriansyah di Hotel Wyndham Surabaya, Kamis (30/3/2022) malam. Kharisma yang memimpin sidang dalam Rakerda ini menegaskan, para kader menyiapkan strategi khusus untuk memenangkan Prabowo sebagai Presiden 2024. ""Dan kami membangun sebuah kekuatan untuk bagaimana caranya di 2024 beliau menang. Dari hal yang strategis sampai isu yang paling taktis. Kita lakukan antisipasi, seperti apa yang dihadapi di 2024. Inti Rakerda ini, Gerindra Jatim komitmen penuh, penuh respek untuk satu tujuan, bapak  menang di Pilpres 2024 nanti,"" tegasnya. Tidak hanya itu, Kharisma menyebut, dalam Rakerda yang berjalan tertutup tersebut secara spontan semua DPC meminta Sadad maju di Pilgub Jatim 2024. ""Dan ada keputusan tambahan, bahwa tadi forum sidang merekomendasikan Bapak Anwar Sadad untuk bekerja lebih giat, bekerja lebih cermat, berbuat lebih banyak, berbuat lebih luas wilayahnya. Karena Rakerda tadi merekomendasikan Bapak Anwar Sadad maju di Pilgub Jatim 2024,"" kata Kharisma Febriansah. Untuk posisi Cagub atau Cawagub? Kharisma menyebut masih ada dinamika politik ke depan. Ia menyerahkan keputusan final ke DPP. ""Sebagai apa, kita lihat dinamika politik karena Rakerda tadi merekomendasikan sebagai calon gubernur. Mekanisme partai kita ialah DPP yang memutuskan. Tapi dalam forum rakerda ini memang seluruh DPC dan DPC merekomendasikan beliau maju di Pilgub Jatim,"" bebernya.",Rakerda Gerindra Jatim: Solid Menangkan Prabowo Subianto Presiden 2024,pemilu,https://www.detik.com/jatim/berita/d-6009205/rakerda-gerindra-jatim-solid-menangkan-prabowo-subianto-presiden-2024?single=1,"Kamis, 31 Mar 2022 08:44 WIB"
"Wakil Ketua MPR RI Hidayat Nur Wahid (HNW) mengkritisi dukungan Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi) terhadap wacana 'Jokowi 3 Periode'. HNW menilai tindakan kepala desa yang berhimpun di Apdesi tersebut melanggar kewajiban tugas kepala desa sebagaimana yang berlaku dalam Undang-Undang. Menurutnya, Undang-Undang Nomor 6 Tahun 2014 tentang Desa (UU Desa) Pasal 26 ayat (4) huruf a UU Desa secara tegas menyatakan bahwa kewajiban kepala desa antara lain adalah melaksanakan UUD NRI 1945. ""Dan UUD NRI 1945 yang berlaku saat ini secara tegas menyatakan masa jabatan presiden hanya dua periode dan pemilihan umum termasuk Pilpres diselenggarakan 5 tahun sekali. Jadi, manuver para kepala desa itu melanggar kewajibannya sebagai kepala desa untuk melaksanakan UUD NRI 1945,"" ujar HNW dalam keterangannya, Kamis (31/3/2022). Dia menuturkan UUD juga tidak memberi kewenangan kepala desa/Apdesi terkait Pilpres, karena rakyat yang diberi hak untuk memilih capres/cawapres, partai/gabungan partai politik yang diberi hak untuk calonkan presiden/wapres, dan MPR dan anggotanya yang diberi hak untuk mengubah/menetapkan UUD termasuk yang terkait dengan masa jabatan presiden. ""Tidak ada hak yang diberikan UUD kepada kepala desa atau asosiasi kepala desa terkait Pilpres. Malah UU Desa melarang para kepala desa berpolitik praktis, seperti dukung mendukung calon kepala daerah,"" ungkapnya. HNW melanjutkan mestinya manuver yang dilakukan Apdesi adalah mendukung agar keputusan KPU yang konstitusional soal Pemilu 2024 itu bisa terlaksana dengan sukses dan menghadirkan hasil Pemilu serentak pada tahun 2024 yang lebih baik daripada Pemilu sebelumnya. Bukan menciptakan kondisi dengan manuver yang melibatkan sekelompok orang yang mengatasnamakan Asosiasi Pemerintahan Desa seluruh Indonesia. ""Seharusnya sekalipun mereka mengaku dari Apdesi, maka saat berjumpa dengan Presiden Jokowi justru memperjuangkan nasib rakyat desa yang mereka pimpin dengan menagih realisasi janji kampanye dan meminta solusi kepada Presiden Jokowi terkait masalah-masalah yang memberatkan masyarakat desa,"". ""Seperti kelangkaan atau mahalnya minyak goreng, tingginya harga kebutuhan pokok lainnya seperti tahu, tempe, telur, gas elpiji, tarif dasar listrik, dan BBM. Sementara harga gabah malah turun. Dan tidak sebagaimana dijanjikan Jokowi, bawang putih, cabai dan garam ternyata masih impor juga,"" jelasnya.",HNW soal Apdesi Dukung Jokowi 3 Periode: Langgar Kewajiban Kepala Desa,pemilu,https://news.detik.com/berita/d-6010361/hnw-soal-apdesi-dukung-jokowi-3-periode-langgar-kewajiban-kepala-desa?single=1,"Kamis, 31 Mar 2022 18:33 WIB"
"menyayangkan Presiden Jokowi tak tegas menertibkan para pembantunya terkait manuver skenario 3 periode. PD menilai hal itu mencederai agenda reformasi. ""Ini terjadi karena Pak Jokowi tak merespons secara tegas untuk menertibkan para pembantunya yang terus menerus melakukan manuver pelanggengan kekuasaan ini baik melalui skenario 3 periode maupun skenario penundaan pemilu dan perpanjangan masa jabatan presiden,"" kata Deputi Bappilu Partai Demokrat Kamhar Lakumani kepada wartawan, Kamis (31/3/2022). ""Sangat disayangkan jika kemudian pembiaran ini didasari tafsir yang keliru terhadap demokrasi. Atas nama demokrasi membiarkan terjadinya 'terorisme konstitusi' yang kontra demokrasi dan mencederai agenda reformasi,"" imbuhnya. Pernyataan PD merespons soal munculnya dua kubu Apdesi. Partai Demokrat juga mencurigai hanya satu kubu Apdesi yang diberi 'panggung' pemerintah. ""Penguasa terbaca bermain dua kaki ketika memberikan pengakuan yang sama kepada keduanya di satu sisi, namun hanya memberi panggung pada kelompok Apdesi yang mendukung wacana pelanggengan kekuasaan,"" ujarnya. Partai Demokrat menilai Jokowi mesti mengambil sikap tegas. Demokrat meminta ada evaluasi terhadap kepala desa yang menggaungkan wacana 3 periode. ""Termasuk terhadap para kepala desa yang telah secara sadar dan terang-terangan melanggar sumpah dan janjinya saat pelantikan untuk taat konstitusi namun saat ini mewacanakan 3 periode yang nyata-nyata melanggar konstitusi. Para kades yang mewacanakan ini mesti di evaluasi dari jabatannya,"" imbuhnya. Jokowi berbicara soal teriakan 3 periode yang disampaikan warga saat dia berkunjung di daerah. Jokowi mengaku sering mendengar teriakan seperti itu. ""Yang namanya keinginan masyarakat, yang namanya teriakan-teriakan seperti itu kan sudah sering saya dengar,"" kata Jokowi setelah meninjau Candi Borobudur di Kabupaten Magelang, Jawa Tengah, Rabu (30/3). Hal itu disampaikan Jokowi terkait pertanyaan soal teriakan 3 periode dari warga yang terdengar dalam perjalanan dari Bandara Internasional Yogyakarta (YIA) menuju Pasar Baledono di Purworejo hingga Pasar Rakyat di Magelang. Jokowi mengaku tetap patuh pada konstitusi. Dia mengatakan konstitusi telah mengatur secara jelas pembatasan masa jabatan presiden. ""Tetapi yang jelas, konstitusi kita sudah jelas. Kita harus taat, harus patuh terhadap konstitusi, ya,"" ujar Jokowi.",PD: Jokowi Tak Tegas Tertibkan Pembantunya Manuver Skenario 3 Periode,pemilu,https://news.detik.com/berita/d-6011044/pd-jokowi-tak-tegas-tertibkan-pembantunya-manuver-skenario-3-periode?single=1,"Jumat, 01 Apr 2022 09:13 WIB"
"DPW   menggelar bimbingan teknis (Bimtek) bagi seluruh anggota DPRD fraksi PPP di Jatim. Baik di kabupaten/kota maupun provinsi. Sekjend DPP PPP, Arwani Thomafi berpesan agar legislator PPP lebih peka terhadap isu yang terjadi di masyarakat. ""Hari ini kita Bimtek untuk anggota DPRD Fraksi PPP di Jatim baik kota, kabupaten dan provinsi. Dengan Bimtek anggota DPRD dari fraksi PPP kita ingin bisa terus memahami apa yang menjadi tugas dari anggota DPRD. Juga bisa lebih meningkatkan intensitas di tengah-tengah rakyat,"" kata Arwani di Surabaya, Rabu (30/3/2022) malam. ""Saya harap kader legislatif PPP lebih responsif mendengar dan merespons persoalan yang terjadi di masyarakat. Anggota DPRD juga harus mampu mengisi ruang partisipasi pembangunan, publik untuk pembangunan daerah. Apa yang dilakukan di daerah untuk memberi nilai plus untuk upaya peningkatan kesejahteraan masyarakat,"" sambungnya. Arwani meminta kader PPP bekerja keras membangkitkan suara partai. Ia juga berpesan agar pengurus PPP di Jatim menyiapkan kekuatan hingga tingkat bawah. Tujuannya, agar PPP bisa meraih hasil maksimal di Pileg 2024. ""Jadi kalau kita lihat dan dapatkan terkait survei hari ini, akan menjadi motivasi untuk berbenah. Kita lakukan konsolidasi organisasi sehingga semua kepengurusan sampai bawah itu siap mengawal Pemilu,"" ungkapnya. Sementara Ketua DPW PPP Jatim Mundjidah Wahab berpesan agar kader PPP mengajak kiai-gus hingga ulama, kembali ke partai berlambang Ka'bah tersebut. ""Kami ingin menggugah semangat kader PPP dan harapannya supaya warga PPP, simpatisan PPP yang bergeser ke partai lain bisa kembali ke PPP untuk Pemilu 2024. Kita membuka peluang untuk semua, walaupun bukan kader untuk maju sebagai caleg dari PPP,"" kata Mundjidah. ""Kami ingin kader membesarkan partai. Saya harap mereka Gus, Kiai, dari pondok pesantren, dari keluarga NU kita rangkul semua untuk bersama-sama PPP untuk 2024. PPP mengajak kembali ke rumah Ka'bah,"" sambungnya. Bupati Jombang ini menyebut, PPP mempunyai target khusus pada Pileg 2024 mendatang. Salah satunya meningkatkan kembali perolehan kursi legislatif. ""Di mana saat ini di Provinsi Jatim dari 14 dapil, kita dapat lima. Harapan kita, minimal bisa 10 kursi atau dua kali lipat. Semoga kalau bisa maksimal, nanti setiap dapil dapat kursi,"" jelasnya. Terkait Bimtek, ia meminta anggota DPRD dari PPP bisa menjadi etalase partai dan mitra pemerintah. ""Harapannya anggota DPRD ini adalah sebagai etalase partai jadi harus aktif untuk menyampaikan isu, statement sesuai pemerintah daerah,"" pungkasnya.",PPP Jatim Ajak Kiai-Gus Kembali ke Rumah Ka'bah,pemilu,https://www.detik.com/jatim/berita/d-6009024/ppp-jatim-ajak-kiai-gus-kembali-ke-rumah-kabah?single=1,"Kamis, 31 Mar 2022 03:07 WIB"
"""Dalam partai politik memang ada subjektivitas Ketua Umum. Kalau AD/ART partai wewenangnya (terkait Musda) ada di Ketua Umum maka ini tentu sah,"" ungkap pengamat politik dari KedaiKOPI Hendri Satrio kepada  , Rabu (30/3/2022). Hensat sapaan akrabnya menuturkan memang Demokrat di era kepemimpinan AHY ini masih mencari bentuk. Secara umum, perkembangannya semakin baik namun memang belum sebaik pencapaian Partai Demokrat di era kepemimpinan SBY. ""Yah, pemimpinnya (AHY) masih muda. Masih panjang masa depannya. Masih bisa berbuat banyak untuk negeri ini,"" jelasnya. Terkait putusan AHY di Musda Demokrat Sulsel, Hensat menilai AHY memang terlihat semakin percaya diri dengan berbagai polemik atau gesekan yang mampu dia selesaikan atau tangani. ""Keinginan akar rumput (DPC di Sulsel) pasti sudah menjadi pertimbangan matang bagi mas AHY. Namun mas AHY mesti arif juga melihat kondisi atau keadaan akar rumput,"" jelasnya. Menurutnya, AHY idealnya tidak semata-mata hanya mendengarkan orang-orang dekatnya saja. Jangan sampai Partai Demokrat yang di berbagai survei elektabilitasnya sedang meningkat menjadi tertahan atau turun lagi. ""Lantaran keputusan-keputusan yang kemungkinan salah dan berimbas tidak baik kepada akar rumput Partai Demokrat,"" tukasnya. Diberitakan sebelumnya, AHY lebih memilih Ni'matullah (Ulla) sebagai Ketua Demokrat Sulsel meski perolehan suara Ilham Arief Sirajuddin (IAS) lebih unggul pada Musda Demokrat Desember 2021 lalu. Salah satunya alasannya karena Ulla dinilai berani pasang badan saat muncul kubu KLB Deli Serdang, Sumatera Utara (Sumut). ""Terpilihnya Ni'matullah salah satunya karena dapat mempertahankan kedaulatan partai atas rongrongan Gerakan Pengambilalihan Kepemimpinan Partai Demokrat (GPKPD),"" ungkap Kepala BPOKK DPP Partai Demokrat Herman Khaeron dalam keterangan yang diterima  , Rabu (30/3). Selain itu, posisi Ni'matullah sebagai pimpinan DPRD Sulsel dinilai punya kedudukan strategis untuk bisa melakukan konsolidasi dengan seluruh kabupaten/kota di Sulsel. Namun demikian Herman menuturkan semua calon di Musda merupakan kader terbaik partai Demokrat. Mereka punya rekam jejak dan kompetensi yang sudah teruji. ""Mereka pun sama-sama memiliki komitmen yang kuat untuk membangun Partai Demokrat ke depannya,"" jelasnya. Herman menambahkan sesuai pesan Ketum Demokrat AHY, musda merupakan ajang konsolidasi organisasi. Sehingga Ketua DPD yang baru bisa segera bergerak cepat membangun konsolidasi. ""Ketua DPD Provinsi Sulsel periode 2022-2027 sudah diputuskan. Sehingga Demokrat di Sulsel bisa segera melakukan konsolidasi, untuk persiapan verifikasi parpol dan Pemilu 2024,"" tukasnya.",Menerka Alasan AHY Pilih Ulla Meski IAS Menang di Musda Demokrat Sulsel,pemilu,https://www.detik.com/sulsel/berita/d-6009278/menerka-alasan-ahy-pilih-ulla-meski-ias-menang-di-musda-demokrat-sulsel?single=1,"Kamis, 31 Mar 2022 09:44 WIB"
,"Bahlil soal Wacana Penundaan Pemilu: Jika Dilakukan, Bagus Buat Investasi",pemilu,https://20.detik.com/detikflash/20220330-220330111/bahlil-soal-wacana-penundaan-pemilu-jika-dilakukan-bagus-buat-investasi,"890 Views  |  Rabu, 30 Mar 2022 17:23 WIB"
"Teriakan ' ' terdengar keras di acara Asosiasi Pemerintah Desa Seluruh Indonesia ( ). Direktur Eksekutif Parameter Politik Indonesia Adi Prayitno menilai ada keanehan di balik teriakan tersebut. ""Aneh dan miris melihat oknum Apdesi dukung Jokowi 3 periode. Pertama, mestinya aparat desa itu netral dan bersih dari urusan politik praktis. Bukannya fokus kembangkan desa, malah genit cawe-cawe ikut huru-hara persoalan jabatan 3 periode,"" kata Adi kepada wartawan, Rabu (30/3/2022). Adi menduga ada kekuatan yang mengkonsolidasikan hal itu. Sebab, menurutnya, para kepala desa terlihat kompak dan sistematis saat meneriakkan 'Jokowi 3 periode'. ""Sepertinya ada kekuatan besar yang mengkonsolidasikan oknum Apdesi ini karena mereka terlihat kompak, sistematis, dan berani,"" ucapnya. Adi lantas mengaku heran terhadap sikap para kepala desa dalam forum Apdesi itu. Menurutnya, kepala desa dalam ruang lingkup terkecil seharusnya menjadi contoh bagi masyarakat untuk taat konstitusi. ""Kedua, perangkat desa itu bagian aparatus negara di lingkup terkecil di desa yang disumpah di bawah kitab suci untuk taat dan patuh pada konstitusi. Usul 3 periode jelas melanggar konstitusi,"" ujarnya. Lebih lanjut, dia menilai teriakan itu justru akan merugikan Jokowi. Adi menilai tak ada jaminan Jokowi akan kembali menang jika ikut dalam Pemilu 2024. ""Ketiga, usul 3 periode bisa jerumuskan Jokowi. Tak ada jaminan Jokowi bakal menang jika maju kembali di 2024, bisa jadi lawannya banyak yang tangguh. Misalnya Prabowo, yang saat ini ada di dalam pemerintahan, atau Anies Baswedan,"" tuturnya. Untuk diketahui, ada momen berbeda saat Presiden Jokowi menghadiri acara silaturahmi Apdesi. Dalam acara tersebut, Jokowi sempat diteriaki '3 periode' oleh perangkat desa. Dilansir  , Selasa (29/3), momen diteriaki '3 periode' itu terjadi saat Jokowi hendak meninggalkan lokasi acara. Massa saat itu tengah menunggu Jokowi di luar pagar sambil dijaga oleh Paspampres. Lalu saat Jokowi keluar pintu, mereka menyapa Jokowi. Ketika itu, Jokowi langsung mendekat ke para peserta. Sejumlah peserta pun langsung berteriak ke arah Jokowi. Mereka meneriakkan Jokowi 3 periode. ""Tiga, Pak! Tiga, Pak!"" ujar seorang peserta. ""Pak Jokowi tiga periode!"" kata peserta lainnya. Presiden Jokowi buka suara soal teriakan 3 periode yang disampaikan warga saat dia berkunjung di daerah. Jokowi mengaku sering mendengar teriakan seperti itu. ""Yang namanya keinginan masyarakat, yang namanya teriakan-teriakan seperti itu kan sudah sering saya dengar,"" kata Jokowi setelah meninjau Candi Borobudur di Kabupaten Magelang, Jawa Tengah, Rabu (30/3). Hal itu disampaikan Jokowi terkait pertanyaan soal teriakan 3 periode dari warga yang terdengar dalam perjalanan dari Bandara Internasional Yogyakarta (YIA) menuju Pasar Baledono di Purworejo hingga Pasar Rakyat di Magelang. Jokowi mengaku tetap patuh pada konstitusi. Dia mengatakan konstitusi telah mengatur secara jelas pembatasan masa jabatan presiden. ""Tetapi yang jelas, konstitusi kita sudah jelas. Kita harus taat, harus patuh terhadap konstitusi, ya,"" ujar Jokowi.",Dugaan Apdesi Dikonsolidasi hingga Kompak Teriak '3 Periode' ke Jokowi,pemilu,https://news.detik.com/berita/d-6009149/dugaan-apdesi-dikonsolidasi-hingga-kompak-teriak-3-periode-ke-jokowi?single=1,"Kamis, 31 Mar 2022 07:58 WIB"
"Pengamat sosial, ekonomi, dan keagamaan Anwar abbas menilai isu   telah ditolak Presiden Jokowi. Jokowi bahkan menegaskan mematuhi konstitusi. Anwar Abbas menilai justru para tokoh politik dan menterilah yang harus berhenti bermanuver menggalang dukungan terkait isu presiden 3 periode itu. ""Jadi, berdasarkan hal demikian, diharapkan para menteri dan para tokoh politik di negeri ini untuk berhentilah melakukan manuver dan merekayasa, serta menggalang dukungan untuk Pak Jokowi agar masa jabatan beliau bisa diperpanjang atau bisa menjadi tiga periode, karena hal demikian hanya akan membuat negeri ini semakin gaduh dan rusuh,"" kata Anwar Abbas dalam keterangan tertulisnya, Jumat (1/4/2022). Anwar mengatakan isu   hanya akan membuat negara semakin gaduh. Sementara itu, persoalan utama yang sedang dihadapi bangsa adalah persoalan kesehatan atau COVID-19, harga minyak, pengangguran, kemiskinan, kriminalitas, ketidakadilan, utang negara yang semakin membengkak, dan persoalan kemandirian bangsa yang semakin tergerus baik dalam bidang ekonomi dan politik serta keamanan. ""Untuk itu, karena sikap dari Presiden kita sudah jelas, di mana kita sebagai bangsa harus taat dan patuh pada konstitusi, tolong para menteri dan para tokoh politik di negeri ini supaya jangan lagi melakukan penggalangan-penggalangan kekuatan yang bertentangan dengan semangat reformasi dan apa yang sudah ada dalam hukum dasar kita, yaitu UUD 1945,"" kata Abbas. Anwar Abbas menyarankan agar para menteri maupun tokoh politik memfokuskan diri dan kegiatannya untuk mengatasi masalah-masalah yang ada. Sebab, biasanya satu atau satu setengah tahun sebelum Pemilu 2024, para menteri dan tokoh-tokoh politik tersebut akan lebih sibuk memikirkan masalah pemilu dan pilpres. ""Akibatnya, pekerjaan yang harus dikerjakan tidak terkerjakan sehingga usaha kita untuk melindungi, mencerdaskan, dan menyejahterakan rakyat tidak tercapai. Akibatnya, bak kata orang-orang arif, duit habis tapi rumah tidak selesai,"" katanya. Anwar Abbas meminta agar para menteri membantu tugas Presiden menyelesaikan pekerjaannya. Hal itu agar Jokowi dapat menyelesaikan sisa pemerintahannya dengan baik. ""Untuk itu, kepada para menteri yang ada dalam kabinet sekarang ini, karena para menteri itu tugasnya adalah membantu presiden, kerjakanlah pekerjaan yang menjadi pekerjaannya masing-masing agar apa yang menjadi visi dari Presiden bisa terwujud sehingga beliau bisa mengakhiri periode kepemimpinannya dengan baik, anggun, dan husnulkhatimah,"" kata Anwar. ""Di mana beliau akan dikenal sebagai seorang presiden yang fenomenal, yang telah berjasa dan dicintai oleh rakyatnya, meskipun beliau nanti tidak lagi bekerja di Istana bagi mengendalikan negeri ini,"" imbuhnya. Jokowi berbicara soal teriakan 3 periode yang disampaikan warga saat dia berkunjung di daerah. Jokowi mengaku sering mendengar teriakan seperti itu. ""Yang namanya keinginan masyarakat, yang namanya teriakan-teriakan seperti itu, kan sudah sering saya dengar,"" kata Jokowi setelah meninjau Candi Borobudur di Kabupaten Magelang, Jawa Tengah, Rabu (30/3). Hal itu disampaikan Jokowi terkait pertanyaan soal teriakan 3 periode dari warga yang terdengar dalam perjalanan dari Bandara Internasional Yogyakarta (YIA) menuju Pasar Baledono di Purworejo hingga Pasar Rakyat di Magelang. Jokowi mengaku tetap patuh pada konstitusi. Dia mengatakan konstitusi telah mengatur secara jelas pembatasan masa jabatan presiden. ""Tetapi yang jelas, konstitusi kita sudah jelas. Kita harus taat, harus patuh terhadap konstitusi, ya,"" ujar Jokowi.",Anwar Abbas Minta Menteri-Politikus Setop Galang Dukungan Jokowi 3 Periode,pemilu,https://news.detik.com/berita/d-6011138/anwar-abbas-minta-menteri-politikus-setop-galang-dukungan-jokowi-3-periode?single=1,"Jumat, 01 Apr 2022 10:25 WIB"
