artikel,judul,keyword,link,tanggal
"mengetahui   mengeluarkan sebuah foto yang memperlihatkan dirinya memeluk perempuan di kolam renang. Reaksi Hotman hanya tertawa sinis. Hotman Paris mengatakan foto itu diambil dari video yang pernah dia unggah di laman media sosialnya. Itu adalah tangkapan layar dari video ketika dirinya berdansa dengan perempuan tersebut dan juga puluhan orang lainnya di salah satu beach club di Bali. ""Saya ketawa sinis (ketika melihat foto itu diperlihatkan sebagai bukti pelanggaran kode etik),"" ucap   kepada detikcom, Selasa (5/10/2021). ""Ini orang sudah kalap sampai direkayasa foto itu. Kalau sudah kalah ya kalah saja kenapa sih?"" sambungnya. Hotman Paris menegaskan, foto tersebut tidak ada kaitannya dengan kode etik advokat. Dia pun tak peduli dengan apa yang sudah diucapkan oleh  . ""Saya kasih contoh, seorang dokter kalau misalnya dia mencaplok tanah tetangga, dilaporkan ke kode etik IDI atau ke lembaga lain? Nggak ada kaitan kan?"" tuturnya. ""Nggak peduli gue, cuek aja,"" tegas Hotman Paris. Hotman Paris menceritakan kejadian yang sebenarnya dalam foto yang diambil dari video itu. Pengacara parlente dan nyentrik itu mengungkapkan sudah sangat wajar, orang-orang akan mendekat saat melihat dirinya. ""Jadi itu ramai-ramai ada puluhan orang. Kalau orang Indonesia, kalau saya masuk di kolam itu langsung dikelilingi saya, ada yang berfoto, ada yang berdansa-dansa. Namanya Hotman populer gimana dong? Itu foto rekayasa, sengaja dia buat dan aku nggak peduli, aku cuek aja,"" ungkapnya. Hotman Paris juga mengatakan tidak ada sopan santun yang dilanggar pada saat dirinya bertemu perempuan tersebut. Hotman Paris mengisyaratkan tidak ada perbuatan zina yang dia lakukan. ""Sekiranya pun benar foto, dari situ pun sudah banyak foto gue, berpelukan, kecuali di kamar tidur, lagi ngamar sama cewek. Itu bukan foto pelukan, lagi berdansa ramai-ramai di air. Kalau dansa kan kadang dekatan, pegang tangan, pegang pinggang, pada saat posisi mirip pelukan di-screenshot sama dia untuk memfitnah saya,"" tegas  .","Tawa Sinis Hotman Paris ke Hotma Sitompul: Kalau Sudah Kalah, Kalah Saja!",idi,https://hot.detik.com/celeb/d-5753254/tawa-sinis-hotman-paris-ke-hotma-sitompul-kalau-sudah-kalah-kalah-saja?single=1,"Selasa, 05 Okt 2021 09:35 WIB"
"Ribuan siswa terinfeksi   saat  . Dari seluruh jenjang, siswa SD dilaporkan paling banyak tertular COVID-19. Data dari Kemendikbudristek menunjukkan ada 1.296 klaster sekolah dan 581 di antaranya terjadi di sekolah dasar dan menyebabkan 6.908 siswa SD terkena COVID-19. Ketua Satgas Ikatan Dokter Indonesia (IDI) Prof Zubairi Djoerban mengkhawatirkan terjadinya penularan COVID-19 pada anak. Terlebih, mereka termasuk kelompok yang belum bisa mendapatkan vaksin Corona. ""Semoga kita punya mitigasi untuk ini sehingga fasilitas medis tidak dibanjiri anak-anak. Jangan buru-buru. Sabar,"" tulisnya di akun media sosialnya seperti dilihat  , Kamis (23/9/2021). Sekolah diharapkan bisa mengupayakan proteksi untuk anak-anak seiring pelaksanaan tatap muka. Fasilitas dan durasi belajar harus terus diperhatikan untuk memperkecil risiko mereka tertular COVID-19. Anak usia di bawah 12 tahun belum dikaji pemberian vaksinnya oleh ITAGI. Padahal anak juga butuh perlindungan maksimal di masa pandemi terlebih mereka sedang sekolah tatap muka. ""Ini yang dikhawatirkan. Apalagi siswa di bawah 12 tahun, yang akan menghadapi peningkatan risiko infeksi tanpa perlindungan vaksin,"" jelas Prof Zubairi.",,idi,https://health.detik.com/berita-detikhealth/d-5736189/banyak-siswa-sd-kena-corona-pakar-idi-khawatir-rs-dibanjiri-anak-anak?single=1,"Kamis, 23 Sep 2021 09:31 WIB"
Pakar Imunisasi   (Ikatan Dokter Indonesia) menilai vaksin   lebih praktis jika dialokasikan untuk vaksinasi Covid-19 di daerah terpencil. Jumlah dosis suntikan menjadi pertimbangannya.,,idi,https://health.detik.com/detiktv/d-5740039/idi-vaksin-johnson--johnson-praktis-untuk-daerah-terpencil?single=1,"Sabtu, 25 Sep 2021 20:50 WIB"
"Ketua Satgas COVID-19 Ikatan Dokter Indonesia (IDI), Prof Zubairi Djoerban, menduga   (B1617.2) menjadi 'biang kerok' lonjakan kasus Corona di  . Pada Minggu (19/9/2021), negara itu melaporkan kasus harian Corona tertinggi sejak April 2020, yakni 1.012 kasus. ""Delta mengancam rencana 'hidup dengan  ' ala Singapura,"" kata Prof Zubairi dalam cuitan Twitter pribadinya @ProfesorZubairi, Senin (20/9/2021). Prof Zubairi menjelaskan lonjakan kasus Corona di Singapura berasal dari beberapa klaster, seperti klaster pusat perbelanjaan, tempat kerja, dan stasiun. Dampak dari peningkatan kasus ini membuat rumah sakit di Singapura berisiko semakin penuh dan mengalami kewalahan. ""Pasien yang butuh oksigen meningkat. RS diklaim belum krisis. Situasinya mirip Israel,"" ujarnya. Menteri Kesehatan Singapura, Ong Ye Kung, mengatakan saat ini rumah sakit di negaranya masih mampu menampung pasien COVID-19. Terlebih hanya pasien dengan gejala sedang-berat saja yang akan dirawat di rumah sakit. ""Kapasitas ICU kita masih cukup, tapi UGD dan poli umum yang mulai berada di bawah tekanan. RS dan tenaga kesehatan tidak boleh sampai kewalahan,"" kata Menkes Ong seperti dikutip dari  , Senin (20/9/2021). ""Ini adalah tantangan terbesar Kementerian Kesehatan pada saat ini dan kita sedang berusaha sebaik mungkin,"" lanjutnya. Menurut Menkes Ong, 98 persen dari kasus Corona di Singapura adalah mereka yang bergejala ringan dan tidak bergejala. Maka dari itu, pasien dengan gejala ringan diimbau untuk melakukan isolasi mandiri, supaya kapasitas tempat tidur di rumah sakit tidak penuh dan bisa digunakan untuk pasien yang kritis.",,idi,https://health.detik.com/berita-detikhealth/d-5731237/pakar-idi-singgung-penyebab-lonjakan-kasus-corona-di-singapura?single=1,"Senin, 20 Sep 2021 09:30 WIB"
"Ikatan Dokter Indonesia (IDI) wilayah Papua melaporkan perkembangan penanganan tenaga kesehatan (nakes) yang menjadi korban penyerangan teroris kelompok kriminal bersenjata ( ) di Distrik Kiwirok, Kabupaten Pegunungan Bintang. Disebutkan, saat ini semua nakes sudah dievakuasi ke Jayapura. Sebelumnya diberitakan bahwa aksi keji dari KKB telah menewaskan salah satu perawat bernama Gabriela Meilani. Setelah membakar puskesmas di Distrik Kiwirok, para   yang melarikan diri dilecehkan dan dan ditendang ke jurang. Terkait hal ini,   Papua telah mengirim surat kepada Gubernur Papua untuk meminta jaminan keamanan dari pemerintah kabupaten, pemerintah provinsi, dan pemerintah pusat, namun hingga saat ini mereka belum mendapat tanggapan. Ketua IDI Papua, dr Donald Aronggear, SpB(K), mengatakan saat ini sebanyak 9 orang nakes yang bertugas di Distrik Kiwirok, yaitu dr Restu Pamanggi, Marselinus Ola Attanila, Manuel Abi, Martinus Deni Satya, Lukas Luji, Patra, Siti Khodijah, Katrianti Tandila, dan Christina Sampetonapa, sudah dievakuasi ke Jayapura dan semuanya tengah menjalani penanganan medis dan psikis untuk trauma yang dialami. Kemudian jenazah perawat Gabriela Meilani yang meninggal akibat penyerangan tersebut sudah diangkat dari jurang dan ditempatkan di lokasi perlindungan terdekat di Kiwirok seraya menunggu evakuasi. Pasalnya, proses evakuasi jenazah oleh helikopter TNI terkendala oleh cuaca yang kurang baik serta adanya penembakan. Selain itu, dr Donald mengatakan seluruh pelayanan kesehatan di wilayah Kiwirok, Oksibil, dan Pegunungan Bintang saat ini dihentikan seraya menunggu jaminan keamanan dari pemerintah untuk para nakes yang bertugas. ""Kami meminta pada seluruh pihak untuk memberikan privasi bagi para tenaga kesehatan yang menjadi korban penyerangan tersebut karena masih mengalami trauma,"" tegas dr Donald dalam keterangan tertulis yang diterima  , Minggu (19/9/2021). IDI Papua juga mengucapkan rasa terimakasih yang sebesar-besarnya atas bantuan dari TNI dan Polri yang telah membantu mengevakuasi dan menyediakan fasilitas untuk para korban. ""Kami berharap agar segera ada jawaban dari pemerintah provinsi dan pusat untuk penanganan masalah ini, supaya aktifitas melayani masyarakat terutama di wilayah pedalaman bisa segera dilanjutkan, dan masyarakat yang membutuhkan penanganan kesehatan segera bisa ditangani,"" tutur dr Donald.",,idi,https://health.detik.com/berita-detikhealth/d-5730643/idi-ungkap-kondisi-terkini-9-nakes-korban-penyerangan-kkb-di-papua?single=1,"Minggu, 19 Sep 2021 16:37 WIB"
"Teroris kelompok kriminal bersenjata ( ) melakukan aksi biadab usai membakar puskesmas di Distrik Kiwirok, Kabupaten Pegunungan Bintang, Papua. Para nakes wanita yang melarikan diri ditendang ke jurang lalu dilecehkan, salah satunya tewas. Ketua Umum Persatuan Perawatan Nasional Indonesia (PPNI) Harif Fadhillah ikut buka suara dan mengutuk keras aksi tersebut. Harif meminta baik pemerintah pusat dan pemerintah daerah mengedepankan sistem keamanan bagi para tenaga kesehatan, khususnya mereka yang bertugas di kawasan konflik. ""Menjamin keselamatan tenaga kesehatan baik secara fisik, maupun non fisik tidak terbatas melakukan pengkawalan di fasyankes,"" seruan PPNI dalam keterangan tertulis yang diterima   Jumat (17/9/2021). Adapun PPNI meminta para pelaku untuk segera ditindak tegas atas perlakuan kekerasan kepada para nakes, sekaligus memastikan kejadian seperti itu tak kembali terjadi. PPNI berduka cita yang mendalam atas meninggalnya seorang nakes Gabriela Meilan di DIstrik Kiwirok tersebut. ""Kepada KKB untuk menghentikan segala bentuk penyerangan dan kekerasan kepada tenaga kesehatan yang bertugas melayani kemanusiaan dimanapun tempat mereka ditugaskan termasuk daerah yang berada pada daera konflik sosial,"" lanjut  . Dalam keterangan terpisah, Pengurus Besar Ikatan Dokter Indonesia (PB IDI) juga meminta polemik tersebut segera diselesaikan, pemerintah dan aparat diminta tegas turun tangan dalam menghukum para pelaku. Sementara itu, IDI berharap para nakes saat ini diamankan terlebih dahulu. ""Meminta kepada pemerintah dan aparat keamanan untuk sementara menarik tenaga kesehatan ke tempat yang lebih aman,"" jelas Ketua Umum PB IDI dr Daeng dalam keterangan tertulis yang dilihat  .",,idi,https://health.detik.com/berita-detikhealth/d-5728899/aksi-biadab-teroris-kkb-lecehkan-nakes-wanita-hingga-tewas-ppni-idi-buka-suara?single=1,"Jumat, 17 Sep 2021 20:27 WIB"
"Ikatan Dokter Indonesia (IDI) Kabupaten Kebumen mengeluhkan tidak meratanya redistribusi peserta BPJS Kesehatan yang ada di klinik dokter tertentu. Keluhan disampaikan kepada Bupati Kebumen, Arif Sugiyanto karena hal itu membuat ketimpangan antara satu wilayah dengan wilayah lain. Hal itu disampaikan oleh jajaran pengurus IDI kepada Arif Sugiyanto di ruang transit Rumah Dinas Bupati, Selasa (5/10/2021). Ketua IDI Kebumen, dr Andika Purwita Aji MMR menyayangkan mengapa jumlah peserta BPJS di klinik dokter tidak merata. IDI melihat ada sejumlah dokter yang terlalu aktif mencari peserta BPJS. Bahkan ia menyebut ada sejumlah agen atau penyedia jasa yang ditugaskan mencari peserta BPJS sebanyak-banyaknya untuk ditempatkan di klinik dokter tertentu. ""Nah ini tentu sangat tidak etis, dan melanggar kode etik, ada dokter yang terlalu aktif cari peserta BPJS, ada juga agen-agen yang memang menyediakan jasa untuk mencari peserta BPJS. Kalau ini terus dilakukan maka akan terjadi ketimpangan,"" keluh dr Andika. Ketimpangan yang dimaksud adalah adanya klinik dokter tertentu yang sudah memiliki peserta BPJS Kesehatan terlalu banyak, bahkan melebihi kapasitas. Di sisi lain, ada klinik dokter tertentu yang justru peserta BPJS Kesehatannya sangat sedikit sehingga IDI mencurigai ada ketidakberesan. ""Ketika izin redistribusi peserta BPJS terus diberikan tanpa mempertimbangkan aspek pemerataan dan aturan yang berlaku, ini kan disayangkan. Pemerataan dokter praktik di Kebumen jadi tidak merata. Pastinya ada aturan kode etik yang dilanggar,"" terangnya. Dalam aturan dijelaskan, batas peserta BPJS Kesehatan maksimal 5.000 peserta untuk satu dokter. Di Kebumen, kata dia, ada yang melebihi batas dan ada juga yang masih sangat kurang. IDI menginginkan izin praktik dokter tidak hanya terpusat di kota-kota yang ada di Kebumen. ""Semua menginginkan izin praktiknya di kota. Karena di kota ini jumlah peserta atau pasiennya bisa lebih banyak. Tapi kan kasihan masyarakat yang di pinggir seperti di Sadang, Karangsambung, mereka mau cari dokter susah. Dengan pemerataan ini kita sebenarnya ingin lebih mendekatkan pelayanan kesehatan ke masyarakat,"" imbuhnya. Sementara itu, Arif Sugiyanto menyatakan bahwa persoalan tersebut menjadi perhatian bersama jika memang terjadi adanya kecurangan dalam pemberian izin redistribusi peserta BPJS sehingga terjadi ketimpangan. Namun, ia meminta indikasi ini harus disertakan bukti yang kuat. ""Kalau ini memang ada indikasi itu, ya tentu kita menyayangkan. Tapi memang buktinya harus kuat. Tidak hanya sekedar menerka-menerka,"" kata Arif Sugiyanto. Arif kemudian meminta IDI membuat laporan yang lebih jelas secara tertulis jika ada temuan-temuan terkait layanan kesehatan yang tidak beres. Jika bukti yang disampaikan kuat dan akurat, maka selanjutnya pemerintah akan mengambil sikap untuk penyelesaian solusi terbaik.",IDI Kebumen Keluhkan Redistribusi Peserta BPJS Kesehatan Tak Merata,idi,https://news.detik.com/berita/d-5754531/idi-kebumen-keluhkan-redistribusi-peserta-bpjs-kesehatan-tak-merata?single=1,"Selasa, 05 Okt 2021 21:51 WIB"
"Pakar epidemiologi asal Universitas Griffith, Australia, Dicky Budiman menyebut Indonesia perlu mengantisipasi potensi   yang diprediksi terjadi Desember 2021. Sebenarnya, masyarakat bisa mencegah hal ini terjadi. Dewan Pakar Satgas COVID-19 IDI Wilayah Jatim, Dr dr Agung Dwi Wahyu Widodo menyebut pencegahan ini bisa dilakukan pemerintah dengan dibantu masyarakat. Salah satu yang penting, yakni mencegah virus masuk. Terlebih saat ini, tengah ada varian baru mutasi Mu. ""Kita mulai dari sourcenya ini, sumbernya dari luar. Kalau sumbernya dari luar, karantina ini menjadi penting. Misalnya PMI yang masuk ke Indonesia kemudian WNA yang masuk harus dikarantina,"" kata Agung saat talkshow di radio, Senin (27/9/2021). Jika ada kenaikan kasus di salah satu wilayah, Agung menyarankan agar dilakukan peningkatan pembatasan mobilitas masyarakat, seperti PPKM mikro. Tak hanya itu, wilayah lain juga perlu untuk menyiapkan agar tidak terjadi lonjakan serupa. Kendati demikian, Agung menyebut yang paling penting adalah disiplin masyarakat dalam menerapkan protokol kesehatan secara ketat. Selain itu, Agung menambahkan, vaksinasi juga penting. ""Untuk mencegah gelombang ketiga ini tidak muncul, tetap patuhi prokes. Yang terpenting lagi vaksin, bukan yang utama tapi penting. Meskipun sudah vaksin tapi prokes harus tetap dilakukan. Vaksin memproteksi kita, tapi kita harus tetap memproteksi diri kita secara pribadi. Walaupun sudah divaksin, harus tetap pakai masker karena vaksin bukan pengganti masker,"" jelas Agung. ""Vaksin ini melindungi kita dari dalam, nah kalau masker melindungi kita dari proses transmisi virus. Virus apapun tidak hanya Corona,"" tambahnya. Sementara itu, KPS Magister Manajemen Bencana Sekolah Pascasarjana Unair Dr Arief Hargono menambahkan prediksi adanya gelombang ketiga masih bisa diubah. ""Tadi ada beberapa hipotesis, ada prediksi adanya gelombang ketiga. Itu prediksi, dan InsyaAllah masih bisa kita ubah,"" kata Arief. Caranya, membutuhkan peran serta seluruh elemen untuk tidak mengendorkan protokol kesehatan. ""Untuk mengubah itu butuh Peran kita semua, baik itu masyarakat kemudian program kesehatan, pemerintah, swasta, kemudian media massa, akademisi semua bekerja sama untuk penanganan  ,"" papar Arief. ""Langkah yang memang paling bisa kita lakukan ya tadi melakukan prokes secara ketat, kita mematuhi peraturan yang ada dan kita tetap waspada bahwa virus ini masih ada. Kemungkinan gelombang ketiga memang masih ada tapi bisa kita cegah dengan kerja sama,"" lanjutnya. Arief berharap masyarakat tetap tidak abai   dan melakukan euforia atas penurunan kasus yang terjadi akhir-akhir. Agar, gelombang ketiga yang diprediksi terjadi akhir 2021, tidak terjadi. ""Mudah-mudahan kita semua bisa mengambil hikmah dari pengalaman sebelumnya bagaimana virus terdeteksi pertama kali masuk ke Indonesia, bagaimana upaya kita untuk berjuang melawan pandemi ini,"" harapnya.",Bisa! Ini Cara Cegah Gelombang Ketiga COVID-19 yang Diprediksi Desember 2021,idi,https://news.detik.com/berita-jawa-timur/d-5741523/bisa-ini-cara-cegah-gelombang-ketiga-covid-19-yang-diprediksi-desember-2021?single=1,"Senin, 27 Sep 2021 10:45 WIB"
"Mata Bonny berbinar ketika sekumpulan ayam mendekatinya. Wajahnya menunjukkan kebingungan karena mendadak ayam-ayam mengerumuninya. Saya mahfum, ayam-ayam itu mengira Bonny membawa makanan. Saya pun segera mengambil sejumput beras dari wadah pakan ayam di teras dekat kandang, dan saya contohkan bagaimana menaburkan beras agar dipatuki ayam. Bonny meniru. Tangan kecilnya menjumput beras dari wadah dan menebarkan di  . Bonny kegirangan melihat perilaku ayam yang segera mematuk-matuki taburan beras. Lalu saya ajarkan Bonny untuk memberi makan ayam dari telapak tangan. ""Hiii geliiiii,"" kata Bonny. Peristiwa itu terjadi bersamaan dengan viralnya berita-berita tentang munculnya klaster baru di Sekolah Dasar sejak dibukanya Pembelajaran Tatap Muka (PTM).  Saya membaca berita-berita itu di grup Kepala Sekolah Dasar Swasta di suatu wilayah di Jakarta. Saya ada di dalam grup itu, dan melihat bagaimana teman-teman Kepala Sekolah memberi berbagai komentar. Ada yang membandingkan dengan usaha keras mereka mengikuti prosedur persiapan pembelajaran tatap muka, ada yang mengeluh karena pertemuan dengan murid tersayang berarti semakin semakin jauh. Saya sendiri melihat bahwa pewarta berita dan individu yang   berita itu pastinya tidak membayangkan binar mata Bonny dan interaksinya dengan ayam. Saat melihat Bonny dan ayam, saya teringat dengan foto Anil Prabhakar, fotografer India, yang sempat viral. Foto itu menunjukkan gambar seekor orang utan mengulurkan tangan kepada seorang pria di dalam rawa.  Seperti orang utan yang menolong manusia dari bahaya, dengan caranya yang khas, ayam-ayam mengundang Bonny untuk kembali kepada fitrahnya, ke dunia bermain anak. *** Ketika berita klaster baru karena PTM muncul, dan memperhatikan Bonny di halaman sekolah, saya tengah membaca buku  . Buku itu merupakan kumpulan tulisan kelompok pemikir kontemporer dari Inggris,  . Organisasi itu didirikan oleh Alain de Botton, penulis dan filsuf, yang bertujuan memberi tools agar orang bisa bertahan dalam kehidupan modern. Botton mengatakan bahwa manusia sibuk dengan pendidikan dan teknologi tapi tidak pada hal mendasar, yang bersifat psikologis. Begitu pula yang terjadi saat ini. Pewarta memberikan angka-angka statistik tentang kluster baru, tetapi tidak memberikan jalan keluar bagaimana agar Bonny dan teman-temannya tidak kehilangan jejak kemanusiaannya. Saya menyebut pewarta sebagai orang yang membuat berita maupun yang mengunggah dan menyebarkan berita. Para pewarta itu pastinya lebih beruntung daripada Bonny karena ketika kecil bisa bermain bebas, dan bisa pergi ke sekolah bertemu guru dan teman. Sayangnya ketika dewasa mereka melakukan tindakan, menyiarkan berita, tanpa berpikir dampaknya. Dampak apa? Kan yang disampaikan sudah benar, karena merupakan data. Bahkan ada yang menyitir pendapat IDI yang mengkhawatirkan dampak dari dibukanya sekolah terhadap kesehatan. Betul, kesehatan fisik adalah nomor satu, dan harus dijaga, bahkan diperjuangkan. Namun kalau menyampaikan unggahan tentang klaster sekolah, ada baiknya diimbangi juga dengan suara anak. Saat mengunjungi sebuah sekolah yang telah mendapat Surat Keputusan dari Dinas Pendidikan untuk diberlakukan PTM, saya melihat sikap anak-anak yang terlalu patuh aturan. Mereka berbaris untuk dipanggil saat ada yang menjemput, dan berjalan lurus. Hmmm, apakah mereka gembira? Mesti ditanya langsung ya bagaimana perasaan mereka dan apa harapan mereka. Namun apakah ada yang melakukan itu? Saya sendiri tidak, karena sebagai tamu saya tidak boleh mendekati siswa.  Seorang wakil dari Dinas Pendidikan yang ikut dalam prosesi siswa meninggalkan sekolah pun berdiri dengan tegap dan mata mengawasi pergerakan anak. Pastinya dia bekerja dengan SOP untuk mengawasi prosedur di sekolah itu. Lalu siapa yang berpihak pada anak? Apakah para ibu? Mungkin, ya. Lihat saja, dalam unggahan tentang pandemi dan anak, akan muncul ratusan bahkan ribuan komentar ibu-ibu. Seperti ayam yang diberi makan oleh Bonny, para ibu akan mengepakkan saya lebar-lebar untuk melindungi anaknya. Saya pun pernah dikeroyok ibu-ibu, ketika mengomentari unggahan seorang kenalan yang akan membuat petisi agar sekolah tidak dibuka pada awal tahun ajaran lalu, ketika Covid baru merebak. Petisi itu akan diajukan kepada Presiden. Saya bilang, kenapa tidak disampaikan saja ke sekolah tentang keberatan mengirim anak ke sekolah. Huaaa...langsung bermunculan komentar...entah isinya apa. Saya tidak membacanya karena langsung menutup notifikasi komentar dari akun itu. Ketika itu, saya merasa tidak nyaman mendapat keroyokan, namun setelah membaca buku  , saya menjadi tenang. Kata Botton, dalam pengantar di buku itu, emosi perlu diedukasi. Di dalam emosi tidak hanya ada perasaan, tetapi juga skills. Cerdas emosi itu terkait dengan keterampilan berintrospeksi, berkomunikasi, membaca suasana hati orang lain, dan kesabaran. Dengan cerdas emosi, dalam memperjuangkan hak pendidikan anak, kita akan bekerja berdasarkan suara anak. Misalnya saja, dalam pertemuan antara sekolah dan orangtua murid, seorang ibu mengatakan, ""Tiara sedih karena Bu Guru tidak melihat dia sudah membuka fitur mengangkat tangan beberapa kali.""  ""Boleh tidak kalau dibuat   saja supaya kelas tidak terlalu besar?"" Alih-alih menulis komentar di sosial media tentang data pandemi ataupun kebijakan pendidik, ibu itu melakukan tindakan yang tepat sasaran berdasarkan suara anaknya. Ya, mungkin spesies lain lebih peka terhadap suara spesies manusia. Dalam mengisi pendidikan di masa pandemi, kita mesti belajar dari orang utan, bahkan ayam yang kecerdasannya sangat rendah, untuk mendengar kebutuhan dasar manusia. Saya dan tim fokus menjaga   anak, tanpa bicara. Kami membuka perpustakaan yang memungkinkan anak datang ke sekolah, dengan aturan prokes ketat, tentu. Sudah dua semester lebih perpustakaan dibuka dan selalu ada satu dua anak datang bersama keluarga untuk meminjam buku. Mungkin meminjam buku hanya dalih agar bisa bermain dengan ayam, melihat kura-kura, atau berlarian di kebun sekolah.  Apa pun, dengan cara itu mereka tidak terkungkung di dalam rumah. Mereka berinteraksi dengan hewan, dan bertemu dengan satu dua orang di sekolah, entah itu petugas perpustakaan, penjaga, ataupun guru. Suara ceria anak-anak saat berlarian menunjukkan suara hati yang murni.",Suara Anak di Klaster Covid Sekolah,idi,https://news.detik.com/kolom/d-5741582/suara-anak-di-klaster-covid-sekolah?single=1,"Senin, 27 Sep 2021 11:30 WIB"
"Pembelajaran Tatap Muka (PTM) terbatas dinilai membutuhkan kolaborasi berbagai pihak. Pasalnya, proses belajar dengan tatap muka dinilai lebih efektif, sehingga perlu didorong pelaksanaannya di sekolah, pesantren, serta instansi pendidikan lainnya. Hal ini juga diakui oleh Ketua Rabithah Ma'ahid Islamiyah Nahdlatul Ulama (RMI NU) Abdul Ghaffar Rozin. Oleh karenanya, RMI dan seluruh elemen NU berusaha menerapkan protokol kesehatan untuk mendukung pembelajaran tatap muka secara terbatas di lingkungan pesantren. Ia menegaskan tradisi pesantren selama ratusan tahun menggelar pendidikan secara tatap muka dan berkelompok. ""Hampir seluruh kegiatan santri sejak bangun tidur dilakukan secara berkelompok,"" ujarnya dalam keterangan tertulis, Kamis (30/9/2021). Hal ini dia ungkapkan dalam Istighosah dan doa bersama, Rabu (29/9) malam, yang diselenggarakan Kementerian Komunikasi dan Informatika, Kemendikbud Ristek, KPCPEN, Pengurus Besar Ikatan Dokter Indonesia (PB IDI), dan Pengurus Besar NU. Dia pun memaparkan pandemi membuat hampir 24.000 pesantren yang dinaungi RMI NU terpaksa meninggalkan tradisi tersebut. Sebagian santri terpaksa diliburkan sehingga proses pendidikan tidak berjalan baik. Sebab, kata dia, proses pendidikan di pesantren, terutama soal akhlak dan budi pekerti, dilakukan lewat pembiasaan sehari-hari di lingkungan pesantren. Sementara itu, Sekretaris Jenderal LPI Ma'arif NU Harianto Oghie mengatakan pendidikan akhlak dan budi pekerti memerlukan proses pembelajaran tatap muka agar optimal. Proses belajar dengan interaksi langsung guru dan murid juga akan lebih meningkatkan pemahaman murid. Menurutnya, kepatuhan protokol kesehatan diterapkan di hampir 22.000 lembaga pendidikan Ma'arif, jaringan sekolah yang berafiliasi dengan NU. ""Mencegah kemudaratan diutamakan daripada mengambil manfaat,"" kata dia. Adapun Guru Besar Fakultas Kedokteran UI Prof. Soedjatmiko mengatakan penerapan protokol kesehatan di pesantren memang mempunyai peluang dan tantangan. ""Pesantren lingkungan terbatas. Jadi, perlu membatasi interaksi dengan orang di luar dan di dalam pondok,"" kata dia. Dia mengingatkan COVID-19 hanya membutuhkan waktu 10 detik untuk masuk ke saluran pernapasan lalu berkembang biak dan menginfeksi organ tubuh lebih luas. Infeksi, kata dia, bisa terjadi saat orang berkumpul dan tidak memakai masker dengan benar. Senada, Direktur Sekolah Dasar Dirjen PAUD Kemendikbud Ristek Dr. Sri Wahyuningsih mengatakan, pembelajaran tatap muka secara terbatas sudah diizinkan secara selektif. ""Hanya di zona hijau boleh tatap muka secara terbatas,"" ujarnya. Sri mengatakan sudah ada sejumlah panduan pelaksanaan pembelajaran tatap muka secara terbatas. Salah satunya adalah sekolah bisa memakai dana Bantuan Operasional Sekolah (BOS) untuk membeli peralatan yang dibutuhkan dalam penerapan protokol kesehatan. Selain itu, kata dia, orangtua juga berhak memilih metode pembelajaran bagi anaknya, apakah tetap metode jarak jauh (PJJ) atau PTM. ""Hal yang harus selalu diingat dalam pelaksanaan PTM terbatas adalah keamanan proses pembelajaran merupakan tanggung jawab semua pihak. Orangtua, masyarakat, seluruh insan pendidikan dalam lingkungan sekolah atau pesantren juga berperan dalam prosesi itu,"" pungkasnya.",NU Dukung PTM Terbatas di Pesantren dengan Prokes Ketat,idi,https://news.detik.com/berita/d-5747684/nu-dukung-ptm-terbatas-di-pesantren-dengan-prokes-ketat?single=1,"Kamis, 30 Sep 2021 22:46 WIB"
