artikel,judul,keyword,link,tanggal
"Museum yang bertemakan alat kelamin manusia seperti cuma ada satu di dunia. Sayangnya museum ini terpaksa tutup dan tak lagi buka. Itulah berita terpopuler detikTravel sepanjang Rabu (6/10/2021) kemarin. Museum Vagina ini diresmikan pertama kali pada 2017 oleh sang pendiri, Florence Schecter. Museum Vagina dibangun untuk mengungkap hal-hal tabu terkait organ intim perempuan. Dilansir dari Daily Star, museum tersebut ditutup karena pengelola gedung menolak pengajuan perpanjangan sewa museum. Bahkan pamerannya hanya digelar secara online. Masa sewa museum ini pun telah berakhir sejak 24 September lalu. Selama beroperasi, Museum Vagina mendapatkan pujian dari berbagai pihak termasuk mendapat dukungan dari bintang-bintang seperti Gillian Anderson. Bahkan, Pameran Muff Busters, Vagina Myths and How To Fight Them yang digelar pada 2019 silam telah dikunjungi 110 ribu orang. Museum Vagina ini menampilkan koleksi ilustrasi dan juga digital. Salah satunya proyek seni virtual dari seniman Austria, Kerstin Rajnar. Proyek dari Kerstin itu akan menjadi karya pertama dari museum ini yang didedikasikan untuk vagina dan vulva. Selain soal penutupan Museum Vagina berita terpopuler detikTravel kemarin juga diramaikan soal wisata murah meriah di Tangerang Selatan yakni Taman Kota 2 BSD. Berikut berita detiktravel terpopuler selengkapnya:","Museum Vagina Satu-satunya di Dunia Ditutup, Wisata Murmer di Tangsel",pameran,https://travel.detik.com/travel-news/d-5756420/museum-vagina-satu-satunya-di-dunia-ditutup-wisata-murmer-di-tangsel?single=1,"Kamis, 07 Okt 2021 09:47 WIB"
"cuma ada satu di dunia. Sayangnya museum ini terpaksa tutup dan tak lagi buka. Museum ini diresmikan pertama kali pada 2017 oleh sang pendiri, Florence Schecter.   dibangun untuk mengungkap hal-hal tabu terkait organ intim perempuan. Dilansir dari   museum tersebut ditutup karena pengelola gedung menolak pengajuan perpanjangan sewa museum. Bahkan pamerannya hanya digelar secara online. Masa sewa museum ini pun telah berakhir sejak 24 September lalu. Selama beroperasi,   mendapatkan pujian dari berbagai pihak termasuk mendapat dukungan dari bintang-bintang seperti Gillian Anderson. Bahkan, Pameran Muff Busters, Vagina Myths and How To Fight Them yang digelar pada 2019 silam telah dikunjungi 110 ribu orang.  ini menampilkan koleksi ilustrasi dan juga digital. Salah satunya proyek seni virtual dari seniman Austria, Kerstin Rajnar. Proyek dari Kerstin itu akan menjadi karya pertama dari museum ini yang didedikasikan untuk vagina dan vulva. Direktur Museum Vagina Florence Schechter mengangkat seputar mitos-mitos tentang vagina dan bagaimana cara melawannya dalam karya seninya. Dia ingin mengedukasi seputar kesalahpahaman mengenai anatomi sistem reproduksi wanita, termasuk kebersihannya, bentuknya, seputar menstruasi, seks dan kontrasepsi. Edukasi seputar sistem reproduksi wanita ini perlu dilakukan karena jika mengutip survei yang dilakukan YouGov pada Maret 2019, masih banyak orang tidak memahami mengenai hal tersebut. Dari survei itu diketahui 58% responden tidak tahu letak dan fungsi vagina, 47% tidak mengetahui apa itu labia dan 58% responden tidak paham apa itu uretra. Selain   di Inggris, ada pula museum yang memiliki koleksi spesimen alat kelamin terbanyak di dunia yakni Museum Penis yang berada di Islandia. Museum ini menampilkan lebih dari 250 koleksi alat kelamin pria. Mulai dari ukuran paling kecil yakni hamster hingga ukuran terbesar milik paus sperma. Menurut Sigurdur Hjartarson sebagai pengelola museum, ayahnya mengoleksi 13 spesimen, 9 dari binatang mamalia darat dan empat dari paus. Selama satu dekade setelah itu, koleksinya naik menjadi 34 spesimen binatang mamalia dan darat. Lalu koleksi bertambah setelah mendapat spesimen penis manusia milik donor berusia 96 tahun. Menurut data pengunjung , sebagian besar turis asing maupun lokal yang datang 60 persennya adalah perempuan.",Bye-bye! Satu-satunya Museum Vagina di Dunia Resmi Tutup,pameran,https://travel.detik.com/travel-news/d-5755617/bye-bye-satu-satunya-museum-vagina-di-dunia-resmi-tutup?single=1,"Rabu, 06 Okt 2021 18:40 WIB"
,Antusias Warga Lihat Pameran Alutsista TNI di Dekat Istana,pameran,https://20.detik.com/detikflash/20211006-211006055/antusias-warga-lihat-pameran-alutsista-tni-di-dekat-istana,"25,145 Views  |  Rabu, 06 Okt 2021 11:46 WIB"
"Kemampuan fotografi OPPO Find X3 Pro 5G dijajal oleh beberapa fotografer dan sutradara di Indonesia. Untuk PhotoFinders ada Agan Harahap, Davy Linggar, Martin Westlake dan Muhammad Fadli. Sementara dari CineFinders ada Garin Nugroho, Jay Subiyakto, dan Riri Riza. Diketahui, OPPO Find X3 Pro 5G memang memiliki fitur 1 Billion Colour Dual Primary Cameras yang bisa dimanfaatkan oleh para fotografer dan sutradara ternama sekalipun. Soal performa kamera, OPPO membekali ponsel flagship ini dengan kamera wide dan ultra-wide yang memiliki sensor IMX766 50MP. Smartphone ini juga mampu mengoptimalkan pengalaman penggunanya melalui manajemen sistem yang warna lengkap. OPPO Find X3 Pro 5G menjadi pionir dalam menghadirkan fitur kamera Microlens. Fitur kamera ini mampu memperbesar tampilan 30 kali lipat dengan optical zoom dan 60 kali lipat hybrid zoom yang menghasilkan fotografi mikroskopis hingga melampaui fotografi makro. Dengan Microlens, OPPO Find X3 Pro 5G memungkinkan pengguna untuk menjelajahi dunia mikroskopis baru dan menampilkan detail luar biasa dibandingkan ratusan zoom. Fotografer dokumenter dan PhotoFinders OPPO Indonesia, M. Fadli mengatakan sebagai seorang fotografer, momen penting tidak akan datang dua kali. Menurutnya, momen adalah sebuah perjalanan penuh warna. ""Jika kita membuka mata dan perhatikan seksama akan selalu ada hal-hal yang diapresiasi dan dikenang. Untuk mengabadikan momen ini dengan baik, dibutuhkan fokus dan presisi seperti yang dihadirkan OPPO Find X3 Pro 5G melalui Sony IMX 766 sensor, ICE 2.0 flash snapshot dengan pixel focus, dan fitur AI Color Master yang menghasilkan warna lebih kaya dan alami sehingga menjadikan setiap momen senyata aslinya setiap kali kita mengenangnya,"" ujar Fadli dalam keterangan tertulis, Rabu (6/10/2021). Sementara itu, seorang fotografer yang terkenal akan foto-foto travelingnya, Davy Linggar turut mengungkap kesannya menggunakan kamera dari smartphone flagship OPPO ini. Ia mengatakan Microlens pada OPPO Find X3 Pro 5G mampu membuat efek dramatis dari benda-benda sederhana yang sebetulnya ada di sekitar kita. ""Susun objek yang ingin diambil, tambahkan efek percikan air, gunakan cermin atau lampu. Gunakan kamera Microlens dari OPPO Find X3 Pro 5G dan lihat hasilnya. Ambil foto beberapa kali dari sudut berbeda untuk lihat hasil yang berbeda,"" imbuhnya. Menambahkan pengalaman Davy, Agan Harahap yang merupakan fotografer profesional berbagi pengalaman bereksplorasi dengan fitur kamera OPPO Find X3 Pro 5G. Pria ini dikenal banyak berpartisipasi dalam berbagai pameran, baik skala nasional maupun internasional. ""Eksplorasi merupakan rangkaian eksperimen yang menarik. Kini membuat seni bisa dihasilkan dari kamera smartphone. Gunakan Expert Mode dari OPPO Find X3 Pro 5G untuk mulai bereksperimen menangkap foto-foto. Berkreasi dan ciptakan senimu sendiri,"" tutur Agan. Tak hanya dijajal para fotografer, kemampuan kamera dari OPPO Find X3 Pro 5G juga dibuktikan oleh CineFinders yang terdiri dari Garin Nugroho, Jay Subiakto, dan Riri Riza. Ketiga sutradara ternama ini mencoba sendiri kemampuan menangkap dan menampilkan warna yang presisi pada fitur perekaman video OPPO Find X3 Pro 5G. Kecanggihan lensa Wide dan Ultra-Wide 50 megapixel OPPO Find X3 Pro 5G turut diuji dalam karya film pendek eksklusif mereka. Teknologi dan kamera inovatif yang dirancang untuk fotografi dan videografi profesional dari perangkat ini meraih gelar Smartphone of The Year dari Selular Award 2021. Terobosan ini juga didukung performa yang tak kalah canggih dari dapur pacu OPPO Find X3 Pro 5G yang menggunakan chipset Snapdragon 888. Selain itu, ponsel ini juga memiliki kapasitas baterai mencapai 4500mAh dengan kemampuan SuperVOOC 2.0 Flash Charging yang dapat mendukung segala aktivitas hiburan maupun profesional penggunanya. Dari segi layar, OPPO Find X3 Pro 5G memiliki layar OLED Billion Colour QHD + (3216 x 1440) dengan layar 6,7 inci yang mampu menampilkan gambar dengan jernih, terutama dengan dukungan fitur 1 Billion Colour. Dengan konsep human centric, OPPO Find X3 Pro 5G hadir membawa terobosan untuk memberi pengalaman baru bagi para pengguna baik dari sisi performance, display, dan entertainment. Serta mendukung aktivitas fotografi dan videografi level profesional layaknya yang telah diuji oleh para fotografer dan sutradara berpengalaman. Smartphone flagship dari OPPO yang memiliki kemampuan di atas rata-rata ini dibanderol dengan harga Rp 15.999.000. Tertarik untuk menjajal sendiri kemampuan canggih dari smartphone ini? Anda bisa cari tahu informasi lebih lanjut dari OPPO Find X3 Pro 5G melalui  .",Saat Fotografer hingga Sutradara Jajal Kamera OPPO Find X3 Pro 5G,pameran,https://inet.detik.com/consumer/d-5756174/saat-fotografer-hingga-sutradara-jajal-kamera-oppo-find-x3-pro-5g?single=1,"Rabu, 06 Okt 2021 23:15 WIB"
Ramai isu tentang kemunculan duo Avanza-Xenia generasi terbaru di akhir tahun 2021 ini. Namun dari pihak Daihatsu memastikan bahwa kedatangan MPV ini bukan di pameran otomotif GIIAS 2021 pada November mendatang.,Sabar! Daihatsu Xenia Generasi Baru Tak Akan Meluncur di GIIAS 2021,pameran,https://oto.detik.com/detiktv/d-5755176/sabar-daihatsu-xenia-generasi-baru-tak-akan-meluncur-di-giias-2021?single=1,"Rabu, 06 Okt 2021 13:53 WIB"
"Hampir 13 tahun perhelatan   (PON) Kalimantan Timur berlalu. Namun, nasib sejumlah venue yang digunakan untuk pesta olahraga tertinggi di Indonesia masih menyisakan kisah miris. Kompleks Olahraga  , Samarinda, misalnya. Kompleks olahraga yang dilengkapi sejumlah venue olahraga mulai dari stadion utama, gedung olahraga bulutangkis, lapangan tenis, stadion akuatik, bisbol, panjat tebing, hingga sirkuit sepatu roda ini kini kian minim aktivitas. Padahal sebelumnya kompleks olahraga tersebut pernah menjadi kebanggaan masyarakat  , khususnya Samarinda karena kemegahannya yang nyaris menyaingi Stadion Utama Gelora Bung Karno di Jakarta. Bagaimanapun Kompleks Stadion Palaran ini menjadi sejarah bagi perkembangan olahraga nasional pada masanya. Saat itu, stadion yang dibangun dengan anggaran Rp 3 triliun itu untuk kali pertama digelarnya multicabang olahraga di luar Pulau Jawa. Tapi setelah PON 2008, sayangnya venue itu minim pemanfaatan. Sejumlah fasilitas bahkan disebut-sebut terbengkalai lantaran nyaris tidak adanya kegiatan-kegiatan olahraga nasional maupun internasional yang sebelumnya sempat diharapkan ketika kompleks olahraga itu dibangun. Kepala Dinas Pemuda dan Olahraga provinsi Kalimantan Timur, Agus Tianur, tak setuju jika Stadion Palaran disebut terbengkalai sekalipun secara fungsional kurang maksimal. Sebab, venue-venue itu sebenarnya masih digunakan pelajar-pelajar Sekolah Keolahragaan (SKO). ""Pemerintah provinsi membangun sekolah khusus olahraga enam tujuh tahun lalu jadi mereka lah yang memanfaatkan itu,"" kata Agus saat dikonfirmasi detikSport, Rabu (6/10/2021). Memang, sebut Agus, sepintas tampak dari luar kompleks   terlihat sepi. Tapi itu karena lokasinya yang terlalu jauh dari pemukiman penduduk sehingga untuk kepentingan aktivitas olahraga seperti stadion-stadion pada umumnya tidak menjadi pilihan masyarakat. Belum lagi ditambah pandemi COVID-19 yang membuat kegiatan olahraga kian terbatas. ""Tanpa adanya aktivitas secara otomatis perawatan yang kami lakukan juga tidak maksimal. Bagaimanapun pembiayaan menjadi kendala kami yang paling berat. Tapi toh kalau diperbaiki secara maksimal supaya fungsional, tidak ada korelasi juga sebab lokasinya yang jauh. Serba salah juga. Jika kami maksimal merawat lalu siapa juga yang akan menggunakan?"" tuturnya. ""Kendala kedua, lomba-lomba event nasional internasional tak (digelar) di sini. Beda jika pemerintah pusat mau melakukan kegiatan olahraga internasional ya kami terbuka. Seperti Asian Games di Palembang misalnya. Kalau sifatnya kejuaraan daerah ya kita (masyarakat) masih punya pilihan di kota. Orang pasti memilih (stadion) di kota ketimbang Palaran, walau di sini tempatnya besar, tapi enggak ada yang nonton karena (lokasi) yang jauh."" ""Sebenarnya menyayangkan juga. Semestinya pemerintah pusat juga melirik tempat ini untuk dijadikan tempat alternative kejuaraan-kejuaraan multievent internasional di Indonesia. Tapi ini kan bukan masalah di Kaltim saja, provinsi lain yang kebagian tuan rumah (PON) juga pernah mengalami yang sama."" Sehubungan dengan perawatan, Agus mengatakan sejauh ini anggaran Dispora masih dapat menanggung, karena biaya itu tidak hanya untuk Stadion Palaran saja tapi venue-venue olahraga lainnya. Dibandingkan Kompleks Olahraga  , stadion Sempaja disebut jauh lebih baik dan terawat. Hal ini tak lepas dari terlibatnya masyarakat sekitar dalam pemanfaatan gedung olahraga tersebut. ""Di sana lebih terawat dan berfungsi dengan baik. Penggunaan masyarakat umum terhadap kompleks olahraga itu hampir hari-hari seperti di Senayan,"" kata Agus. ""Bahkan, sebelum pandemi ada saja konser musik, pameran-pameran, atau kegiatan lomba. Lalu akhir pekan wisata belanja dengan UMKM di Sempaja,"" ujarnya. Kalimantan Timur ke depannya bakal menjadi Ibu Kota Indonesia. Agus berharap pemindahan tersebut bakal ikut memengaruhi kondisi kompleks-kompleks olahraga di daerahnya. ""Optimisme saya komplek stadion utama akan bermanfaat ke depannya. Apalagi pemerintah pusat pusat bakal menjadikan stadion ini sebagai ikon IKN (Ibu Kota Negara) karena jaraknya tak jauh keluar pintu tol. Dengan begitu, harapannya stadion di Kaltim dapat hidup lagi dan fungsional,"" harap Agus.","Pernah Jadi Kebanggaan, Begini Nasib Stadion Palaran Eks PON Kaltim",pameran,https://sport.detik.com/sport-lain/d-5755653/pernah-jadi-kebanggaan-begini-nasib-stadion-palaran-eks-pon-kaltim?single=1,"Rabu, 06 Okt 2021 19:00 WIB"
"Gaikindo Indonesia International Auto Show (GIIAS) 2021 terus mundur lantaran imbas pandemi Covid-19. Pameran otomotif berskala internasional ini dijadwalkan mentas pada 11 - 21 November 2021, apakah masih sesuai rencana? Ketua I Gaikindo Jongkie Sugiarto mengatakan bahwa pihaknya masih melihat perkembangan situasi nasional, utamanya terkait kondisi pandemi COVID-19. ""Kami menunggu izin-izin yang diperlukan, mudah-mudahan sikon (situasi dan kondisi) nya memungkinkan untuk penyelenggaraan GIIAS 2021,"" kata Jongkie saat dihubungi detikcom, Selasa (5/10/2021). Pelaksanaan GIIAS pada 11-21 November 2021 direncanakan akan berlangsung secara offline di Indonesia Convention Exhibition (ICE)-BSD City, Kabupaten Tangerang. Perhelatan ini bakal dilandaskan penerapan protokol kesehatan berbasis pada Cleanliness (Kebersihan), Health (Kesehatan), Safety (Keamanan), dan Environment Sustainability (Kelestarian Lingkungan). Pelaksanaan GIIAS sempat ditunda beberapa kali, pada awal Juli lalu, sejalan dengan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) dari Pemerintah Republik Indonesia, Gaikindo memutuskan, untuk menunda penyelenggaraan GIIAS menjadi tanggal 9-19 September 2021. Namun, dengan adanya keputusan memperpanjang masa PPKM di Indonesia hingga 25 Juli 2021, Gaikindo sekali lagi mengambil keputusan untuk kembali menyesuaikan jadwal pelaksanaan GIIAS 2021 menjadi 11-21 November 2021. ""Kami yakin kehadiran GIIAS pada November nanti tidak akan mengurangi intisari perkembangan teknologi dari industri otomotif yang ditampilkan peserta untuk masyarakat Indonesia,"" ujar Rizwan Alamsjah, Ketua III sekaligus Ketua Penyelenggara Pameran Gaikindo beberapa waktu yang lalu. Ia juga menekankan bahwa tidak ada yang berubah pada persiapan pelaksanan GIIAS pada September nanti, ""GIIAS 2021 akan tetap menjalankan protap kesehatan yang ketat dan mendetail, menuju penyelenggaraannya di September nanti hal ini terus Kami koordinasikan dengan instansi-instansi terkait,"" jelas Rizwan. Di sisi lain GIIAS juga menjadi salah satu tempat kelahiran mobil-mobil anyar yang ditawarkan untuk pasar Indonesia. Kira-kira apakah GIIAS bakal berlangsung sesuai rencana, dan bisa melihat beragam teknologi baru di sini?",GIIAS 2021 Jadi Digelar November? Gaikindo: Masih Lihat Sikon,pameran,https://oto.detik.com/event/d-5754345/giias-2021-jadi-digelar-november-gaikindo-masih-lihat-sikon?single=1,"Selasa, 05 Okt 2021 20:11 WIB"
"Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Republik Indonesia,   hadir dalam acara Apresiasi Kreasi Indonesia (AKI) di Kota  . Ia memberikan motivasi dan mendatangi semua tenant UMKM agar penjualan meningkat. AKI Kota  -Banyumas digelar di Balai Pertemuan Pusat Rekreasi dan Pameran Pembangunan (PRPP), Semarang. Ada sekitar 60 tenant yang menampilkan berbagai UMKM menarik dan unik mulai dari pakaian, makanan, hingga selain bunga mawar. Satu persatu tenant didatangi Sandiaga dan para pengusaha meminta foto bersama. Ternyata   memang sengaja mengunjungi semua tenant dan berfoto dengan harapan bisa mendongkrak penjualan mereka. ""Kalau satu dikunjungi saya kunjungi semua. Saya puterin semua supaya adil supaya semua dapat kesempatan foto-foto. Karena diriset siapa yang foto berhasil meningkatkan penjualan 35 persen,"" kata Sandiaga mengawali motivasinya di acara tersebut, Rabu (6/10/2021). Ia kemudian melanjutkan tips-tips usaha salah satunya memperhatikan soal marketing. Berfoto dengan tokoh atau pejabat juga menjadi salah satu marketing yang bagus. ""It's about marketing. Tadi saya salut yang sudah siap dengan foto. Itu kunci pertama dalam marketing,"" imbuhnya. Sandiaga juga menuturkan tiga tipsnya yaitu marketing dengan persiapan, investasi, dan pertemanan. Maka   berpesan kepada pelaku usaha agar memaksimalkan jaringan mereka dengan manfaatkan acara yang digelar di sejumlah daerah di Indonesia itu. ""Ini aset, network, pertemanan. Ini silaturahmi. Dan silaturahim punya mukzizat panjang umur dan rezeki,"" ujarnya. Dalam acara tersebut   juga menyerahkan Bantuan Insentif Pemerintah (BIP) kepada sejumlah pelaku UMKM. Usai acara,   menyebutkan pihaknya memberikan dukungan agar pelaku UMKM dan industri kreatif bisa bangkit lagi yang selama 2 tahun terakhir didera pandemi COVID-19. Pemerintah lewat Bantuan Insentif Pemerintah (BIP) Jaring Pengaman Usaha (JPU), meyakini akan membuat peluang usaha dan lapangan kerja terbuka di masa pandemi covid-19. Dalam kegiatan tersebut, dirinya turut menyerahkan BIP kepada para sejumlah pelaku usaha mikro kecil dan menengah (UMKM) yang bangkit di tengah pandemi covid-19. Tahun ini total BIP Jaring Pengaman Usaha yang dikucurkan pemerintah mencapai Rp 8 miliar untuk total 800 UMKM di seluruh Indonesia. ""Hari ini kita mendapat inspirasi dari kisah-kisah yang membangun satu optimisme, bahwa jika kita berusaha, kita bisa untuk mengembangkan usaha kita,"" ungkap Sandiaga Uno. ""Krisis pandemi memang merupakan tantangan, tapi kita diberikan kemampuan oleh Tuhan yang Maha Kuasa untuk mensolusikannya dengan berbagai kreasi yang bisa membuat kita bangkit dan membuka peluang kerja, menjadi saluran berkat bagi banyak masyarakat luas,"" jelasnya. Lewat Apresiasi Kreasi Indonesia dengan total sebanyak 60 UMKM di berbagai sektor, dirinya meyakini ekonomi nasional akan berangsur pulih seiring dengan melandai dan semakin terkendalinya covid-19. ""Insya Allah ekonomi akan pulih, dan kita akan membuka peluang usaha agar lapangan kerja kembali bagi masyarakat, khususnya Jawa Tengah,"" jelasnya. Tak hanya itu, peluang usaha dan lapangan kerja diungkapkan Sandiaga Uno akan semakin terbuka lewatprogram Bangga Buatan Indonesia. Lewat gerakan nasional itu, para UMKM diharapkan mampu meningkatkan kualitas sekaligus daya saing produk melalui program digitalisasi. Sehingga akan meningkatkan omset yang berujung kepada pengembangan usaha. ""Alhamdulillah program ini sudah kita Luncurkan, tinggal diserap oleh para UMKM. Harapan kita di akhir 2023 ada sebanyak 30 juta UMKM di seluruh Indonesia akan on boarding ke dalam program gerakan nasional Bangga Buatan Indonesia,"" jelas Sandiaga Uno. ""Ini sebuah gerakan mencintai produk karya anak bangsa yang akan membuka lapangan kerja seluas-luasnya,"" tutupya bersemangat.",Foto Bersama Sandiaga Uno Jadi Cara Naikkan Penjualan UMKM,pameran,https://travel.detik.com/travel-news/d-5755832/foto-bersama-sandiaga-uno-jadi-cara-naikkan-penjualan-umkm?single=1,"Rabu, 06 Okt 2021 19:40 WIB"
"Wakil Presiden   melakukan kunjungan kerja ke  . Ma'ruf meninjau  , meninjau stand pameran dan memimpin Rapat Koordinasi (Rakor) penanggulangan kemiskinan ekstrem. Rombongan Wapres dan menteri tiba di lokasi acara yaitu Gedung Gradhika Bakti Praja sekitar pikul 08.50 WIB. Peninjauan diawali dengan melihat proses vaksinasi di gedung tersebut. Di lokasi vaksinasi, Ma'ruf menyapa sejumlah warga dan menanyakan kabar serta perihal  . Ia didampingi juga Gubernur Jawa Tengah   dan wakilnya Taj Yasin Maimoen. ""Ini sudah vaksin ke berapa?"" tanya Ma'ruf keadaan salah satu warga, Kamis (7/10/2021). ""Sudah yang kedua bapak, terimakasih,"" jawab seorang ibu yang ditanya Ma'ruf. Dalam tinjauannya itu Kepala Dinas Kesehatan Jateng, Yulianto Prabowo menjelaskan soal alur vaksinasi di Gedung Gradhika Bhakti Praja mulai dari screening hingga pasca penyuntikan. Usai mengunjungi sentra vaksin, Wapres menuju lantai dua untuk memimpin rakor penanggulangan   ekstrem. Direncanakan hadir 5 kepala daerah yaitu dari Kabupaten Banyumas, Kabupaten Banjarnegara, Kabupaten Pemalang, Kabupaten Kebumen, dan Kabupaten Brebes. Turut mendampingi Wapres dalam kunjungan kerja kali ini Menko Bidang Perekonomian Airlangga Hartarto; Mendagri Tito Karnavian; Menteri Desa dan Pembangunan Daerah Tertinggal, dan Transmigrasi Abdul Halim Iskandar; Menkop dan UKM Teten Masduki. Nampak juga Kepala Sekretariat Wapres Mohamad Oemar; Deputi Bidang Dukungan Kebijakan Ekonomi dan Peningkatan Daya Saing Ahmad Erani Yustika; Deputi Bidang Dukungan Kebijakan Pembangunan Manusia dan Pemerataan Pembangunan Suprayoga Hadi; Staf Khusus Wapres Masduki Baidlowi dan Bambang Widianto; serta anggota tim ahli Wapres Farhat Brachma.","Wapres Kunker di Semarang Bersama 4 Menteri, Apa Saja Agendanya?",pameran,https://news.detik.com/berita-jawa-tengah/d-5756427/wapres-kunker-di-semarang-bersama-4-menteri-apa-saja-agendanya?single=1,"Kamis, 07 Okt 2021 09:49 WIB"
"Ramai isu tentang kemunculan duo Avanza-Xenia generasi terbaru di akhir tahun 2021 ini. Namun dari pihak Daihatsu memastikan bahwa kedatangan MPV sejuta umat ini bukan di pameran otomotif GIIAS 2021 yang rencananya digelar pada November 2021 ini. Marketing Director dan Corporate Planning & Communication Director Astra Daihatsu Motor, Amelia Tjandra mengatakan bahwa dirinya masih belum bisa memberikan tanggapan tentang kehadiran Daihatsu Xenia generasi terbaru ini. ""Saya sangat kagum dengan kreativitas teman-teman membuat gambar-gambar yang luar biasa. Saya sampaikan apresiasi kekaguman saya. Luar biasa. Tapi kapan akan di-launching produk sebenarnya? Pada waktunya akan saya kasih tahu,"" papar Amelia kepada para awak media usai sesi Test Drive Daihatsu Rocky 1.2L di Test Course R&D Center (Research and Development) PT Astra Daihatsu Motor (ADM), Karawang, Jawa Barat pada Selasa (5/10/21). Amel enggan menjawab perihal tanda kedatangan Daihatsu Xenia generasi terbaru yang kabarnya akan terjadi dalam waktu dekat. Pasalnya, ketika ditanya mengenai kejutan apa yang akan Daihatsu bawa di ajang GIIAS 2021, Amelia mengatakan Daihatsu hanya akan membawa produk yang standar. ""Aduh kalau produk sih standar-standar aja,"" ujar Amelia irit. Bagi Daihatsu justru kejutannya adalah dari keikutsertaan Daihatsu di ajang GIIAS 2021 ini. ""Kejutannya, kami bersyukur bisa ikut. Tadinya kan, tanda tanya yah, jadi apa enggak ini? Kejutan lah, (GIIAS) bisa ada lagi,"" papar Amelia. Rumor kedatangan duo Avanza-Xenia generasi terbaru ini panas berkat kemunculan kode NJKB (Nilai Jual Kendaraan Bermotor) mobil baru merek Toyota dan Daihatsu. Seperti tertuang di dokumen Peraturan Menteri Dalam Negeri (Permendagri) No. 40 Tahun 2021 tentang Penghitungan Dasar Pengenaan Pajak Kendaraan Bermotor dan Bea Balik Nama Kendaraan Bermotor Tahun 2021, ada beberapa kode yang diduga kode baru dari Avanza dan Xenia. Dalam lampiran tersebut, Daihatsu mendaftarkan kode W100RG untuk tipe mesin 1.300 cc, dan W101RG untuk kapasitas 1.500 cc. Pun demikian dengan Toyota, ada kode baru W100RE (mesin 1.300 cc), dan W101RE (mesin 1.500 cc). Kedua kode produk baru tersebut tersedia opsi transmisi manual dan CVT. Bahkan tercantum teknologi keselamatan terbaru ASA (Advanced Safety Assist) dan TSS (Toyota Safety Sense) untuk model tertinggi. Kedua fitur itu, sebelumnya sudah ada di Daihatsu Rocky dan Toyota Raize tipe tertinggi. Senada dengan Daihatsu, Toyota pun enggan berkomentar akan rumor kedatangan Avanza-Xenia generasi terbaru ini. Direktur Pemasaran PT Toyota Astra Motor (TAM) Anton Jimmi Suwandy belum mau berkomentar lebih lanjut soal kode mobil baru tersebut. ""Saya belum bisa komen mas untuk product baru,"" singkat Anton, dikonfirmasi detikOto. Meskipun pihak APM (Agen Pemegang Merek) Daihatsu dan Toyota enggan berkomentar, angin segar datang dari pihak dealer. Salah seorang wiraniaga dealer Toyota, yang ditemui detikOto beberapa waktu lalu, mengungkapkan bulan peluncuran dan estimasi kenaikan harga Avanza baru. ""Avanza nanti mau naik kelas. Dia nanti harganya bakal naik Rp 30 juta. Nanti bulan 10 (Oktober) infonya berubah bentuk. Kan kalau kemarin tahun 2019 facelift. Kalau sekarang, model baru,"" kata wiraniaga dealer Toyota, yang enggan disebut namanya itu.",Jangan Ngarep! Daihatsu Xenia Generasi Baru Nggak Dirilis di GIIAS 2021,pameran,https://oto.detik.com/mobil/d-5753807/jangan-ngarep-daihatsu-xenia-generasi-baru-nggak-dirilis-di-giias-2021?single=1,"Selasa, 05 Okt 2021 14:44 WIB"
