artikel,judul,keyword,link,tanggal
"Menteri Ketenagakerjaan, Ida Fauziyah mengatakan Undang-Undang Nomor 11 Tahun 2020 tentang Cipta Kerja hadir untuk memberikan kepastian perlindungan kepada para pekerja. Tak cuma itu, menurutnya UU ini juga hadir untuk memberikan kesempatan kepada para pencari kerja. ""Jadi kehadiran undang-undang ini sangat penting. Kita harus ingat ada sekelompok angkatan kerja yang tidak punya asosiasi pengangguran,"" kata Ida dalam keterangan tertulis, Rabu (6/10/2021). Dalam Rapat Kerja Nasional (Rakernas) Serikat Pekerja PT BNI di Bogor, Jawa Barat, Ida menjelaskan bahwa setiap tahunnya dibutuhkan lapangan kerja untuk 2,9 juta orang. Selain itu, jumlah ini juga ditambah pengangguran yang mencapai 8,7 juta orang, dari sebelumnya sebanyak 5 juta. Menurutnya, penambahan angka pengangguran ini merupakan imbas dari COVID-19. ""Oleh karena itu, undang-undang ini diharapkan memberikan kesempatan kepada angkatan kerja baru untuk bisa masuk ke dalam dunia kerja,"" ujarnya. Ida menilai kesempatan untuk angkatan kerja baru dapat dilakukan dengan membangun hubungan industrial yang kondusif. Sehingga, memungkinkan terjadinya investasi baru yang masuk ke Indonesia. ""Lapangan pekerjaan baru terjadi jika terjadi hubungan industrial yang harmonis,"" ucapnya. Ia pun menyampaikan terima kasih kepada seluruh serikat pekerja/serikat buruh, khususnya serikat pekerja BNI atas kontribusi yang positif dalam membangun hubungan industrial yang kondusif. Hal ini ditunjukkan dengan dukungan dari serikat pekerja/serikat buruh atas beberapa kebijakan Pemerintah. ""Saya menyampaikan terima kasih. Saya juga meminta kepada teman-teman Serikat Pekerja agar terus menjaga hubungan industrial yang harmonis,"" harapnya. ""Dalam dinamika ketenagakerjaan, hubungan industrial sangat dinamis. Sekarang yang perlu kita dorong adalah bagaimana dialog sosial itu terjadi, dan dialog sosial yang paling efektif itu apabila dilakukan secara Bipartit,"" sambung Ida. Ida meyakini jika pola hubungan industri yang kondusif terjadi dalam seluruh dunia industri, maka kesempatan bagi pencari kerja dalam mendapatkan pekerjaan akan menjadi terbuka.",Menaker: Lapangan Kerja Baru Terjadi Jika Hubungan Industrial Harmonis,serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5755963/menaker-lapangan-kerja-baru-terjadi-jika-hubungan-industrial-harmonis?single=1,"Rabu, 06 Okt 2021 20:03 WIB"
"Berawal dari Turki, Restoran  kini mendunia. Namun di balik kesuksesannya, ada sejumlah kontroversi yang mengiringi berkembangnya restoran steak tersebut. Nusret Gokce atau yang lebih dikenal dengan nama Salt Bae memiliki popularitas yang berasal dari gaya menabur garamnya yang khas. Chef asal Turki ini dikenal dengan hidangan olahan daging, khususnya steak, yang istimewa. Selain menjadi seorang chef, dirinya juga memiliki bisnis kuliner berupa restoran steak yang tersebar di banyak negara di seluruh dunia. Restoran steaknya yang fenomenal ini dikenal dengan steak 'Sultan'. Penyajiannya begitu mewah, lengkap dengan lembaran emas yang dapat dimakan. Sayangnya, selain kesuksesan dan popularitasnya yang meningkat, beberapa sensasi dan rumor-rumor juga ikut berkembang terkait restoran steak milik Salt Bae. Mulai dari kisah awal karirnya hingga gugatan atas pelanggaran hak cipta pada sebuah karya di restorannya pernah dialami restoran steak 'sultan' tersebut. Perjalanan Salt Bae menjadi seorang chef terkenal dengan banyak cabang restoran ternyata tidak semulus yang bisa terlihat. Sebelum menjadi seorang selebriti chef yang terkenal dengan gaya khasnya menabur garam, Salt Bae pernah melewati masa magang selama 13 tahun lamanya di sebuah toko daging. Hanya mengenyam pendidikan sekolah dasar, Salt Bae telah bekerja sejak umur 13 tahun di sebuah toko daging di kawasan Darica. Belasan tahun bekerja di toko daging sejak dirinya masih sangat muda, Salt Bae menjadi belajar banyak mengenai seluk beluk industri daging. Dengan pengetahuan yang banyak bertambah, Salt Bae akhirnya memberanikan diri untuk hijrah ke Argentina untuk memulai karirnya sebagai chef dewasa yang profesional. Hingga akhirnya setelah sukses dirinya kembali ke Turki dan membuka restoran pertamanya di Istinye Park Shopping Mall, Istanbul, Turki pada tahun 2010. Pada salah satu kesempatan, seorang mahasiswi asal Indonesia yang tengah plesiran ke Turki mengunjungi restoran Salt Bae. Sheila, mahasiswi asal Indonesia, memesan menu steak berlapis emas yang menjadi andalan yang disajikan di Steakhouse milik Salt Bae ini. Namun ia justru membagikan pengalaman yang tidak menyenangkan saat dirinya mengunjungi restoran steak ternama tersebut. Pengalamannya dibagikan langsung melalui unggahan video pada media sosial TikTok pribadinya. Seorang pelayan dikatakan melayangkan pertanyaan tak sopan dengan kepada Sheila. Mengetahui bahwa Sheila merupakan seorang mahasiswi, pegawai di restoran Salt Bae menanyakan bagaimana bisa dirinya mampu untuk makan di tempat mahal seperti restoran steak tersebut? Begini kisahnya. Di balik kesuksesannya menyajikan makanan mewah, ternyata Salt Bae pernah dilaporkan karena tidak membayar upah lembur para pegawainya. Dilaporkan oleh CNBC, lima pria mantan pegawai di restoran   di Manhattan, Amerika Serikat menuntut haknya terkait upah lembur yang tidak dibayarkan hingga mereka berhenti dari pekerjaannya. Gugatan tersebut langsung dilayangkan ke pengadilan federal Manhattan. Laporan tersebut berisikan gugatan atas upah lembur para pegawai yang telah bekerja selama tujuh puluh jam dalam seminggu dan belum menerima haknya sedikit pun. Ternyata ini bukan kali pertama restoran Salt Bae dilaporkan atas upahnya terhadap karyawannya. Pengacara tenaga kerja, Louis Pechman, sebelumnya pernah membantu memenangkan gugatan senilai Rp3,3 miliar untuk mantan pekerja yang dipecat dari restoran Salt Bae. Alasan pemecatan tersebut diketahui hanya karena para mantan pegawai menanyakan uang tip yang merupakan hak mereka. Bukan hanya mampu menyajikan makanan yang enak, restoran steak milik Salt Bae ini juga menyajikan sensasi makan steak di tempat yang nyaman dan artistik. Namun sangat disayangkan karya seni yang terpampang di salah satu restorannya pernah digugat oleh pemilik karya yang asli dengan tuduhan pelanggaran hak cipta. William Hicks yang pernah menjadi salah satu perancang karya seni di restoran steak Salt Bae melaporkan tuduhan pelanggaran hak cipta dengan gugatan sebesar Rp73 miliar. Gugatan tersebut dilayangkan atas penggunaan karya seninya tanpa izin pada media-media lain selain yang telah disepakati bersama. Misalnya pada tas belanja, buku menu, hingga tanda-tanda di restoran Salt Bae di beberapa negara. Pada bulan September 2017 lalu Hicks dihubungi hanya untuk membuat sebuah gambar diri Salt Bae yang tengah menabur garam untuk restoran di New York, Dubai dan Istanbul saja. Namun Hicks melaporkan adanya penyalinan karya secara ilegal yang dilakukan oleh pihak restoran Salt Bae. Belum lama ini, Salt Bae baru saja membuka salah satu cabang restoran steaknya di kawasan London, Inggris. Cabang ke-15 dari jaringan Nusr-Et Steakhouse ini mendapat sorotan karena pengalaman yang diberikan dan harga makanan yang dibanderol. Sesaat setelah restoran steak tersebut dibuka, banyak sekali masyarakat Inggris yang berbondong-bondong penasaran dengan kelezatan daging yang diberi taburan garam dengan cara yang unik tersebut. Namun bukan kepuasan yang didapatkan, justru keluhan banyak dilemparkan oleh masyarakat Inggris. Setelah dibandingkan dengan restoran steak milik   di Turki, masyarakat Inggris mengeluhkan perbandingan harga yang sangat jauh berbeda. Harga yang terlampau mahal bahkan untuk sebuah beefsteak berlapis emas di London dibanderol hingga Rp13,6 juta. Perbandingan harga yang terlampau sangat jauh tersebut menjadi ramai diperbincangkan saat seorang netizen mengunggah tagihan setelah makan di resto milik Salt Bae.",,serikat pekerja,https://food.detik.com/info-kuliner/d-5753486/5-kontroversi-restoran-salt-bae-terkait-hak-cipta-hingga-upah-lembur-pegawai?single=1,"Selasa, 05 Okt 2021 15:00 WIB"
"Ketua Umum Konfederasi Serikat Pekerja Seluruh Indonesia (KSPSI), Yorrys Raweyai, memberikan keterangan sebagai saksi dalam Uji Materi UU Cipta Kerja yang digelar di Mahkamah Konstitusi (MK) secara virtual, Rabu (6/10). Yorrys adalah salah satu saksi yang diajukan oleh pemerintah. Ketua Komite II DPD RI ini mengatakan bahwa sejak awal, dirinya terlibat secara intens, baik sebagai unsur serikat pekerja maupun sebagai bagian dari kelembagaan legislatif di DPD RI. Yorrys menegaskan bahwa keterlibatan KSPSI merupakan bentuk keterlibatan publik dalam mengawal kebijakan dan rancangan perundang-undangan yang terkait secara langsung dengan dunia ketenagakerjaan, khusus bagi masa depan pekerja. ""Sejak awal 2020, tepatnya 11 Februari 2020, Pemerintah telah melibatkan seluruh unsur serikat pekerja dalam melakukan sosialisasi tentang perubahan UU 13 Tahun 2003 tentang Ketenagakerjaan serta UU Omnibus Law Cluster Ketenagakerjaan. Meski diakui bahwa di tengah proses keterlibatan tersebut, beberapa unsur serikat pekerja menarik diri, namun hal itu merupakan bagian dari dinamika berdemokrasi,"" ujar Yorrys dalam keterangan tertulis, Rabu (6/10/2021). Lebih lanjut, beberapa pembahasan terkait Perjanjian Kerja Waktu Tertentu (PKWT), Alih Daya (Outsourcing) waktu kerja dan waktu Istirahat, pengupahan, pemutusan hubungan kerja dan pesangon, penghargaan lainnya, serta jaminan kehilangan pekerjaan dan sanksi ketenagakerjaan dilakukan penuh dinamika, hingga pada akhir proses pembahasan yang melibatkan unsur pemerintah, serikat pekerja dan pemerintah (tripartit) selesai dan diakhiri dengan penyelenggaraan roadshow ke berbagai lembaga negara, seperti DPR, MPR dan DPD, serta ke Menkopolhukan dan Menkoperekonomian. Di akhir penyampaiannya, Anggota DPD RI Dapil Papua ini menegaskan bahwa Konfederasi Serikat Pekerja Seluruh Indonesia yang ia pimpin memandang pentingnya kehadiran pekerja/buruh untuk bersama-sama dengan pengusaha dan pemerintah memberikan warna dan nuansa sosial dialog yang kuat dan berkualitas dalam mengawal proses pembahasan RUU Cipta Kerja terutama pada Klaster Ketenagakerjaan. Selain itu, menurutnya pro dan kontra dalam RUU Cipta Kerja tidak hanya terjadi pada kluster ketenagakerjaan, untuk itu pengajuan uji materi UU Cipta Kerja merupakan sarana yang tepat bagi segenap elemen masyarakat yang merasa hak konstitusionalnya dirugikan atas berlakunya UU tersebut, tentunya yang diharapkan setelah putusan nanti adalah semua pihak dapat menerima dengan lapang dada apapun hasilnya dan bersama-sama menatap ke depan untuk membangun hubungan industrial yang lebih berkeadilan. Adapun pihak pemohon dalam Perkara Nomor: 103/PUU-XVIII/2020 ini adalah Elly Rositas Silaban dan Dedi Hardianto. Sidang ini dipimpin langsung oleh Ketua Mahkamah Konstitusi Republik Indonesia, Dr. Anwar Usman, S.H., M.H.","Jadi Saksi Uji Materi UU Ciptaker di MK, Yorrys Raweyai Sampaikan Hal Ini",serikat pekerja,https://news.detik.com/berita/d-5755944/jadi-saksi-uji-materi-uu-ciptakerdi-mkyorrys-raweyaisampaikan-hal-ini?single=1,"Rabu, 06 Okt 2021 19:50 WIB"
"Bos Tesla,   terancam membayar denda US$ 9,4 miliar atau setara dengan Rp 133 triliun (kurs Rp 14.200). Musk harus membayar denda tersebut karena proses akuisisi Tesla atas SolarCity disebut-sebut tidak adil dan hanya memperkaya keluarga Musk. Kuasa Hukum Musk menyatakan jika proses akuisisi sudah sesuai dengan ketentuan yaitu disetujui oleh 85% pemegang saham. ""Musk tidak bisa mengatur proses akuisisi, direksi, atau pemegang saham Tesla,"" ujarnya dikutip dari   yang ditulis  , Selasa (5/10/2021). Pada 2017, pemegang saham Tesla melayangkan gugatan kepada Elon Musk atas tuduhan Tesla membayar dengan jumlah yang lebih besar dibanding kebutuhan untuk akuisisi. Gugatan yang dilayangkan oleh dana pensiun, serikat pekerja, dan manajer aset ini menuduh jika proses penyelamatan SolarCity karena perusahaan didirikan dan beroperasi di bawah kendali sepupu Elon Musk. Penggugat menyebutkan jika kesepakatan sebesar US$ 2,6 miliar untuk akuisisi SolarCity ini dilakukan tidak transparan. Oleh karena itu Elon Musk harus mengembalikan saham kepada perusahaan. Dilansir   Elon Musk menyebut akuisisi SolarCity ini merupakan salah satu upaya perusahaan untuk menciptakan energi bersih yang terintegrasi. Perusahaan juga memiliki layanan pembangkit listrik tenaga surya di atap yang telah dikombinasikan dengan baterai Tesla.","Orang Terkaya Dunia Terancam Denda Rp 133 T, Kena Mental Nggak?",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5753513/orang-terkaya-dunia-terancam-denda-rp-133-t-kena-mental-nggak?single=1,"Selasa, 05 Okt 2021 12:22 WIB"
"PT Istaka Karya (Persero) masuk dalam daftar tujuh BUMN yang akan dibubarkan dalam waktu dekat. Namun Kementerian BUMN memberikan penawaran bagi karyawan Istaka Karya. Staf Khusus Menteri BUMN Arya Sinulingga mengatakan para karyawan Istaka Karya akan ditawarkan masuk ke BUMN karya lainnya. ""Ini karyawannya akan kita beri peluang untuk masuk ke perusahaan karya kita. Soal yang mana, ada 2-3 perusahaan sudah siap menampung mereka, jadi akan kita kasih peluang mereka untuk tetap bekerja di BUMN karya ini,"" ucapnya, Selasa (5/10/2021). Tak hanya itu, Arya mengatakan Kementerian BUMN juga telah membayarkan hak-hak karyawan seperti pesangon ke beberapa BUMN yang mau dibubarkan, seperti kepada PT Industri Gelas (Persero), PT Kertas Kraft Aceh (Persero), hingga PT Merpati Nusantara Airlines (Persero). Sebelumnya Arya juga membenarkan pernyataan Serikat Pekerja PT Istaka Karya yang menyatakan bahwa perusahaannya bukan BUMN hantu. Namun dia mengatakan bahwa BUMN itu memiliki utang yang sangat besar. ""Untuk Istaka Karya, kan kemarin ada karyawan yang bilang mereka bukan BUMN hantu. Memang bukan, tapi dari segi keuangan sudah berat banget. Sudah lebih tinggi utangnya dari pada asetnya,"" tuturnya. Arya tidak menyebut berapa besar utang Istaka Karya saat ini. Namun masalah keuangan itulah yang mendasari Kementerian BUMN akan membubarkan Istaka Karya. Dia juga mengakui bahwa Istaka Karya masih memiliki beberapa proyek. Namun menurut perhitungan Kementerian BUMN, proyek yang dikerjakan Istaka Karya juga berpotensi memberikan kerugian. ""Mereka masih ada kontraknya, tapi kontraknya pun kami hitung rugi juga. Nanti rugi-rugi, rugi mulu,"" ucapnya. Arya menjelaskan pembubaran Istaka Karya kemungkinan akan dilakukan melalui proses kepailitan.","Istaka Mau Dibubarkan, Karyawan Ditawarkan Masuk BUMN Karya",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5754434/istaka-mau-dibubarkan-karyawan-ditawarkan-masuk-bumn-karya?single=1,"Selasa, 05 Okt 2021 21:30 WIB"
"Beberapa waktu lalu Serikat Pekerja PT Istaka Karya (Persero) menyatakan keberatan karena disebut BUMN hantu. Kementerian BUMN pun sepakat dengan pernyataan itu, namun ada tapinya. Staf Khusus Menteri BUMN Arya Sinulingga membenarkan pernyataan Serikat Pekerja PT Istaka Karya. Namun dia mengatakan bahwa BUMN itu memiliki utang yang sangat besar. ""Untuk Istaka Karya, kan kemarin ada karyawan yang bilang mereka bukan BUMN hantu. Memang bukan, tapi dari segi keuangan sudah berat banget. Sudah lebih tinggi utangnya dari pada asetnya,"" tuturnya kepada awak media, Selasa (5/10/2021). Arya tidak menyebut berapa besar utang Istaka Karya saat ini. Namun masalah keuangan itulah yang mendasari Kementerian BUMN akan membubarkan Istaka Karya. ""Kita hitung sudah nggak mungkin lagi, yang ada nanti utang, utang, utang dan utang. Akhirnya berbelit-belit,"" tuturnya. Dia juga mengakui bahwa Istaka Karya masih memiliki beberapa proyek. Namun menurut perhitungan Kementerian BUMN, proyek yang dikerjakan Istaka Karya juga berpotensi memberikan kerugian. ""Mereka masih ada kontraknya, tapi kontraknya pun kami hitung rugi juga. Nanti rugi-rugi, rugi mulu,"" ucapnya. Arya menjelaskan pembubaran Istaka Karya kemungkinan akan dilakukan melalui proses kepailitan.","Kementerian BUMN Sepakat Istaka Karya Bukan BUMN Hantu, tapi Utangnya Segunung",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5754426/kementerian-bumn-sepakat-istaka-karya-bukan-bumn-hantu-tapi-utangnya-segunung?single=1,"Selasa, 05 Okt 2021 20:35 WIB"
"Negara-negara berikut ini bisa dibilang kecil-kecil cabe rawit. Sebab, meski ukuran negaranya kecil berhasil menjadi yang   di dunia. Melansir Majalah Global Finance, Selasa (5/10/2021), ada sejumlah negara yang sangat kecil di saat yang bersamaan sangat kaya seperti Luksemburg, Singapura, dan Hong Kong. Mereka diuntungkan dengan sektor keuangan dan rezim pajak yang canggih yang membantu menarik investasi asing dan pekerja profesional. Lalu ada negara kecil seperti Qatar dan Brunei yang berkat cadangan hidrokarbon yang berlimpah atau sumber daya alam yang menguntungkan lainnya, berhasil tercatat sebagai salah satu negara terkaya. Luksemburg ada di urutan pertama sebagai negara terkaya di dunia. PDB per kapita negara tersebut pada tahun 2014 mencapai angka US$ 100 ribu dan tidak pernah turun di bawah angka tersebut sejak saat itu, bahkan di saat pandemi COVID-19 menghantam dunia. Selanjutnya di urutan kedua adalah Singapura. Ketika negara kecil itu merdeka pada tahun 1965, setengah dari penduduknya buta huruf. Namun saat ini, negara tersebut adalah pusat perdagangan, manufaktur, dan keuangan yang berkembang pesat. Itu tidak berarti bahwa Singapura kebal dari dampak pandemi. Pada tahun 2020 ekonominya anjlok ke rekor 5,4%, menjatuhkan negara itu ke dalam resesi untuk pertama kalinya dalam lebih dari satu dekade. Irlandia menempati posisi ketiga. Namun kesenjangan cukup besar antara orang terkaya dan termiskin di negara tersebut. Setidaknya 20% populasi teratas berpenghasilan hampir lima kali lipat dari 20% terbawah, dan sebagian besar keluarga akan menolak gagasan bahwa mereka kaya. Negara terkaya yang dirilis dihitung menurut nominal produk domestik bruto (PDB) atas dasar paritas daya beli (purchasing power parity/PPP). Berikut 10 negara terkaya versi Majalah Global Finance: 1. Luksemburg US$ 118.001 2. Singapura US$ 97.057 3. Irlandia US$ 94.392 4. Qatar US$ 93.508 5. Swiss US$ 72.874 6. Norwegia US$ 65.800 7. Amerika Serikat US$ 63.416 8. Brunei Darussalam US$ 62.371 9. Hong Kong US$ 59.520 10. Denmark US$ 58.932","10 Negara Terkaya di Dunia, Ada 3 dari Asia",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5753361/10-negara-terkaya-di-dunia-ada-3-dari-asia?single=1,"Selasa, 05 Okt 2021 10:55 WIB"
"Setiap pekerjaan pasti akan mendapatkan bayaran atau upah setelah bekerja. Gaji atau bayaran ini akan didapatkan oleh para pekerja tetap, paruh waktu, hingga  Ada lho pekerjaan yang terbilang aneh di mata orang biasa, tapi gajinya gede banget. Apa aja ya pekerjaannya? Siapa sangka pendamping pengantin ini bisa menjadi lapangan pekerjaan. Di Amerika Serikat (AS) pendamping pengantin ini bisa digaji hingga US$ 18 ribu hingga US$ 95 ribu atau setara dengan Rp 255,6 juta hingga Rp 1,34 miliar. Tugasnya mendampingi pengantin dan memastikan acara berjalan lancar. Gaji pencari bola golf di kolam ini terbilang fantastis. Pasalnya dalam satu hari penyelam ini bisa mengantongi pendapatan US$ 200 atau Rp 2,84 juta dan Rp 2,13 miliar per tahun. Pekerjaan yang berisiko tinggi ini memiliki gaji yang fantastis. Rata-rata pegawai yang bertanggungjawab untuk mengoperasikan dan mengendalikan reaktor nuklir ini bisa mendapatkan US$ 60 ribu hingga US$ 120 ribu atau setara dengan Rp 852 juta hingga Rp 1,7 miliar. Makanan pencuci mulut paling tenar di dunia ini memiliki lapangan pekerjaan yang unik. Tugasnya yaitu mencoba menus es krim baru. Tujuannya agar es krim ini bisa sesuai dengan ketentuan, lalu tekstur dan rasanya cocok di lidah pembeli. Syaratnya para pencicip es krim ini wajib menguasai ilmu terkait susu hingga ilmu makanan. Gaji yang didapatkan rata-rata US$ 35 ribu hingga US$ 97 ribu atau setara dengan Rp 497 juta hingga Rp 1,37 miliar.","Duh Ada-ada Aja, Ini 4 Pekerjaan Aneh Bergaji Fantastis",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5754153/duh-ada-ada-aja-ini-4-pekerjaan-aneh-bergaji-fantastis?single=1,"Selasa, 05 Okt 2021 20:00 WIB"
"menyambut baik kehadiran  . Ketua DPP PKS Mardani Ali Sera berharap Partai Buruh dapat berkontribusi bagi demokrasi di Indonesia. ""Bravo buat Mas Said Iqbal. Mendoakan Partai Buruh dapat memberi kontribusi positif bagi kemajuan bangsa,"" kata Mardani, kepada wartawan, Selasa (5/10/2021). Mardani mengatakan semua warga negara bebas berkontribusi dalam politik. Dia siap bekerja sama atau berkompetisi secara sehat. ""PKS senang jika semua orang baik masuk ke politik, hingga akan terwujud kompetisi antar kebaikan,"" ujarnya. ""Dan dengan basis sebagai partai kader, PKS siap bekerja sama dan berkompetisi secara sehat,"" lanjut Mardani. Sebelumnya, Konfederasi Serikat Pekerja Indonesia ( ) beserta 50 federasi serikat pekerja tingkat nasional mendeklarasikan kebangkitan kembali Partai Buruh. Presiden KSPI Said Iqbal kini resmi mengisi kursi Presiden Partai Buruh. Said Iqbal dipilih secara aklamasi pada partai besutan almarhum Muchtar Pakpahan itu. Tak ada nama lain yang mengajukan diri sebagai calon ketua umum selain Said Iqbal. Said Iqbal menyebut Partai Buruh didirikan oleh 11 organisasi yang disebut Majelis Rakyat Partai Buruh. Said Iqbal mengatakan Partai Buruh bukan partai dinasti. ""Partai buruh yang lama, Konfederasi Serikat Buruh Sejahtera Indonesia (KSBSI); Federasi Serikat Pekerja Metal Indonesia (FSPMI); Serikat Petani Indonesia (SPI); Organisasi Rakyat Indonesia; Konfederasi Perjuangan Buruh Indonesia; Konfederasi Serikat Pekerja Indonesia (KSPI); Federasi Serikat Pekerja Kimia Energi Pertambangan, Minyak, Gas Bumi, dan Umum (FSP-KEP); Federasi Serikat Pekerja Farmasi dan Kesehatan Reformasi (FSP-Farkes R),"" kata Said Iqbal setelah dilantik. Namun, ada penilaian peluang Partai Buruh sah secara legalitas kecil. Jika pun legalitas itu didapat, tantangan yang dihadapi juga sudah menunggu. ""Berat untuk mendirikan partai, UU-nya membuat berat,"" kata Direktur Saiful Mujani Research and Consulting (SMRC) Saiful Mujani kepada wartawan, Selasa (5/10).","PKS Sambut Kelahiran Partai Buruh: Siap Kerja Sama, Bahkan Adu Kuat",serikat pekerja,https://news.detik.com/berita/d-5754691/pks-sambut-kelahiran-partai-buruh-siap-kerja-sama-bahkan-adu-kuat?single=1,"Rabu, 06 Okt 2021 07:10 WIB"
"disebut harus menyelesaikan beberapa masalah agar kembali eksis di kancah perpolitikan Indonesia. Hal yang paling kuat adalah soal kekuatan sosok di partai tersebut. ""Kalau untuk sebagai peserta pemilu mungkin bisa (terjadi). KSPI atau pendukungnya bisa mencapai itu, tapi untuk menang, dapat PT (parliamentary threshold), menurut saya nggak mudah. Karena yang dihadapi pemilu besok kan partai yang relatif sudah punya pengalaman panjang. Kedua harus kuat di figur,"" kata peneliti politik UI Aditya Perdana, saat dihubungi, Senin (10/4/2021). ""Buruh punya figur kuat tanpa modal uang? Relatif nggak ada. Pemilu kita kan begitu modelnya,  ,   dukungan itu karena kepercayaan dan persoalan kita, kepercayaan terhadap kepercayaan orang di politik juga nggak bagus-bagus amat,"" katanya. Menurut Aditya, dulu KSPI menggunakan ketokohan Prabowo Subianto untuk menggerakkan massa di Pemilu 2019. Namun Prabowo adalah tokoh yang merupakan Ketua Umum Partai Gerindra. ""Dulu KSPI dukung Prabowo karena mudah mobilisasi, ada faktor figur kuat. Kini figur yang kuat siapa? Di daerah, basis kompetisi juga kuat, ada  , bupati, dinasti,"" katanya. Bagi Aditya, untuk kondisi saat ini, gerakan buruh sudah berhasil mengatasi masalah di internal mereka. Seperti memiliki daya tawar di perusahaan-perusahaan. Namun belum memiliki kekuatan pada ranah politik formal seperti partai politik. ""Kalau mobilisasi terkait dirinya, misal soal upah, nego dengan perusahaan dengan menaikkan  , mereka sudah lumayan berhasil. Kalau masuk urusan formal politik, ini di DPR, atau jadi eksekutif, perlu usaha lebih keras. Ini bukan hal mudah,"" katanya. Sebelumnya, KSPI beserta 50 federasi serikat pekerja tingkat nasional akan membangkitkan kembali Partai Buruh untuk ikut serta dalam kontestasi pemilu pada 2024 mendatang. Presiden KSPI Said Iqbal menyebut dirinya sementara sebagai calon tunggal yang akan mengisi kursi Presiden Partai Buruh. ""Calon Presiden Partai Buruh sampai hari ini menurut kawan-kawan hanya baru satu orang yang diusulkan bulat oleh 11 organisasi pendiri Partai Buruh yang baru saudara Said Iqbal. Memang mungkin bisa saja nanti sampai dengan nanti kongres ada yang bertambah, tapi bulat sampai hari ini baru satu nama yang disepakati untuk disetujui kongres, yaitu saudara Said Iqbal dari KSPI, presiden KSPI,"" kata Presiden KSPI, Said Iqbal, dalam konferensi pers di kanal YouTube 'Bicaralah Buruh', Minggu (3/10). Said Iqbal menerangkan kongres Partai Buruh akan digelar dua hari terhitung mulai besok. Sementara deklarasinya akan dilakukan pada hari terakhir kongres partai, yakni pada 5 Oktober di salah satu hotel di Jakarta. ""Kami mengundang pada tanggal 5 Oktober 2021 kepada kawan-kawan media untuk meliput penutupan kongres Partai Buruh akan diumumkan susunan pengurusnya yang baru dan juga keputusan keputusan kongres lainnya jam 10.45 WIB di Hotel Grand Cempaka Putih. Bagi yang tidak bisa hadir kami berharap bisa bergabung nanti di konferensi pers partai melalui Zoom,"" tuturnya.","Partai Buruh Dinilai Sulit Eksis, Butuh Figur Kuat",serikat pekerja,https://news.detik.com/berita/d-5753297/partai-buruh-dinilai-sulit-eksis-butuh-figur-kuat?single=1,"Selasa, 05 Okt 2021 09:59 WIB"
