artikel,judul,keyword,link,tanggal
"Rencana kenaikan target penerimaan cukai hasil tembakau (CHT) pada 2022 disebut akan berdampak pada industri. Ketua Harian Forum Masyarakat Industri Rokok Seluruh Indonesia (Formasi) Heri Susianto mengungkapkan kenaikan CHT ini akan mempengaruhi kinerja industri. Dia menyebutkan jika dinaikkan, maka berdampak buruk untuk sejumlah industri rokok. ""Terutama sigaret kretek tangan (SKT) yang ada banyak tenaga kerjanya,"" ujar dia, Kamis (30/9/2021). Heri mengatakan, apabila kondisi ini tidak terbendung, justru akan berbahaya karena IHT melibatkan banyak sumber daya manusia (SDM), mulai dari buruh hingga petani tembakau dan cengkih. Dia mengatakan, pemerintah seolah hanya menargetkan penerimaan negara dari rokok tetapi tidak mau mendengarkan aspirasi para pelaku usahanya. ""Pabrik rokok itu 67% pendapatannya diambil negara, sisanya harus menanggung bahan baku, karyawan, dan lain-lain,"" katanya. Dalam hal ini, Heri berharap rencana kenaikan tarif CHT harus memperhatikan aspirasi pelaku usaha dan industri. ""Seharusnya pemerintah mencari terobosan dengan mencari sumber (penerimaan) baru,"" ujar dia. Formasi mengatakan bahwa kenaikan CHT 2022 belum tepat dilakukan di masa pandemi. ""Jangan karena ingin penerimaan negara naik, industri dikorbankan. Multiplier effect-nya yang kami khawatirkan,"" tambah dia. Sebelumnya, seluruh elemen mata rantai IHT juga secara tegas menyampaikan pernyataan sikap bersama kepada Presiden Joko Widodo di Istana Negara belum lama ini terkait rencana kenaikan CHT pada 2022. Ketua Umum Federasi Serikat Pekerja Rokok Tembakau Makanan dan Minuman (FSP RTMM) SPSI Sudarto mengatakan telah terjadi penurunan pada IHT dalam 10 tahun terakhir. ""Pemerintah perlu memberi perhatian serius untuk menyelamatkan industri padat karya ini, bukannya hanya fokus pada kepentingan pendapatan negara lewat kenaikan cukai,"" Sudarto. Dia berharap pemerintah peduli kepada korban yang termarjinalkan akibat kenaikan cukai yakni pekerja rokok yang didominasi oleh pekerja sektor SKT.",Rencana Kenaikan Cukai Rokok Bikin Buruh Gelisah,serikat pekerja,https://finance.detik.com/industri/d-5747398/rencana-kenaikan-cukai-rokok-bikin-buruh-gelisah?single=1,"Kamis, 30 Sep 2021 19:30 WIB"
"Serikat Pekerja PT Istaka Karya menolak pernyataan Menteri BUMN Erick Thohir yang menyebutkan perusahaannya sebagai salah satu BUMN hantu. Sebelumnya, Erick Thohir pernah mengatakan ada 7 BUMN hantu yang akan dilikuidasi. ""Dengan surat ini perkenankan kami menyampaikan bahwa Istaka Karya Bukan BUMN Hantu,"" bunyi surat Serikat Pekerja Istaka Karya yang ditandatangani oleh Ketua Serikat Pekerja Adriyansyah yang diterima  , Kamis (30/9/2021). Serikat Pekerja menyatakan perusahaan masih aktif tidak menjadi perusahaan hantu. Bahkan sampai saat ini, di tahun 2021 perusahaan mendapatkan empat proyek baru. ""Dengan bangga kami menyatakan hingga saat ini kami pekerja masih berkarya dan perusahaan masih beroperasi dengan normal, terbukti di tahun 2021 ini kami sudah mendapatkan empat proyek baru,"" bunyi surat Serikat Pekerja. 1. Proyek pembangunan fasilitas pendidikan dan kesehatan di Sulawesi Tengah dengan nilai kontrak sebesar Rp 78.811.601.000. 2. Proyek pembangunan Luminor Signature di Sumenep, Madura, Jawa Timur tahap 1 dengan nilai kontrak Rp 19.199.390.500. 3. Proyek pembangunan kantor pemerintahan terpadu kabupaten Brebes jateng dengan nilai kontrak Rp 100.705.101.069. 4. Proyek apartemen Royal Paradise Bandung, Jawa Barat dengan nilai kontrak Rp 171.823.715.455. Proyek-proyek tersebut menurut Serikat Pekerja merupakan salah satu bukti bahwa Istaka Karya bukan BUMN Hantu serta masih beroperasi dengan normal. Meskipun begitu, mereka mengakui saat ini kondisi perusahaan kurang begitu baik. Salah satunya karena tidak mendapatkan dukungan penuh dari perbankan dengan status proses PKPU yang mana sudah ada putusan perdamaian antara perusahaan dan kreditur. Mereka juga mengatakan Istaka Karya mengalami kondisi sulit di tahun 2019 dan 2020, pada tahun 2019 yang merupakan tahun politik membuat perusahaan susah mendapatkan proyek. Pasalnya, banyak tender proyek yang ditunda sampai dengan pemilu berakhir. Belum lagi tahun 2020 yang merupakan tahun awal pandemi COVID-19 menyerang Indonesia menyebabkan seluruh tatanan yang ada di Indonesia baik itu bidang ekonomi dan lainnya jadi terdampak. Di tahun 2021 ini, Serikat Pekerja menyatakan perusahaan perlahan-lahan telah bangkit dari keterpurukan gaji pegawai yang tadinya tertunggak 9 bulan. Saat ini sudah terbayarkan sebanyak 7 bulan. Hanya tersisa 2 bulan gaji yang sangat mungkin tertutup dan terbayarkan seluruhnya dari hasil keuntungan proyek baru yang telah didapatkan.","Tolak Dibubarkan Erick Thohir, SP Istaka: Kami Bukan BUMN Hantu!",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5747196/tolak-dibubarkan-erick-thohir-sp-istaka-kami-bukan-bumn-hantu?single=1,"Kamis, 30 Sep 2021 17:11 WIB"
"Konfederasi Serikat Pekerja Indonesia (KSPI) menyampaikan berbagai harapannya untuk kelangsungan hidup para buruh. Pertama soal,   yang diharap naik 7%-10% untuk tahun 2022. Kemudian, bansos dan program Kartu Prakerja diharap terus berlanjut selama pandemi. Terkait permintaan kenaikan upah minimum, itu berdasarkan survei terhadap peningkatan harga-harga komoditas di pasar dari berbagai daerah. Dari beberapa komoditas yang naik, terjadi kenaikan harga rata-rata 7-10%. ""Dengan demikian, KSPI meminta penetapan UMK 2022 setara kenaikan 7-10% atau dengan kata lain penetapan UMK 2022 tidak dengan UU Cipta Kerja atau PP No 35. Itu survei menggunakan survei kebutuhan hidup layak (KHL),"" kata Presiden Said Iqbal dalam konferensi pers, Rabu (29/9/2021). Desakan itu diminta karena buruh tegas menolak penetapan upah minimum kabupaten (UMK) 2022 berdasarkan UU Cipta Kerja dan Peraturan Pemerintah (PP) No 35. Buruh meminta penetapan upah minimum dilakukan oleh pemerintah daerah (Pemda). Rumus perhitungan upah buruh yang baru berbeda dengan ketentuan yang sebelumnya di PP Nomor 78 Tahun 2015 tentang Pengupahan. Di aturan lama, rumus perhitungan upah buruh bergantung pada kebutuhan hidup layak dengan memperhatikan produktivitas dan pertumbuhan ekonomi serta inflasi. Penetapan upah minimum oleh Pemda didorong, karena Pemda dinilai memiliki hak untuk menetapkan upah di atas upah minimum yang ditetapkan pemerintah pusat. ""Bupati/Wali Kota bisa menetapkan upah sektor industri. Bentuknya upah minimum kelompok industri, jenis usaha, upah di atas upah minimum. Apapun namanya diserahkan kepada Bupati/Wali kota,"" ungkapnya. Lebih lanjut mengenai bansos dan Kartu Prakerja, kedua program itu diminta berlanjut selama pandemi masih bergulir. Terutama mengenai uang saku Prakerja yang diharapkan bisa ditambah. Sementara, dana pelatihan dikurangi. ""Kalau uang saku di tambahkan, dia punya daya beli, bisa beli barang. Konsumsi akan naik. Kalau konsumsi naik ekonomi juga bisa membaik,"" katanya. Untuk bantuan sosial tunai, diharapkan bukan hanya diberikan kepada buruh di wilayah PPKM level 4. Buruh meminta agar diberikan kepada buruh yang terkena PHK, upahnya dipotong hingga yang dirumahkan. ""Sekarang sudah tidak ada yang level 4. Kemudian buruh itu kan tidak menerima 100% upahnya. Bila memungkinkan BSU itu ditingkatkan,"" pungkasnya.","Buruh Tuntut Upah Minimum Naik 10%, Abaikan Formula UU Cipta Kerja",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5746212/buruh-tuntut-upah-minimum-naik-10-abaikan-formula-uu-cipta-kerja?single=1,"Kamis, 30 Sep 2021 07:30 WIB"
"Langkah tegas diambil maskapai  . Hampir 600 karyawan yang menolak divaksin akan diberhentikan. Salah seorang pejabat maskapai asal Amerika Serikat itu mengatakan terdapat 593 pekerja yang menolak divaksinasi. Selain itu, ada 2.000 karyawan lainnya yang telah meminta pengecualian dengan alasan medis atau agama untuk tidak divaksin. Dengan jumlah tersebut, artinya ada 3% dari total 67.000 orang karyawan United Airlines yang enggan mengikuti vaksinasi. Secara umum, maskapai itu puas dengan kebijakan vaksinasi yang dapat diterima mayoritas karyawannya. Pada awal Agustus,   mengumumkan bahwa semua karyawan AS akan diminta untuk menerima vaksin dan mengunggah kartu vaksin mereka ke dalam sistem perusahaan. Menurut memo kepada karyawan dari Kepala Eksekutif United Scott Kirby dan Presiden Brett Hart lebih dari 99 persen pegawai AS yang tersisa memenuhi persyaratan. Sementara itu, United Airlines juga sedang mengerjakan kebijakan untuk karyawan yang telah meminta pengecualian untuk divaksin. ""Ini adalah pencapaian bersejarah bagi maskapai kami dan karyawan kami serta untuk pelanggan dan komunitas yang kami layani,"" begitulah keterangan dalam memo itu. ""Alasan kami untuk mewajibkan vaksin untuk semua karyawan United yang berbasis di AS adalah sederhana yaitu untuk menjaga orang-orang kami tetap aman dan kenyataannya adalah semua orang lebih aman ketika semua orang divaksinasi, dan persyaratan vaksin bekerja,"" begitu lanjutannya.   mengatakan akan mengikuti persyaratan perjanjian dengan serikat pekerja sejauh pemecatan karyawan untuk orang-orang yang menolak vaksin. ""Untuk kurang dari satu persen orang yang memutuskan untuk tidak divaksinasi, sayangnya kami akan memulai proses pemberhentian dari maskapai sesuai kebijakan kami,"" kata memo itu. ""Ini adalah keputusan yang sangat sulit tetapi menjaga keamanan tim kami selalu menjadi prioritas pertama kami,"" dalam memo itu.","Karyawan Maskapai Ini Tolak Vaksin, Siap-siap Bakal Diberhentikan",serikat pekerja,https://travel.detik.com/travel-news/d-5746195/karyawan-maskapai-ini-tolak-vaksin-siap-siap-bakal-diberhentikan?single=1,"Kamis, 30 Sep 2021 07:11 WIB"
"Konfederasi Serikat Pekerja Indonesia (KSPI) meminta program bantuan sosial tunai (BSU) dan Kartu Prakerja dilanjutkan hingga pandemi COVID-19 selesai. ""Kami mendorong dan meminta kepada bapak Presiden Joko Widodo, bahwa program bantuan sosial tunai (BSU) dan Kartu Prakerja tetap dilangsungkan dan tidak berhenti. Sebagaimana disampaikan, COVID-19 ini masih belum bisa diprediksi. Bahkan Desember diprediksi akan ada ledakan jumlah penderita COVID-19,"" kata Presiden KSPI Said Iqbal, dalam konferensi pers, Rabu (29/9/2021). Untuk Kartu Prakerja, buruh meminta dana untuk program trainingnya dikurangi tetapi uang saku untuk penerima Kartu Prakerja ditambahkan. Hal ini diharapkan agar buruh yang mengikuti Prakerja bisa meningkatkan konsumsinya. ""Kalau uang saku di tambahkan, dia punya daya beli, bisa beli barang. Konsumsi akan naik. Kalau konsumsi naik ekonomi juga bisa membaik,"" katanya. Untuk BSU, diharapkan bukan hanya diberikan kepada buruh di wilayah PPKM level 4. Buruh meminta agar diberikan kepada buruh yang terkena PHK, upahnya dipotong hingga yang dirumahkan. ""Sekarang sudah tidak ada yang level 4. Kemudian buruh itu kan tidak menerima 100% upahnya. Bila memungkinkan BSU itu ditingkatkan,"" ungkapnya. Diungkapkan, bantuan sosial seperti BSU dan Kartu Prakerja dianggap penting oleh buruh karena untuk memenuhi kebutuhan primer. Jadi diharapkan bisa berlangsung terus selama pandemi masih ada. ""Sampai dinyatakan COVID-19 selesai, dan tidak ada ancaman PHK, serta buruh-buruh yang dirumahkan diperkejakan kembali.,"" tutupnya.","Buruh Minta Dana Pelatihan Prakerja Dikurangi, Uang Saku Ditambah",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5745202/buruh-minta-dana-pelatihan-prakerja-dikurangi-uang-saku-ditambah?single=1,"Rabu, 29 Sep 2021 14:26 WIB"
"Konfederasi Serikat Pekerja Indonesia (KSPI) tegas menolak penetapan upah minimum kabupaten (UMK) 2022 berdasarkan UU Cipta Kerja dan Peraturan Pemerintah (PP) No 35. Buruh meminta penetapan upah minimum dilakukan oleh pemerintah daerah (Pemda). Mendorong hal itu, buruh berencana melakukan aksi di seluruh Indonesia. ""KSPI akan mengorganisir aksi-asi penolakan UMK 2022 dan meminta Bupati/Wali Kota untuk menetapkan upah minum tidak menggunakan UU Cipta kerja atau PP 35, dan menetapkan upah minimum kelompok sektoral oleh Bupati dan Wali Kota menggunakan Perda,"" kata Presiden KSPI Said Iqbal, dalam konferensi pers, Rabu (29/9/2021). Aksi ini akan dilakukan di oleh serikat buruh di 34 Provinsi dan hampir ada di 400 Kabupaten/Kota. ""Tentu daerah-daerah yang banyak industri-industri saja, dari 400 itu serempak aksi di kantor Kabupaten/Kota,"" ungkapnya. Penetapan upah minimum oleh Pemda didorong, karena Pemda dinilai memiliki hak untuk menetapkan upah di atas upah minimum yang ditetapkan pemerintah pusat. ""Bupati/Wali Kota bisa menetapkan upah sektor industri. Bentuknya upah minum kelompok industri, jenis usaha, upah di atas upah minimum. Apapun namanya diserahkan kepada Bupati/Wali kota,"" ungkapnya. Nilai upah minimum 2022 diharapkan naik rata-rata 7-10%. Permintaan kenaikan upah minimum itu berdasarkan survei terhadap peningkatan harga-harga komoditas di pasar dari berbagai daerah. Dari beberapa komoditas yang naik, terjadi kenaikan harga rata-rata 7-10%. ""Dengan demikian, KSPI meminta penetapan UMK 2022 setara kenaikan 7-10% atau dengan kata lain penetapan UMK 2022 tidak dengan UU Cipta Kerja atau PP No 35. Itu survei menggunakan survei kebutuhan hidup layak (KHL),"" tutupnya.","Buruh Minta Naik Gaji 10% Tahun Depan, Pemda yang Tetapkan",serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5745174/buruh-minta-naik-gaji-10-tahun-depan-pemda-yang-tetapkan?single=1,"Rabu, 29 Sep 2021 14:12 WIB"
"Mahkamah Konstitusi (MK) menegaskan saham anak dan/atau cucu BUMN boleh dijual dengan segala akibat hukumnya. Sikap ini dikeluarkan saat memutuskan permohonan judicial review UU BUMN yang dimohonkan Federasi Serikat Pekerja Pertamina Bersatu (FPSPPB). Judicial review itu diajukan oleh Presiden FSPPB Arie Gumilar. FSPPB meminta judicial reviw UU BUMN yang berharap anak/cucu BUMN tidak boleh privatisasi dengan menguji Pasal 77 huruf c dan d yang berbunyi: Persero yang tidak dapat diprivatisasi adalah: c.Persero yang bergerak di sektor tertentu yang oleh pemerintah diberikan tugas khusus untuk melaksanakan kegiatan tertentu yang berkaitan dengan kepentingan masyarakat; d.Persero yang bergerak di bidang usaha sumber daya alam yang secara tegas berdasarkan ketentuan peraturan perundang-undangan dilarang untuk diprivatisasi. Pemohon menilai Pemerintah dalam rangka strategi menguatkan daya saing, peningkatan nilai, perluasan jaringan usaha dan kemandirian pengelolaan BUMN seharusnya dapat membentuk perusahaan induk BUMN/Perusahaan Grup/Holding Company. Oleh sebab itu, menurut FSPPB seharusnya bisnis PT Pertamina (Persero) terintegrasi dari hulu ke hilir yaitu mulai proses hulu, pengolahan/kilang/refinery, pemasaran/trading, dan distribusi/transportasi/perkapalan. Menjawab permasalahan di atas, Sekretaris Kementerian Badan Usaha Milik Negara (Sesmen BUMN) Susyanto dalam persidangan menyatakan penjualan saham anak perusahaan kepada pihak lain bukan merupakan privatisasi karena yang dijual adalah bukan saham perseroan. Sebab, berdasarkan pasal 1 angka 12 UU BUMN yang menyatakan Privatisasi adalah penjualan saham Persero, baik sebagian maupun seluruhnya, kepada pihak lain dalam rangka meningkatkan kinerja dan nilai perusahaan, memperbesar manfaat bagi negara dan masyarakat, serta memperluas pemilikan saham oleh masyarakat. Maka kelangsungan bisnis (PT Pertamina Persero) tidak akan terancam dengan penjualan saham anak perusahaan PT Pertamina Persero. Setelah bersidang selama satu tahun MK menyatakan gugatan itu tidak layak dikabulkan. ""Mengadili, menolak permohonan untuk seluruhnya,"" kata Ketua MK Anwar Usman dalam sidang yang disiarkan chanel YouTube MK, Rabu (29/9/2021). Menurut MK, tidak ada larangan privatisasi anak perusahaan BUMN, selain itu tidak menyebabkan negara kehilangan hak menguasai negara. Terlebih lagi sejumlah peraturan perundang-undangan serta putusan MK telah memberi koridor hukum bahwa langkah tersebut dapat dilakukan sepanjang tidak meniadakan penguasaan negara untuk menjadi penentu dan pengendali kebijakan usaha dalam cabang produksi yang penting bagi negara dan/atau menguasai hajat hidup orang banyak. ""Artinya sejauh dan dipandang dilakukan dalam koridor dimaksud, norma dalam Pasal 77 huruf c dan d UU Nomor 19 Tahun 2003 tidaklah bertentangan dengan Pasal 33 ayat 2 dan 3 UUD 1945,"" kata hakim konstitusi Saldi Isra. Putusan itu tidak bulat. Satu hakim konstitusi Daniel Foekh memiliki pendapat berbeda.",Bolehkah Anak & Cucu BUMN Dijual? Begini Putusan MK,serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5745339/bolehkah-anak--cucu-bumn-dijual-begini-putusan-mk?single=1,"Rabu, 29 Sep 2021 15:22 WIB"
"Konfederasi Serikat Pekerja Indonesia (KSPI) mengatakan Direksi Perusahaan Umum (Perum) DAMRI telah melakukan pembohongan mengenai pembayaran upah kepada pekerjanya. Hingga saat ini gaji buruh tidak dibayarkan bahkan hingga 1 tahun. ""Pihak direksi di depan DPR RI Komisi VI telah berbohong bahwa pihak Direksi membayar upah para pekerja. Bahkan di beberapa cabang DAMRI di Bandung 6 bulan tidak dibayarkan, karyawan di Ponorogo 11 bulan dan Surabaya sampai 1 tahun tidak dibayar upahnya,"" tegas Iswan Abdullah Ketua Umum Serikat Pekerja Dirgantara, Digital, dan Transportasi, dalam konferensi pers KSPI, Rabu (29/9/2021). Tidak hanya soal upah, direksi juga disebut berbohong karena mengatakan telah ditinggalkan oleh karyawan-karyawannya. Buruh mengungkap, hal itu terjadi karena Direksi mengintimidasi karyawan untuk setuju untuk keluar dari perusahaan. Kalau tidak, diancam tidak mendapatkan upah. ""Mereka mengancam dengan intimidasi kalau mereka tidak menerima PHK maka mereka tidak akan menerima Rp 1,8 juta kompensasi. Dengan intimidasi itu terpaksa mengambil keputusan untuk di-PHK,"" tuturnya. Kemudian, direksi juga diketahui tidak membayarkan premi BPJS Kesehatan dan Ketenagakerjaan karyawannya. ""Sehingga buruh kesulitan dalam menghadapi pandemi COVID-19 saat ini,"" ungkapnya. Presiden KSPI Said Iqbal mengatakan, seharusnya sebagai perusahaan nasional, bisa mempertahankan karyawannya. Dia mencontohkan Transjakarta yang masih beroperasi. ""Walaupun rugi tetap tidak mengurangi upah karyawan. Perum DAMRI kan sebagai perusahaan nasional, ko mengurangi upah karyawannya?"" jelasnya. Buruh mengancam, jika karyawan tidak dibayarkan upahnya akan diusut bagaimana keadaan perusahaan. ""Saya ingatkan jangan berbohong. Sudah tidak membayar upah berbohong pula. Malah nanti terungkap ada apa yang di Perum Damri. Nanti kita lihat direksi Perum DAMRI dikurangi nggak upahnya jangan karyawan aja,"" tutupnya.",Lagi! DAMRI Disebut Tak Bayar Gaji 1 Tahun-Karyawan Dipaksa Keluar,serikat pekerja,https://finance.detik.com/berita-ekonomi-bisnis/d-5745086/lagi-damri-disebut-tak-bayar-gaji-1-tahun-karyawan-dipaksa-keluar?single=1,"Rabu, 29 Sep 2021 13:21 WIB"
"Salah satu program studi Politeknik Ketenagakerjaan (Polteknaker), yaitu Prodi Relasi Industri menjalani proses asesmen lapangan secara daring. Kegiatan yang diselenggarakan oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) tersebut sebagai bagian dari proses akreditasi program studi. Sekretaris Jenderal Kementerian Ketenagakerjaan, Anwar Sanusi menyambut baik kegiatan tersebut. Menurutnya, kegiatan visitasi daring Prodi Relasi Industri ini sangat penting dan strategis. ""Karena akreditasi merupakan kegiatan penilaian untuk menentukan kelayakan Program Studi dan Perguruan Tinggi,"" ucap Anwar dalam keterangan tertulis, Rabu (29/9/2021). Anwar menjelaskan Prodi Relasi Industri merupakan program studi pertama dan pernah menjadi satu-satunya di Indonesia. Hal itu menjadi harapan bersama lulusannya mampu menjadi mediator, arbiter, dan konsiliator di instansi Pemerintah. Selain itu, pada perusahaan, lulusan prodi tersebut bisa menjadi Manajemen Hubungan Industrial, Auditor Hubungan Industrial. Kemudian pada Serikat Pekerja bisa menjadi Pengurus SP, Federasi dan Konfederasi, bahkan lulusannya dari Relasi Industri juga bisa menjadi Konsultan Hubungan Industrial. ""Untuk itu sebagaimana arahan Ibu Ida Fauziyah, lulusan tersebut tentunya bakal memberikan peluang besar bagi SDM lulusan di Polteknaker untuk siap bersaing dalam menghadapi pasar kerja dan persaingan global sesuai dengan visi misinya Polteknaker,"" ujarnya. Sebagai informasi, ada dua asesor BAN-PT yang hadir pada asesmen lapangan daring akreditasi Prodi Relasi Industri ini, yakni Hanif Amali Rivai dan Marwansyah.",Prodi Relasi Industri Polteknaker Jalani Proses Akreditasi BAN-PT,serikat pekerja,https://news.detik.com/berita/d-5745583/prodi-relasi-industri-polteknaker-jalani-proses-akreditasi-ban-pt?single=1,"Rabu, 29 Sep 2021 17:03 WIB"
"Para pelaku industri hasil tembakau (IHT) dan buruh kompak menolak rencana kenaikan tarif cukai hasil tembakau (CHT) atau cukai rokok pada 2022. Rencana itu dikhawatirkan akan berdampak buruk terhadap nasib pekerja industri itu. ""Kami meminta tidak ada kenaikan cukai rokok. Rencana kenaikan cukai rokok yang disampaikan pemerintah, itu akan mematikan nasib jutaan buruh industri rokok dan tembakau di seluruh Indonesia,"" kata Ketua Umum Pengurus Daerah Federasi Serikat Pekerja Rokok Tembakau Makanan dan Minuman Serikat Pekerja Seluruh Indonesia (PD FSP RTMM SPSI) Jawa Timur, Purnomo dalam konferensi pers Senin (20/9/2021) lalu. Penolakan kenaikan cukai rokok seakan rutin terjadi setiap tahunnya. Tetapi apakah benar kebijakan itu berdampak ke industri atau pekerjanya? ""Kenaikan cukai sebenarnya tidak berdampak langsung kepada pekerja rokok,"" ungkap Direktur Riset Center of Reform on Economics (CORE) Indonesia, Piter Abdullah saat dihubungi. Piter menjelaskan dampak ke pekerja atas kenaikan cukai rokok didasarkan asumsi bahwa kenaikan cukai akan menurunkan konsumsi dan produksi rokok. Tetapi faktanya hal itu tidak terjadi, berapapun harganya orang cenderung tetap akan membeli. ""Kenaikan cukai rokok tidak menurunkan konsumsi dan produksi rokok. Artinya tidak ada dampak kenaikan cukai rokok ke pekerja dan buruh rokok,"" imbuhnya. Hanya saja memang, kenaikan cukai rokok secara tidak langsung akan mengurangi keuntungan industri rokok, terutama pengusaha rokok kecil. Itu sebabnya mereka menolak kenaikan cukai rokok setiap tahunnya. Hal yang sama juga dikatakan oleh Director Political Economy & Policy Studies (PEPS), Anthony Budiawan. Kenaikan cukai rokok dinilai tidak berdampak ke pekerja, hal itu dilihat dari enam tahun berturut-turut sebelumnya yang juga terjadi kenaikan. ""Enam tahun ini tidak ada dampak ke pekerja. (Kenaikan cukai rokok ditolak setiap tahun) kamuflase aja, tapi tentu saja tanpa kenaikan lebih bagus bagi industri,"" bebernya.",Benarkah Kenaikan Cukai Rokok Berdampak ke Industri-Pekerja?,serikat pekerja,https://finance.detik.com/industri/d-5741158/benarkah-kenaikan-cukai-rokok-berdampak-ke-industri-pekerja?single=1,"Minggu, 26 Sep 2021 21:13 WIB"
